No.,Title,Link
1,"Relationship between nurses’ perception of ethical climates and job satisfaction in Jimma University Specialized Hospital, Oromia region, south west Ethiopia",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0365-8
2,Increasing cultural awareness: qualitative study of nurses’ perceptions about cultural competence training,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0363-x
3,Decreased blood pressure among community dwelling older adults following progressive muscle relaxation and music therapy (RESIK),http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0357-8
4,Family experience in facilitating adolescents during self-identity development in ex-localization in Indonesia,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0358-7
5,The association of diabetes literacy with self-management among older people with type 2 diabetes mellitus: a cross-sectional study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0354-y
6,Cognitive behaviour therapy for anxiety in adolescent with early prodromal of psychosis at boarding school,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0360-0
7,Nursing care activities based on documentation,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0352-0
8,Nurse career mapping: a qualitative case study of a new hospital,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0353-z
9,Breastfeeding self-efficacy as a dominant factor affecting maternal breastfeeding satisfaction,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0359-6
10,Phenomenological study: the experiences of patients with nasopharyngeal cancer after undergoing chemoradiation,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0356-9
11,Gynecological cancer inpatients need more supportive nursing care than outpatients: a comparative study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0355-x
12,Patients’ perception of quality of nursing care; a tertiary center experience from Ethiopia,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0361-z
13,Patient satisfaction with nursing care in Ethiopia: a systematic review and meta-analysis,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0348-9
14,The importance of professional values from nursing students’ perspective,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0351-1
15,‘Thinking outside the box’: advanced geriatric nursing in primary health care in Scandinavia,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0350-2
16,Incidence and predictors of groin complications early after coronary artery intervention: a prospective observational study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0349-8
17,Hepatitis C virus screening and treatment in Irish prisons from nurse managers’ perspectives - a qualitative exploration,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0347-x
18,"""Teaching: Individual"" to increase adherence to therapeutic regimen in people with hypertension and type-2 diabetes: protocol of the controlled clinical trial ENURSIN.",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0344-0
19,Bibliometric mapping of intensive care nurses’ wellbeing: development and application of the new iAnalysis model,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0343-1
20,Nurses’ knowledge to pressure ulcer prevention in public hospitals in Wollega: a cross-sectional study design,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0346-y
21,A scoping review of augmented reality in nursing,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0342-2
22,"Factors that influence transition to advanced roles by RN to BSN nurses, in three selected hospitals of Central-Uganda",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0345-z
23,"Weathering the rural reality: delivery of the Nurse-Family Partnership home visitation program in rural British Columbia, Canada",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0341-3
24,"Mental health nurses’ attitudes, experience, and knowledge regarding routine physical healthcare: systematic, integrative review of studies involving 7,549 nurses working in mental health settings",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0339-x
25,Correction to: Randomized community trial on nosocomial infection control educational module for nurses in public hospitals in Yemen: a study protocol,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0340-4
26,"A study of macro-, meso- and micro-barriers and enablers affecting extended scopes of practice: the case of rural nurse practitioners in Australia",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0337-z
27,Implementation of the Family Nurse Partnership programme in England: experiences of key health professionals explored through trial parallel process evaluation,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0338-y
28,Working hour characteristics and schedules among nurses in three Nordic countries – a comparative study using payroll data,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0332-4
29,Knowledge about the administration and regulation of high alert medications among nurses in Palestine: a cross-sectional study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0336-0
30,Randomized community trial on nosocomial infection control educational module for nurses in public hospitals in Yemen: a study protocol,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0333-3
31,Factors predisposing to shared governance: a qualitative study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0334-2
32,"Provision of care to hospitalized pediatric burn patients: a qualitative study among nurses at Muhimbili National Hospital, Dar es Salaam, Tanzania",http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0335-1
33,Professionals’ experiences with paediatric colonoscopy: an interview study,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0331-5
34,Exclusion and inclusion of parents of hospitalized children in Norway in the period 1877–2017,http://bmcnurs.biomedcentral.com/track/pdf/10.1186/s12912-019-0330-6
