No.,Title,Link
1,Concordance between estimates of acute malnutrition measured by weight-for-height and by mid-upper arm circumference after age adjustment: population-representative surveys from humanitarian settings,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0301-z
2,"Determinants of stunting among children aged 0–59 months in Nepal: findings from Nepal Demographic and health Survey, 2006, 2011, and 2016",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0300-0
3,"Impact of lunch provision on anthropometry, hemoglobin, and micronutrient status of female Cambodian garment workers: exploratory randomized controlled trial",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0297-4
4,"Malnutrition in Chakradharpur, Jharkhand: an anthropological study of perceptions and care practices from India",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0299-2
5,Acceptability and utilization of a lipid-based nutrient supplement formulated for pregnant women in rural Niger: a multi-methods study,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0298-3
6,"Magnitude and associated factors of wasting among under five orphans in Dilla town, southern Ethiopia: 2018: a cross-sectional study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0295-6
7,"A space-time analysis of recurrent malnutrition-related hospitalisations in Kilifi, Kenya for children under-5 years",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0296-5
8,"Prevalence of vitamin D deficiency in pregnant women and their babies in Bhaktapur, Nepal",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0294-7
9,Potential impact of restricted caribou (Rangifer tarandus) consumption on anemia prevalence among Inuit adults in northern Canada,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0292-9
10,The effect of culinary interventions (cooking classes) on dietary intake and behavioral change: a systematic review and evidence map,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0293-8
11,"Iodine level concentration, coverage of adequately iodized salt consumption and factors affecting proper iodized salt utilization among households in North Ethiopia: a community based cross sectional study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0291-x
12,"Prevalence and associated factors of undernutrition among under-five children from model and non-model households in east Gojjam zone, Northwest Ethiopia: a comparative cross-sectional study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0290-y
13,Impact of fruits and vegetables vouchers on food insecurity in disadvantaged families from a Paris suburb,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0289-4
14,"Diet satisfaction and associated factors among adult surgical orthopaedic inpatients at a teaching hospital in Lusaka province, Zambia; a hospital-based cross-sectional study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0288-5
15,Knowledge about iodine requirements during pregnancy and breastfeeding among pregnant women living in Northern Ireland,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0285-8
16,"Predictors of stunting among children 6–59 months of age in Sodo Zuria District, South Ethiopia: a community based cross-sectional study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0287-6
17,Randomised clinical trial: effect of low-FODMAP rye bread versus regular rye bread on the intestinal microbiota of irritable bowel syndrome patients: association with individual symptom variation,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0278-7
18,Addressing malnutrition among children in routine care: how is the Integrated Management of Childhood Illnesses strategy implemented at health centre level in Burundi?,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0282-y
19,Trends and inequalities in stunting in Nepal: a secondary data analysis of four Nepal demographic health surveys from 2001 to 2016,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0283-x
20,Child assessments of vegetable preferences and cooking self-efficacy show predictive validity with targeted diet quality measures,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0286-7
21,"Determinants of undernutrition among adult patients receiving antiretroviral therapy at Debre Markos referral hospital, Northwest Ethiopia: a case-control study design",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0284-9
22,Maternal undernutrition as proxy indicators of their offspring’s undernutrition: evidence from 2011 Ethiopia demographic and health survey,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0281-z
23,"Uptake of minimum acceptable diet among children aged 6–23 months in orthodox religion followers during fasting season in rural area, DEMBECHA, north West Ethiopia",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0274-y
24,Identifying perceived barriers and enablers of healthy eating in college students in Hawai’i: a qualitative study using focus groups,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0280-0
25,"Insulin resistance (HOMA-IR) and body fat (%) are associated to low intake of fruit and vegetables in Swedish, young adults: the cross-sectional lifestyle, biomarkers and atherosclerosis study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0279-6
26,"Factors associated with prelacteal feeding practices in Debre Berhan district, North Shoa, Central Ethiopia: a cross-sectional, community-based study",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0277-8
27,Dietary intake in undernourished adults living in Guinea-Bissau; a cross-sectional study,http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0276-9
28,"Current status of education and research on public health nutrition in Japan: comparison with South Korea, Taiwan, and mainland China",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0275-x
29,"Nutritional status of children 7–36 months old from millet consuming communities of Masindi District, Western Uganda",http://bmcnutr.biomedcentral.com/track/pdf/10.1186/s40795-019-0273-z
