No.,Title,Link
1,Design and methods of the Healthy Kids & Families study: a parent-focused community health worker-delivered childhood obesity prevention intervention,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0240-x
2,Family food environment factors associated with obesity outcomes in early childhood,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0241-9
3,Towards personalised molecular feedback for weight loss,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0237-5
4,Family Spirit Nurture (FSN) – a randomized controlled trial to prevent early childhood obesity in American Indian populations: trial rationale and study protocol,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0233-9
5,"“I love having a healthy lifestyle"" – a qualitative study investigating body mass index trajectories from childhood to mid-adulthood",http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0239-3
6,Larger omental adipocytes correlate with greater Fetuin-A reduction following sleeve gastrectomy,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0238-4
7,Prevalence and correlates of overweight and obesity among school children in an urban district in Ghana,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0234-8
8,Performance of neck circumference to predict obesity and metabolic syndrome among adult Saudis: a cross-sectional study,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0235-7
9,Sleep and weight loss in low-income overweight or obese postpartum women,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0236-6
10,Association of parental body mass index (BMI) with child’s health behaviors and child’s BMI depend on child’s age,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0232-x
11,A secondary analysis examining the concordance of self-perception of weight and actual measurement of body fat percentage: The CRONICAS Cohort Study,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0229-5
12,A randomized home-based childhood obesity prevention pilot intervention has favourable effects on parental body composition: preliminary evidence from the Guelph Family Health Study,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0231-y
13,"Prevalence and factors associated with overweight and obesity among adults in Hawassa city, southern Ethiopia: a community based cross-sectional study",http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0227-7
14,Fear of falling in obese women under 50 years of age: a cross-sectional study with exploration of the relationship with physical activity,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0230-z
15,Adherence to daily dietary and activity goals set within a Māori and Pacific weight loss competition,http://bmcobes.biomedcentral.com/track/pdf/10.1186/s40608-019-0228-6
