No.,Title,Link
1,Functional results and photic phenomena with new extended-depth-of-focus intraocular Lens,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1201-3
2,Unilateral inferior oblique anterior transposition for markedly asymmetric dissociated vertical deviation with unilateral inferior oblique over-action,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1205-z
3,"Ipsilateral transient amaurosis, mydriasis and light reflex absence after subconjunctival local anesthesia with mepivacaine in three patients with refractory glaucoma – a case report",http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1202-2
4,Pretreatment neutrophil-to-lymphocyte ratio predicts prognosis in patients with diabetic macular edema treated with ranibizumab,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1200-4
5,Reaction on “Ocular ultrasound versus MRI in the detection of extrascleral extension in a patient with choroidal melanoma”,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1206-y
6,Lessons learned from the development and implementation of a patient-reported outcome and experience measure (POEM) in an Australian glaucoma practice,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1198-7
7,Multiple phototherapeutic keratectomy treatments in a Chinese pedigree with corneal dystrophy and an R124L mutation: a 20-year observational study,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1167-1
8,Therapeutic effect of vasoactive intestinal peptide on form-deprived amblyopic kittens,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1203-1
9,Incidence and risk factors of retinopathy of prematurity in three neonatal intensive care units in Palestine,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1180-4
10,Correlation and predictability of ocular aberrations and the visual outcome after quadrifocal intraocular lens implantation: a retrospective longitudinal study,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1195-x
11,Prospective comparative study of tolerance to refractive errors after implantation of extended depth of focus and monofocal intraocular lenses with identical aspheric platform in Korean population,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1193-z
12,Choroidal structural changes correlate with severity of diabetic retinopathy in diabetes mellitus,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1189-8
13,Optic disc shape in patients with long-lasting unilateral esotropia and exotropia,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1197-8
14,The diagnostic accuracy of an intelligent and automated fundus disease image assessment system with lesion quantitative function (SmartEye) in diabetic patients,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1196-9
15,Prospective study of vitrectomy for epiretinal membranes in patients with good best-corrected visual acuity,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1185-z
16,Comparative study of anterior segment measurements using 3 different instruments in myopic patients after ICL implantation,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1194-y
17,Systematic review and meta-synthesis of coping with retinitis pigmentosa: implications for improving quality of life,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1169-z
18,Vision status of children aged 7–15 years referred from school vision screening in Norway during 2003–2013: a retrospective study,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1178-y
19,A case of probable Vogt–Koyanagi–Harada disease in a 3-year-old girl,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1192-0
20,Accuracy of machine learning for differentiation between optic neuropathies and pseudopapilledema,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1184-0
21,Intra and post-operative complications observed with femtosecond laser-assisted cataract surgery versus conventional phacoemulsification surgery: a systematic review and meta-analysis,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1190-2
22,Two-year outcome of an eye that underwent hyperopic LASIK following inadvertent myopic SMILE lenticule in situ implantation,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1188-9
23,The effect of multiple vitrectomies and its indications on intraocular pressure,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1187-x
24,Low health literacy levels in patients with chronic retinal disease,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1191-1
25,Clinical characteristics and surgical outcomes of acute acquired Comitant Esotropia,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1182-2
26,"Corneal biomechanics and intraocular pressure assessment after penetrating keratoplasty for non keratoconic patients, long term results",http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1186-y
27,Foveal avascular zone and macular vessel density after correction for magnification error in unilateral amblyopia using optical coherence tomography angiography,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1177-z
28,Aqueous humor levels of TGFβ2 and SFRP1 in different types of glaucoma,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1183-1
29,Accuracy of toric intraocular lens implantation using automated vs manual marking,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1175-1
30,Proteomic analysis of retinal pigment epithelium cells after exposure to UVA radiation,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1151-9
31,"Corneal biomechanical properties after SMILE versus FLEX, LASIK, LASEK, or PRK: a systematic review and meta-analysis",http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1165-3
32,Associations of subjective and objective clinical outcomes of visual functions with quality of life in Chinese glaucoma patients: a cross-sectional study,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1176-0
33,Reconstruction strategy in isolated complete Cryptophthalmos: a case series,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1170-6
34,Long-term outcome of scleral-fixated intraocular lens implantation without conjunctival peritomies and sclerotomy in ocular trauma patients,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1172-4
35,Favourable outcome after late reorientation of an upside-down Descemet Membrane Endothelial Keratoplasty (DMEK) graft: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1181-3
36,Diagnostic accuracy of optical coherence tomography angiography for choroidal neovascularization: a systematic review and meta-analysis,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1163-5
37,Regression of fetal vasculature and visual improvement in nonsurgical persistent hyperplastic primary vitreous: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1173-3
38,Impairment of visual acuity and retinal morphology following resolved chronic central serous chorioretinopathy,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1171-5
39,Underlying Ehlers-Danlos syndrome discovered during neuro-ophthalmic evaluation of concussion patients: a case series,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1174-2
40,Allergic contact dermatitis of both eyes caused by alcaftadine 0.25%: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1166-2
41,Hyperreflective foci in OCT image as a biomarker of poor prognosis in diabetic macular edema patients treating with Conbercept in China,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1168-0
42,Macular hole retinal detachment after intravitreal Conbercept injection for the treatment of choroidal neovascularization secondary to degenerative myopia: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1164-4
43,Early bleb parameters as long-term prognostic factors for surgical success: a retrospective observational study using three-dimensional anterior-segment optical coherence tomography,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1159-1
44,Multimodal imaging of torpedo maculopathy in a Chinese woman: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1161-7
45,Therapeutic effects of ranibizumab in patients with polypoidal choroidal vasculopathy,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1156-4
46,Objective optical quality in eyes with customized selection of aspheric intraocular lens implantation,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1162-6
47,Decentration following femtosecond laser small incision lenticule extraction (SMILE) in eyes with high astigmatism and its impact on visual quality,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1153-7
48,Postoperative follow-up of a case of atypical morning glory syndrome associated with persistent fetal vasculature,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1154-6
49,Long term effect of phacoemulsification on intraocular pressure in patients with medically controlled primary open-angle glaucoma,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1157-3
50,A cerebral arteriovenous malformation mistakenly diagnosed as dry eye and glaucoma: a case report,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1160-8
51,Functional results and photic phenomena with new extended-depth-of-focus intraocular Lens,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1201-3
52,Unilateral inferior oblique anterior transposition for markedly asymmetric dissociated vertical deviation with unilateral inferior oblique over-action,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1205-z
53,"Ipsilateral transient amaurosis, mydriasis and light reflex absence after subconjunctival local anesthesia with mepivacaine in three patients with refractory glaucoma – a case report",http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1202-2
54,Pretreatment neutrophil-to-lymphocyte ratio predicts prognosis in patients with diabetic macular edema treated with ranibizumab,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1200-4
55,Reaction on “Ocular ultrasound versus MRI in the detection of extrascleral extension in a patient with choroidal melanoma”,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1206-y
56,Lessons learned from the development and implementation of a patient-reported outcome and experience measure (POEM) in an Australian glaucoma practice,http://bmcophthalmol.biomedcentral.com/track/pdf/10.1186/s12886-019-1198-7
