No.,Title,Link
1,Associations between the phenotype and genotype of MnSOD and catalase in periodontal disease,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0877-3
2,Cerebral abscess following the self-extraction of teeth in patient with Ebstein’s anomaly: a case report,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0893-3
3,Correction to: The accuracy and reliability of digital measurements of gingival recession versus conventional methods,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0876-4
4,Fucoidan attenuates radioiodine-induced salivary gland dysfunction in mice,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0894-2
5,Solitary neurofibroma of the floor of the mouth: rare localization at lingual nerve with intraoral excision,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0888-0
6,Three-dimensional photographic analysis of the face in European adults from southern Spain with normal occlusion: reference anthropometric measurements,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0898-y
7,"Households’ age, country of birth, and marital status, stronger predictor variables than education in the prevalence of dental sealants, restorations, and caries among US children 5–19 years of age, NHANES 2005–2010",http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0896-0
8,Biocompatibility of new bioactive resin composite versus calcium silicate cements: an animal study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0887-1
9,A survey of prescribing practices by general dentists in Australia,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0882-6
10,"Tooth wear among five-year-old children in Jakarta, Indonesia",http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0883-5
11,Association between poor oral health and diabetes among Indian adult population: potential for integration with NCDs,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0884-4
12,Efficacy and potential use of novel sustained release fillers as intracanal medicaments against Enterococcus faecalis biofilm in vitro,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0879-1
13,Diagnostic accuracy of three placement sites for the cold test in subjects amongst different age groups,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0878-2
14,Nasal double DNA adjuvant induces salivary FimA-specific secretory IgA antibodies in young and aging mice and blocks Porphyromonas gingivalis binding to a salivary protein,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0886-2
15,Costs and health-related quality of life in relation to caries,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0874-6
16,Self-healing CD30- T-clonal proliferation of the tongue: report of an extremely rare case,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0875-5
17,Does the national dental scaling policy reduce inequalities in dental scaling usage? A population-based quasi-experimental study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0881-7
18,"Oral health of 12-year-old children in Quito, Ecuador: a population-based epidemiological survey",http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0863-9
19,Increase in dental caries and change in the socioeconomic profile of families in a child cohort of the primary health care in Northeast Brazil,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0871-9
20,Impact of molar teeth distalization with clear aligners on occlusal vertical dimension: a retrospective study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0880-8
21,The push out bond strength of polydimethylsiloxane endodontic sealers to dentin,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0867-5
22,Craniofacial fibrous dysplasia associated with McCune-Albright syndrome: challenges in diagnosis and treatment: case reports,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0872-8
23,Dentists’ attitudes towards chairside medical conditions screening in a dental setting in Saudi Arabia: an exploratory cross-sectional Study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0870-x
24,Effect of universal adhesives on microtensile bond strength to hybrid ceramic,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0865-7
25,"Relationship between the state of tongue hygiene and the number of residual teeth in convalescent-ward inpatients, cross- sectional study",http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0869-3
26,Effect of non-surgical periodontal therapy on glycemic control of type 2 diabetes mellitus: a systematic review and Bayesian network meta-analysis,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0829-y
27,Association of salivary levels of immunoglobulin-a and amylase with oral-dental manifestations in patients with controlled and non-controlled type 2 diabetes,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0868-4
28,Evaluation of antibacterial activity of propolis on regenerative potential of necrotic immature permanent teeth in dogs,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0835-0
29,Severe odontogenic infections with septic progress – a constant and increasing challenge: a retrospective analysis,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0866-6
30,Effectiveness of preventive dental programs offered to mothers by non-dental professionals to control early childhood dental caries: a review,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0862-x
31,Dental students’ awareness and attitudes toward HPV-related oral cancer: a cross sectional study at the University of Jordan,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0864-8
32,"Effectiveness of interprofessional oral health program for pediatric nurse practitioner students at Northeastern University, United States",http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0861-y
33,Oral lichen planus and thyroid gland diseases: possible associations,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0859-5
34,The use of an interdental brush mitigates periodontal health inequalities: the Korean National Health and nutrition examination survey (KNHANES),http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0858-6
35,Analytical strategies for clinical studies on dental erosive wear,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0834-1
36,A qualitative study of the multi-level influences on oral hygiene practices for young children in an Early Head Start program,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0857-7
37,Oral health and socio-economic status among children during Syrian crisis: a cross-sectional study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0856-8
38,Three years of follow-up of otodental syndrome in 3-year-old Chinese boy: a rare case report,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0860-z
39,Impact of platelet-rich fibrin on mandibular third molar surgery recovery: a systematic review and meta-analysis,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0824-3
40,Development of an interaction coding scheme (PaeD-TrICS) to record the triadic communication behaviours in preventive dental consultations with preschool child patients and families: a video-based observational study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0836-z
41,Gelatinolytic activity in gingival crevicular fluid and saliva of growing patients with Marfan syndrome: a case-control study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0854-x
42,Correction to: Performance of a bioglass-based dentine desensitizer under lactid acid exposition: an in-vitro study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0855-9
43,Prevalence and factors associated with dental caries in patients attending an HIV care clinic in Uganda: a cross sectional study,http://bmcoralhealth.biomedcentral.com/track/pdf/10.1186/s12903-019-0847-9
