No.,Title,Link
1,When is hastened death considered suicide? A systematically conducted literature review about palliative care professionals’ experiences where assisted dying is legal,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0451-4
2,Development of an eHealth information resource for family carers supporting a person receiving palliative care on the island of Ireland,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0457-y
3,Consensus on treatment for residents in long-term care facilities: perspectives from relatives and care staff in the PACE cross-sectional study in 6 European countries,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0459-9
4,"Palliative care education in the undergraduate medical curricula: students’ views on the importance of, their confidence in, and knowledge of palliative care",http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0458-x
5,Designing and developing a co-produced theoretical and evidence-based online support for family caregivers of people with dementia at the end of life,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0455-0
6,“I go into crisis when …”: ethics of care and moral dilemmas in palliative care,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0453-2
7,A systematic review and meta-analysis of randomized controlled trials of palliative care for pain among Chinese adults with cancer,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0456-z
8,Psychometric assessment of the Chinese version of the Problems and Needs in Palliative Care questionnaire-short version in advanced cancer patients,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0450-5
9,Does packed red cell transfusion provide symptomatic benefits to cancer palliative patients?: a longitudinal study from a single private oncology center in Nepal,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0454-1
10,Exploring health care providers’ perceptions about home-based palliative care in terminally ill cancer patients,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0452-3
11,Expressive writing as a therapeutic intervention for people with advanced disease: a systematic review,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0449-y
12,Advance care planning with patients on hemodialysis: an implementation study,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0437-2
13,Can a single question about family members’ sense of security during palliative care predict their well-being during bereavement? A longitudinal study during ongoing care and one year after the patient’s death,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0446-1
14,Talking about end of life in general palliative care – what’s going on? A qualitative study on end-of-life conversations in an acute care hospital in Denmark,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0448-z
15,An instrument to assess the education needs of nursing assistants within a palliative approach in residential aged care facilities,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0447-0
16,Table in the corner: a qualitative study of life situation and perspectives of the everyday lives of oesophageal cancer patients in palliative care,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0445-2
17,Exploring the gender dimension of problems and needs of patients receiving specialist palliative care in a German palliative care unit - the perspectives of patients and healthcare professionals,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0440-7
18,Supporting carers: health care professionals in need of system improvements and education - a qualitative study,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0444-3
19,Examining constipation assessment and management of patients with advanced cancer receiving specialist palliative care: a multi-site retrospective case note review of clinical practice,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0436-3
20,Palliative care for people with substance use disorder and multiple problems: a qualitative study on experiences of patients and proxies,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0443-4
21,The conceptual understanding of pediatric palliative care: a Swiss healthcare perspective,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0438-1
22,How do hospital-based nurses and physicians identify the palliative phase in their patients and what difficulties exist? A qualitative interview study,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0439-0
23,Palliative care for persons with Parkinson’s disease: a qualitative study on the experiences of health care professionals,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0441-6
24,Unregulated care providers’ engagement in palliative care to older clients and their families in the home setting: a mixed methods study,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0442-5
25,End-of-life care in rural general practice: how best to support commitment and meet challenges?,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0435-4
26,Advance care planning in progressive neurological diseases: lessons from ALS,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0433-6
27,Development of palliative care attitude and knowledge (PCAK) questionnaire for physicians in Kuwait,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0430-9
28,The financing of stand-alone palliative Care Services in Uganda: analysis of the implications for sustainability,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0434-5
29,Nomogram-based parameters to predict overall survival in a real-world advanced cancer population undergoing palliative care,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0432-7
30,A prospective study examining cachexia predictors in patients with incurable cancer,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0429-2
31,Impact of palliative chemotherapy and best supportive care on overall survival and length of hospitalization in patients with incurable Cancer: a 4-year single institution experience in Japan,http://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-019-0428-3
