No.,Title,Link
1,Echocardiography-guided percutaneous closure of perimembranous ventricular septal defects without arterial access and fluoroscopy,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1687-0
2,"Improving health, wellbeing and parenting skills in parents of children with special health care needs and medical complexity – a scoping review",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1648-7
3,"Wasting in under five children is significantly varied between rice producing and non-producing households of Libokemkem district, Amhara region, Ethiopia",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1677-2
4,"Incidence of respiratory syncytial virus infection in children with congenital heart disease undergoing immunoprophylaxis with palivizumab in Pará state, north region of Brazil",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1681-6
5,Comparison of NIV-NAVA and NCPAP in facilitating extubation for very preterm infants,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1683-4
6,Favorable impact of long-term exercise on disease symptoms in pediatric patients with inflammatory bowel disease,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1680-7
7,Imperforate anus associated with anomalous pulmonary venous return in scimitar syndrome. Case report from a tertiary hospital in Ethiopia,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1643-z
8,Kawasaki shock syndrome in an Arab female: case report of a rare manifestation and review of literature,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1662-9
9,Poor oral habits and malocclusions after usage of orthodontic pacifiers: an observational study on 3–5 years old children,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1668-3
10,Development and validation of a Chinese parental health literacy questionnaire for caregivers of children 0 to 3 years old,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1670-9
11,Diagnosis of Fraser syndrome missed out until the age of six months old in a low-resource setting: a case report,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1673-6
12,Genotypes of glycoprotein B gene among the Indian symptomatic neonates with congenital CMV infection,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1666-5
13,"Improvement in gross motor function and muscle tone in children with cerebral palsy related to neonatal icterus: an open-label, uncontrolled clinical trial",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1669-2
14,Novel mutations of the POLR3A gene caused POLR3-related leukodystrophy in a Chinese family: a case report,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1656-7
15,Increased risk of pulmonary hypertension following premature birth,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1665-6
16,Impact of antiretroviral treatment on height evolution of HIV infected children,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1663-8
17,Television viewing and child cognition in a longitudinal birth cohort in Singapore: the role of maternal factors,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1651-z
18,"Functional constipation in infancy and early childhood: epidemiology, risk factors, and healthcare consultation",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1652-y
19,Better care for babies: the added value of a modified reverse syphilis testing algorithm for the treatment of congenital syphilis in a maternity Hospital in Central African Republic,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1622-4
20,Physical activity and screen time in out of school hours care: an observational study,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1653-x
21,Management of Late Preterm and Term Neonates exposed to maternal Chorioamnionitis,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1650-0
22,"Current practice and awareness of pediatric off-label drug use in Shanghai, China -a questionnaire-based study",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1664-7
23,"Immunoglobulin M profile of viral and atypical pathogens among children with community acquired lower respiratory tract infections in Luzhou, China",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1649-6
24,Neonatal mortality risk assessment using SNAPPE- II score in a neonatal intensive care unit,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1660-y
25,A unique case of acute brain haemorrhage with left ventricular systolic failure requiring ECMO,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1658-5
26,Breastfeeding and timing of pubertal onset in girls: a multiethnic population-based prospective cohort study,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1661-x
27,Physical growth: is it a good indicator of development in early childhood in low- and middle-income countries?,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1654-9
28,Oral diseases and oral health related behaviors in adolescents living in Maasai population areas of Tanzania: a cross-sectional study,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1655-8
29,Retrospective cohort study on factors associated with mortality in high-risk pediatric critical care patients in the Netherlands,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1646-9
30,"Associations among amino acid, lipid, and glucose metabolic profiles in childhood obesity",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1647-8
31,Exploring the experiences of parent caregivers of children with chronic medical complexity during pediatric intensive care unit hospitalization: an interpretive descriptive study,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1634-0
32,Acute psychosocial stress and working memory performance: the potential of physical activity to modulate cognitive functions in children,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1637-x
33,Effects of immunotherapy on mortality in neonates with suspected or proven sepsis: a systematic review and network meta-analysis,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1609-1
34,ICU admission following an unscheduled return visit to the pediatric emergency department within 72 hours,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1644-y
35,Positional treatment without mechanical ventilation in a very preterm infant with unilateral pulmonary interstitial emphysema: case report and review of the literature,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1640-2
36,"Baby’s first bites: a randomized controlled trial to assess the effects of vegetable-exposure and sensitive feeding on vegetable acceptance, eating behavior and weight gain in infants and toddlers",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1627-z
37,"Neonatal meningitis, endocarditis, and pneumonitis due to Streptococcus gallolyticus subsp. pasteurianus: a case report",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1645-x
38,U-shaped relationship between birth weight and childhood blood pressure in China,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1638-9
39,Correction to: Respiratory severity score as a predictive factor for severe bronchopulmonary dysplasia or death in extremely preterm infants,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1642-0
40,"Marfan syndrome in childhood: parents’ perspectives of the impact on daily functioning of children, parents and family; a qualitative study",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1612-6
41,The prevalence and risk of urinary tract infection in malnourished children: a systematic review and meta-analysis,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1628-y
42,"Study protocol and rationale of the “Cogni-action project” a cross-sectional and randomized controlled trial about physical activity, brain health, cognition, and educational achievement in schoolchildren",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1639-8
43,Persistence and change in behavioural problems during early childhood,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1631-3
44,Correction to: Factors influencing childhood anaemia in Bangladesh: a two level logistic regression analysis,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1607-3
45,"HIV prevalence and risk factors in infants born to HIV positive mothers, measured by dried blood spot real-time PCR assay in Tigray, Northern Ethiopia",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1636-y
46,"Continuous positive airway pressure (CPAP) vs noninvasive positive pressure ventilation (NIPPV) vs noninvasive high frequency oscillation ventilation (NHFOV) as post-extubation support in preterm neonates: protocol for an assessor-blinded, multicenter, randomized controlled trial",http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1625-1
47,Successful conservative treatment of intestinal perforation in VLBW and ELBW neonates: a single centre case series and review of the literature,http://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-019-1641-1
