No.,Title,Link
1,Effect of green tea on the gastrointestinal absorption of amoxicillin in rats,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0332-8
2,Unexpected excessive apixaban exposure: case report of a patient with polymorphisms of multiple apixaban elimination pathways,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0331-9
3,Use of long acting injectable aripiprazole before and through pregnancy in bipolar disorder: a case report,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0330-x
4,Efficacy of a topical gabapentin gel in a cisplatin paradigm of chemotherapy-induced peripheral neuropathy,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0329-3
5,Tigecycline-induced sustained severe hypoglycemia: a case report,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0321-y
6,Analysis of severe adverse effects following community-based ivermectin treatment in the Democratic Republic of Congo,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0327-5
7,Behavioral and steroidogenic pharmacology of phenyl ring substituted etomidate analogs in rats,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0328-4
8,Differential role of dose and environment in initiating and intensifying neurotoxicity caused by MDMA in rats,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0326-6
9,Povidone-iodine ear wash and oral cotrimoxazole for chronic suppurative otitis media in Australian aboriginal children: study protocol for factorial design randomised controlled trial,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0322-x
10,Potential drug-drug interactions among pneumonia patients: do these matter in clinical perspectives?,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0325-7
11,Relationship between drug application and mortality rate in Chinese older coronary artery disease/chronic heart failure patients with and without low glomerular filtration rate,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0320-z
12,Influence of N-acetyl-L-cysteine against bisphenol a on the maturation of mouse oocytes and embryo development: in vitro study,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0323-9
13,Identification of undecylenic acid as EAG channel inhibitor using surface plasmon resonance-based screen of KCNH channels,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0324-8
14,Development of a mortality score to assess risk of adverse drug reactions among hospitalized patients with moderate to severe chronic kidney disease,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0318-6
15,The effects of thiamine pyrophosphate on ethanol induced optic nerve damage,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0319-5
16,Acute versus chronic methotrexate poisoning; a cross-sectional study,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0316-8
17,Single and simultaneous effects of acrylamide and ethanol on bone microstructure of mice after one remodeling cycle,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0317-7
18,"Safety and effectiveness of low-dose amikacin in nontuberculous mycobacterial pulmonary disease treated in Toronto, Canada",http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0302-1
19,Countrywide prevalence of critical drug interactions in Hungarian outpatients: a retrospective analysis of pharmacy dispensing data,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0311-0
20,Microbial epidemiology and antimicrobial resistance patterns of wound infection in Ethiopia: a meta-analysis of laboratory-based cross-sectional studies,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0315-9
21,Assessment of effect modification of statins on new-onset diabetes based on various medical backgrounds: a retrospective cohort study,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0314-x
22,"Epinecidin-1, a highly potent marine antimicrobial peptide with anticancer and immunomodulatory activities",http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0309-7
23,Dexamethasone suppresses the differentiation of stem Leydig cells in rats in vitro,http://bmcpharmacoltoxicol.biomedcentral.com/track/pdf/10.1186/s40360-019-0312-z
