No.,Title,Link
1,Exercise endurance capacity is markedly reduced due to impaired energy homeostasis during prolonged fasting in FABP4/5 deficient mice,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-019-0038-6
2,Deficiency of the BMP Type I receptor ALK3 partly protects mice from anemia of inflammation,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-018-0037-z
3,"Regulation of Locomotor activity in fed, fasted, and food-restricted mice lacking tissue-type plasminogen activator",http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-018-0036-0
4,Claudin expression during early postnatal development of the murine cochlea,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-018-0035-1
5,Adiponectin is required for maintaining normal body temperature in a cold environment,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0034-7
6,Androgen receptor is expressed in mouse cardiomyocytes at prenatal and early postnatal developmental stages,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0033-8
7,Disulfide high mobility group box-1 causes bladder pain through bladder Toll-like receptor 4,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0032-9
8,Endothelial dysfunction in the pathogenesis of pre-eclampsia in Ghanaian women,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0029-4
9,Short-term overfeeding of zebrafish with normal or high-fat diet as a model for the development of metabolically healthy versus unhealthy obesity,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0031-x
10,Myocardial susceptibility to ischaemia/reperfusion in obesity: a re-evaluation of the effects of age,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0030-y
11,Variation in branchial expression among insulin-like growth-factor binding proteins (igfbps) during Atlantic salmon smoltification and seawater exposure,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-017-0028-5
12,Small interfering RNA targeting NF-κB attenuates lipopolysaccharide-induced acute lung injury in rats,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-016-0027-y
13,Ryanodine-induced vasoconstriction of the gerbil spiral modiolar artery depends on the Ca2+ sensitivity but not on Ca2+ sparks or BK channels,http://bmcphysiol.biomedcentral.com/track/pdf/10.1186/s12899-016-0026-z
