No.,Title,Link
1,Disruption of the Lotus japonicus transporter LjNPF2.9 increases shoot biomass and nitrate content without affecting symbiotic performances,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1978-5
2,The cotton GhWIN2 gene activates the cuticle biosynthesis pathway and influences the salicylic and jasmonic acid biosynthesis pathways,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1888-6
3,Mutation in a PHD-finger protein MS4 causes male sterility in soybean,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1979-4
4,Physiological analysis and transcriptome sequencing reveal the effects of combined cold and drought on tomato leaf,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1982-9
5,Integrating molecular characterization and metabolites profile revealed CtCHI1’s significant role in Carthamus tinctorius L.,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1962-0
6,Sex-differential reproduction success and selection on floral traits in gynodioecious Salvia pratensis,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1972-y
7,Correction to: The LsVe1L allele provides a molecular marker for resistance to Verticillium dahliae race 1 in lettuce,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1966-9
8,Gene co-expression network analysis reveals pathways associated with graft healing by asymmetric profiling in tomato,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1976-7
9,Different copies of SENSITIVITY TO RED LIGHT REDUCED 1 show strong subfunctionalization in Brassica napus,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1973-x
10,Expression and functional analysis of the propamocarb-related gene CsMAPEG in cucumber,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1971-z
11,Roles of the SPL gene family and miR156 in the salt stress responses of tamarisk (Tamarix chinensis),http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1977-6
12,Genome-wide identification and characterization of long non-coding RNAs involved in fruit ripening and the climacteric in Cucumis melo,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1942-4
13,Cyclic nucleotide-gated ion channel 6 mediates thermotolerance in Arabidopsis seedlings by regulating nitric oxide production via cytosolic calcium ions,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1974-9
14,Genome-wide transcriptional adaptation to salt stress in Populus,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1952-2
15,The specific MYB binding sites bound by TaMYB in the GAPCp2/3 promoters are involved in the drought stress response in wheat,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1948-y
16,Reconstruction of the full-length transcriptome atlas using PacBio Iso-Seq provides insight into the alternative splicing in Gossypium australe,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1968-7
17,"New perspectives on the plant PARP family: Arabidopsis PARP3 is inactive, and PARP1 exhibits predominant poly (ADP-ribose) polymerase activity in response to DNA damage",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1958-9
18,Integrative omics analysis on phytohormones involved in oil palm seed germination,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1970-0
19,The R2R3 MYB transcription factor MdMYB30 modulates plant resistance against pathogens by regulating cuticular wax biosynthesis,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1918-4
20,Cytogenetic and genomic organization analyses of chloroplast DNA invasions in the nuclear genome of Asparagus officinalis L. provides signatures of evolutionary complexity and informativity in sex chromosome evolution,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1975-8
21,Comparative secretome analysis of different smut fungi and identification of plant cell death-inducing secreted proteins from Tilletia horrida,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1924-6
22,QTL mapping of flowering time and biomass yield in tetraploid alfalfa (Medicago sativa L.),http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1946-0
23,"Transcriptome sequencing, de novo assembly, characterisation of wild accession of blackgram (Vigna mungo var. silvestris) as a rich resource for development of molecular markers and validation of SNPs by high resolution melting (HRM) analysis",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1954-0
24,Improving salt tolerance in potato through overexpression of AtHKT1 gene,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1963-z
25,"Genome-wide transcriptomic analysis of a desert willow, Salix psammophila, reveals the function of hub genes SpMDP1 and SpWRKY33 in drought tolerance",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1900-1
26,RNASeq analysis of giant cane reveals the leaf transcriptome dynamics under long-term salt stress,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1964-y
27,Knockout of SlMAPK3 enhances tolerance to heat stress involving ROS homeostasis in tomato plants,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1939-z
28,The PHOSPHATE1 genes participate in salt and Pi signaling pathways and play adaptive roles during soybean evolution,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1959-8
29,"Genes, pathways and transcription factors involved in seedling stage chilling stress tolerance in indica rice through RNA-Seq analysis",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1922-8
30,Genetic determinants controlling maize rubisco activase gene expression and a comparison with rice counterparts,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1965-x
31,"GhYGL1d, a pentatricopeptide repeat protein, is required for chloroplast development in cotton",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1945-1
32,A 4-bp deletion in the 5’UTR of TaAFP-B is associated with seed dormancy in common wheat (Triticum aestivum L.),http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1950-4
33,Phenotypic and genotypic characterization of near-isogenic lines targeting a major 4BL QTL responsible for pre-harvest sprouting in wheat,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1961-1
34,Evolutionary dynamic analyses on monocot flavonoid 3′-hydroxylase gene family reveal evidence of plant-environment interaction,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1947-z
35,Genetic variation assessment of stacked-trait transgenic maize via conventional breeding,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1956-y
36,"Genome-wide identification, structure characterization, and expression pattern profiling of aquaporin gene family in cucumber",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1953-1
37,Genome-wide identification and expression analysis of the trihelix transcription factor family in tartary buckwheat (Fagopyrum tataricum),http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1957-x
38,Rpv3–1 mediated resistance to grapevine downy mildew is associated with specific host transcriptional responses and the accumulation of stilbenes,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1935-3
39,"Genome-wide identification, expression analysis and functional study of the GRAS gene family in Tartary buckwheat (Fagopyrum tataricum)",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1951-3
40,Root plasticity and Pi recycling within plants contribute to low-P tolerance in Tibetan wild barley,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1949-x
41,Circular RNA profiling of the rice photo-thermosensitive genic male sterile line Wuxiang S reveals circRNA involved in the fertility transition,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1944-2
42,Diverse biological effects of glycosyltransferase genes from Tartary buckwheat,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1955-z
43,"The differential response of cold-experienced Arabidopsis thaliana to larval herbivory benefits an insect generalist, but not a specialist",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1943-3
44,RNA sequencing analysis of Cymbidium goeringii identifies floral scent biosynthesis related genes,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1940-6
45,Genome-wide exploration and characterization of miR172/euAP2 genes in Brassica napus L. for likely role in flower organ development,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1936-2
46,Effects of maize organ-specific drought stress response on yields from transcriptome analysis,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1941-5
47,Risk versus reward: host dependent parasite mortality rates and phenotypes in the facultative generalist Triphysaria versicolor,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1856-1
48,Outlook for coeliac disease patients: towards bread wheat with hypoimmunogenic gluten by gene editing of α- and γ-gliadin gene families,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1889-5
49,"Increase in coleoptile length and establishment by Lcol-A1, a genetic locus with major effect in wheat",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1919-3
50,Effect of soil aeration on root morphology and photosynthetic characteristics of potted tomato plants (Solanum lycopersicum) at different NaCl salinity levels,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1927-3
51,Disruption of the Lotus japonicus transporter LjNPF2.9 increases shoot biomass and nitrate content without affecting symbiotic performances,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1978-5
52,The cotton GhWIN2 gene activates the cuticle biosynthesis pathway and influences the salicylic and jasmonic acid biosynthesis pathways,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1888-6
53,Mutation in a PHD-finger protein MS4 causes male sterility in soybean,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1979-4
54,Physiological analysis and transcriptome sequencing reveal the effects of combined cold and drought on tomato leaf,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1982-9
55,Integrating molecular characterization and metabolites profile revealed CtCHI1’s significant role in Carthamus tinctorius L.,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1962-0
56,Sex-differential reproduction success and selection on floral traits in gynodioecious Salvia pratensis,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1972-y
57,Correction to: The LsVe1L allele provides a molecular marker for resistance to Verticillium dahliae race 1 in lettuce,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1966-9
58,Gene co-expression network analysis reveals pathways associated with graft healing by asymmetric profiling in tomato,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1976-7
59,Different copies of SENSITIVITY TO RED LIGHT REDUCED 1 show strong subfunctionalization in Brassica napus,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1973-x
60,Expression and functional analysis of the propamocarb-related gene CsMAPEG in cucumber,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1971-z
61,Roles of the SPL gene family and miR156 in the salt stress responses of tamarisk (Tamarix chinensis),http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1977-6
62,Genome-wide identification and characterization of long non-coding RNAs involved in fruit ripening and the climacteric in Cucumis melo,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1942-4
63,Cyclic nucleotide-gated ion channel 6 mediates thermotolerance in Arabidopsis seedlings by regulating nitric oxide production via cytosolic calcium ions,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1974-9
64,Genome-wide transcriptional adaptation to salt stress in Populus,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1952-2
65,The specific MYB binding sites bound by TaMYB in the GAPCp2/3 promoters are involved in the drought stress response in wheat,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1948-y
66,Reconstruction of the full-length transcriptome atlas using PacBio Iso-Seq provides insight into the alternative splicing in Gossypium australe,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1968-7
67,"New perspectives on the plant PARP family: Arabidopsis PARP3 is inactive, and PARP1 exhibits predominant poly (ADP-ribose) polymerase activity in response to DNA damage",http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1958-9
68,Integrative omics analysis on phytohormones involved in oil palm seed germination,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1970-0
69,The R2R3 MYB transcription factor MdMYB30 modulates plant resistance against pathogens by regulating cuticular wax biosynthesis,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1918-4
70,Cytogenetic and genomic organization analyses of chloroplast DNA invasions in the nuclear genome of Asparagus officinalis L. provides signatures of evolutionary complexity and informativity in sex chromosome evolution,http://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-019-1975-8
