No.,Title,Link
1,Prospective evaluation of pregnancy outcome in an Italian woman with late-onset combined homocystinuria and methylmalonic aciduria,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2474-5
2,"Surgical site infection and associated factors among women underwent cesarean delivery in Debretabor General Hospital, Northwest Ethiopia: hospital based cross sectional study",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2442-0
3,"Prevalence of hyperglycemia in pregnancy and influence of body fat on development of hyperglycemia in pregnancy among pregnant women in urban areas of Arusha region, Tanzania",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2463-8
4,Praying until death: revisiting three delays model to contextualize the socio-cultural factors associated with maternal deaths in a region with high prevalence of eclampsia in India,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2458-5
5,"Placenta Accreta Spectrum (PAS) disorders: incidence, risk factors and outcomes of different management strategies in a tertiary referral hospital in Minia, Egypt: a prospective study",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2466-5
6,Successful treatment of cesarean scar pregnancy with transvaginal injection of absolute ethanol around the gestation sac via ultrasound,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2468-3
7,Multicystic encephalomalacia and gastrointestinal injury following single fetal death in first trimester and subsequent fetofetal transfusion syndrome in a monochorionic triplet pregnancy: a case report,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2459-4
8,Patterns and determinants of essential neonatal care utilization among underprivileged ethnic groups in Midwest Nepal: a mixed method study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2465-6
9,Effect of delayed misoprostol dosing interval for induction of labor: a retrospective study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2454-9
10,The REVAMP study: research exploring various aspects and mechanisms in preeclampsia: study protocol,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2450-0
11,Villains or victims? An ethnography of Afghan maternity staff and the challenge of high quality respectful care,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2420-6
12,Shedding light on quality of care: a study protocol for a randomized trial evaluating the impact of the Solar Suitcase in rural health facilities on maternal and newborn care quality in Uganda,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2453-x
13,The effects of pelvic belt use on pelvic alignment during and after pregnancy: a prospective longitudinal cohort study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2457-6
14,Early prediction of preeclampsia and small-for-gestational-age via multi-marker model in Chinese pregnancies: a prospective screening study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2455-8
15,Mothers’ satisfaction with care during facility-based childbirth: a cross-sectional survey in southern Mozambique,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2449-6
16,Peri-conceptional or pregnancy exposure of HPV vaccination and the risk of spontaneous abortion: a systematic review and meta-analysis,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2425-1
17,Serum magnesium and high-sensitivity C-reactive protein as a predictor for gestational diabetes mellitus in Sudanese pregnant women,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2429-x
18,A novel classification for evaluating episiotomy practices: application to the Burgundy perinatal network,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2424-2
19,Antenatal care for alcohol consumption during pregnancy: pregnant women’s reported receipt of care and associated characteristics,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2436-y
20,Assessing the operational effectiveness of a maternal and child health (MCH) conditional cash transfer pilot programme in Nigeria,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2418-0
21,"Proportion of pregnant women screened for hypertensive disorders in pregnancy and its associated factors within antenatal clinics of Kinshasa, Democratic Republic of Congo",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2435-z
22,"Magnitude and factors associated with adherence to Iron and folic acid supplementation among pregnant women in Aykel town, Northwest Ethiopia",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2422-4
23,Physical activity and dietary intake among Chinese pregnant women: an observational study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2452-y
24,Establishment of a risk assessment tool for pregnancy-associated venous thromboembolism and its clinical application: protocol for a prospective observational study in Beijing,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2448-7
25,"Men’s roles in care seeking for maternal and newborn health: a qualitative study applying the three delays model to male involvement in Morogoro Region, Tanzania",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2439-8
26,"Rationale and design of two prospective, multicenter, observational studies on reproductive outcome in women with recurrent failures after spontaneous or assisted conception: OTTILIA and FIRST registries",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2444-y
27,Acceptability of a text message-based intervention for obesity prevention in infants from Hawai‘i and Puerto Rico WIC,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2446-9
28,Are women in Singapore gaining weight appropriately during pregnancy: a prospective cohort study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2443-z
29,Urinary tract infections and antibiotic use in pregnancy - qualitative analysis of online forum content,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2451-z
30,Acceptability of community-based mentor mothers to support HIV-positive pregnant women on antiretroviral treatment in western Kenya: a qualitative study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2419-z
31,Are preterm birth and intra-uterine growth restriction more common in Western Australian children of immigrant backgrounds? A population based data linkage study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2437-x
32,Is it the decision of women to choose a cesarean section as the mode of birth? A review of literature on the views of stakeholders,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2440-2
33,Maternal plasma levels of oxytocin during physiological childbirth – a systematic review with implications for uterine contractions and central actions of oxytocin,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2365-9
34,Male partner antenatal clinic attendance is associated with increased uptake of maternal health services and infant BCG immunization: a national survey in Kenya,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2438-9
35,"A study protocol for an mHealth, multi-centre randomized control trial to promote use of postpartum contraception amongst rural women in Punjab, Pakistan",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2427-z
36,International prospective observational cohort study of Zika in infants and pregnancy (ZIP study): study protocol,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2430-4
37,The effects of vigorous intensity exercise in the third trimester of pregnancy: a systematic review and meta-analysis,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2441-1
38,Factors influencing women’s decision-making regarding complementary medicine product use in pregnancy and lactation,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2396-2
39,Improving birth outcomes for women who are substance using or have mental illness: a Canadian cohort study comparing antenatal midwifery and physician models of care for women of low socioeconomic position,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2428-y
40,Associations of postpartum mother-infant bonding with maternal childhood maltreatment and postpartum mental health: a cross-sectional study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2426-0
41,Why rural women do not use primary health centres for pregnancy care: evidence from a qualitative study in Nigeria,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2433-1
42,A regional audit system for stillbirth: a way to better understand the phenomenon,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2432-2
43,Management of hepatitis B infected pregnant women: a cross-sectional study of obstetricians,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2421-5
44,Clinical application of a contingent screening strategy for trisomies with cell-free DNA: a pilot study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2434-0
45,An investigation of dispositional mindfulness and mood during pregnancy,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2416-2
46,Weight retention at six weeks postpartum and the risk of gestational diabetes mellitus in a second pregnancy,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2423-3
47,Maternal near miss determinants at a maternity hospital for high-risk pregnancy in northeastern Brazil: a prospective study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2381-9
48,Postpartum depression among women with pre-eclampsia and eclampsia in Tanzania; a call for integrative intervention,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2395-3
49,Preoperative moderate thrombocytopenia is not associated with increased blood loss for low-risk cesarean section: a retrospective cohort study,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2417-1
50,"Temporal and regional variations in use, equity and quality of antenatal care in Egypt: a repeat cross-sectional analysis using Demographic and Health Surveys",http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2409-1
51,Prospective evaluation of pregnancy outcome in an Italian woman with late-onset combined homocystinuria and methylmalonic aciduria,http://bmcpregnancychildbirth.biomedcentral.com/track/pdf/10.1186/s12884-019-2474-5
