No.,Title,Link
1,Abstracts from the 8th International Conference for Healthcare and Medical Students (ICHAMS),http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0167-8
2,"CISBETI 2019 - International Congress of Health, Well-Being, Technology and Innovation",http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0166-9
3,Abstract Book - 4th B Chromosome Conference,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0165-x
4,Proceedings of the 2017 Advancing the Science of Community Engaged Research (CEnR) Conference,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0164-y
5,Proceedings of Advancing the Science of Community Engaged Research (CEnR): Innovative and Effective Methods of Stakeholder Engagement in Translational Research: abstracts,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0163-z
6,"People and research: improved health systems for West Africans, by West Africans - report on special supplement",http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0162-0
7,Addressing challenges in children’s mental health in disaster-affected areas in Japan and the Philippines – highlights of the training program by the National Center for Global Health and Medicine,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0159-0
8,Proceedings of the 3rd BEAT-PCD Conference and 4th PCD Training School,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0161-6
9,Abstracts from the 3rd BEAT-PCD Conference and 4th PCD Training School,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0160-7
10,Cholera prevention and control in Asian countries,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0158-1
11,Abstracts from the 7th International Conference for Healthcare and Medical Students (ICHAMS),http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0157-2
12,An adaptive gene-based test for methylation data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0126-9
13,Identification of epistatic interactions between the human RNA demethylases FTO and ALKBH5 with gene set enrichment analysis informed by differential methylation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0122-0
14,Epigenome wide association study of SNP–CpG interactions on changes in triglyceride levels after pharmaceutical intervention: a GAW20 analysis,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0144-7
15,"Integrating epigenetic, genetic, and phenotypic data to uncover gene-region associations with triglycerides in the GOLDN study",http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0142-9
16,Evaluation of a phenotype imputation approach using GAW20 simulated data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0134-9
17,Genome-wide association study for multiple phenotype analysis,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0135-8
18,Logistic Bayesian LASSO for detecting association combining family and case-control data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0139-4
19,Gene-methylation epistatic analyses via the W-test identifies enriched signals of neuronal genes in patients undergoing lipid-control treatment,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0143-8
20,Genome-wide linkage scan for loci influencing plasma triglyceride levels,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0137-6
21,Reliability of genomic predictions of complex human phenotypes,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0138-5
22,Evaluating the performance of gene-based tests of genetic association when testing for association between methylation and change in triglyceride levels at GAW20,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0124-y
23,Methods to evaluate rare variants gene-age interaction for triglycerides,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0136-7
24,Assessment of fenofibrate-methylation interactions on triglycerides using longitudinal family data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0132-y
25,Relating drug response to epigenetic and genetic markers using a region-based kernel score test,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0154-5
26,Analysis of genetic and nongenetic factors influencing triglycerides-lowering drug effects based on paired observations,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0153-6
27,Homozygosity disequilibrium associated with treatment response and its methylation regulation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0150-9
28,An efficient analytic approach in genome-wide identification of methylation quantitative trait loci response to fenofibrate treatment,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0152-7
29,Identifying fenofibrate responsive CpG sites,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0148-3
30,Coping with family structure in genome-wide association studies: a comparative evaluation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0151-8
31,Family-based genome-wide association of inflammation biomarkers and fenofibrate treatment response in the GOLDN study,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0146-5
32,Transmission-based association mapping of triglyceride levels in a longitudinal framework using quasi-likelihood,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0147-4
33,Using penalized regression to predict phenotype from SNP data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0149-2
34,Methods for detecting methylation by SNP interaction in GAW20 simulation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0140-y
35,Detection and analysis of CpG sites with multimodal DNA methylation level distributions and their relationships with SNPs,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0141-x
36,Data for GAW20: genome-wide DNA sequence variation and epigenome-wide DNA methylation before and after fenofibrate treatment in a family study of metabolic phenotypes,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0114-0
37,Heritability and genetic associations of triglyceride and HDL-C levels using pedigree-based and empirical kinships,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0133-x
38,Genome-wide analysis in multiple-case families: assessing the relationship between triglyceride and methylation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0123-z
39,Evidence of batch effects masking treatment effect in GAW20 methylation data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0129-6
40,A Bayesian mixed modeling approach for estimating heritability,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0131-z
41,CpG-set association assessment of lipid concentration changes and DNA methylation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0127-8
42,Modeling methylation data as an additional genetic variance component,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0128-7
43,Network analysis of drug effect on triglyceride-associated DNA methylation,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0130-0
44,GAW20: methods and strategies for the new frontiers of epigenetics and pharmacogenomics,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0113-1
45,Joint screening of ultrahigh dimensional variables for family-based genetic studies,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0120-2
46,Disentangling associations between DNA methylation and blood lipids: a Mendelian randomization approach,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0119-8
47,Direct and indirect genetic effects on triglycerides through omics and correlated phenotypes,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0118-9
48,A deep neural network based regression model for triglyceride concentrations prediction using epigenome-wide DNA methylation profiles,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0121-1
49,"Investigating potential causal relationships between SNPs, DNA methylation and HDL",http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0117-x
50,Application of Bayesian networks to GAW20 genetic and blood lipid data,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-018-0116-y
51,Abstracts from the 8th International Conference for Healthcare and Medical Students (ICHAMS),http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0167-8
52,"CISBETI 2019 - International Congress of Health, Well-Being, Technology and Innovation",http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0166-9
53,Abstract Book - 4th B Chromosome Conference,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0165-x
54,Proceedings of the 2017 Advancing the Science of Community Engaged Research (CEnR) Conference,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0164-y
55,Proceedings of Advancing the Science of Community Engaged Research (CEnR): Innovative and Effective Methods of Stakeholder Engagement in Translational Research: abstracts,http://bmcproc.biomedcentral.com/track/pdf/10.1186/s12919-019-0163-z
