No.,Title,Link
1,Psychometric properties of a Korean version of the Perceived Stress Scale (PSS) in a military sample,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0334-8
2,Gender differences among Indigenous Canadians experiencing homelessness and mental illness,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0331-y
3,Less efficient detection of positive facial expressions in parents at risk of engaging in child physical abuse,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0333-9
4,Expectation of reward differentially modulates executive inhibition,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0332-x
5,Empirical research in clinical supervision: a systematic review and suggestions for future studies,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0327-7
6,Cognitive behavioral therapy for postpartum panic disorder: a case series,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0330-z
7,Does the discrepancy between implicit and explicit attitudes moderate the relationships between explicit attitude and (intention to) being physically active?,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0322-z
8,Psychometric properties of the self-report version of the strengths and difficulties questionnaire in the Ecuadorian context: an evaluation of four models,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0328-6
9,Trends in childhood and adolescent internalizing symptoms: results from Swedish population based twin cohorts,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0326-8
10,"Association between fatigue, motivational measures (BIS/BAS) and semi-structured psychosocial interview in hemodialytic treatment",http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0321-0
11,"The relationship between physical activity levels and symptoms of depression, anxiety and stress in individuals with alopecia Areata",http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0324-x
12,"Association among dispositional mindfulness, self-compassion, and leukocyte telomere length in Chinese adults",http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0323-y
13,A new conception and subsequent taxonomy of clinical psychological problems,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0318-8
14,Too much time? Time use and fertility-specific quality of life among men and women seeking specialty care for infertility,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0312-1
15,The link between mental health and safe drinking water behaviors in a vulnerable population in rural Malawi,http://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-019-0320-1
