No.,Title,Link
1,Development and testing of locally-produced ready-to-use therapeutic and supplementary foods (RUTFs and RUSFs) in Cambodia: lessons learned,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7445-2
2,Dying in long-term care facilities in Europe: the PACE epidemiological study of deceased residents in six countries,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7532-4
3,The density of electronic gambling machines and area-level socioeconomic status in Finland: a country with a legal monopoly on gambling and a decentralised system of EGMs,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7535-1
4,"The effect of Active Plus, a computer-tailored physical activity intervention, on cognitive functioning of elderly people with chronic illness(es) – study protocol for a randomized controlled trial",http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7517-3
5,Who is responsible for assessing children’s weight status? – a qualitative study of health professionals in regional Australia,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7539-x
6,Inequities in consistent condom use among sexually experienced undergraduates in mainland China: implications for planning interventions,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7435-4
7,Geographical variation and associated factors of childhood measles vaccination in Ethiopia: a spatial and multilevel analysis,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7529-z
8,Mobile phone short message service (SMS) as a malaria control tool: a quasi-experimental study,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7336-6
9,Factors associated with tungiasis among primary school children: a cross-sectional study in a rural district in Rwanda,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7481-y
10,Prevalence of goiter among children in Ethiopia and associated factors: a systematic review and meta-analysis,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7505-7
11,Factors associated with hostility among people living with HIV/AIDS in Northeast China: a cross-sectional study,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7526-2
12,Compliance with water advisories after water outages in Norway,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7504-8
13,Process evaluation of the school-based Girls Active programme,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7493-7
14,A qualitative study of health promotion in academy schools in England,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7510-x
15,Barriers to formal healthcare utilisation among poor older people under the livelihood empowerment against poverty programme in the Atwima Nwabiagya District of Ghana,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7437-2
16,"A retrospective assessment of metropolitan religious adherence rate, individual and neighborhood social capital and their impact on women’s health",http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7530-6
17,The effect on participation rates of including focused spirometry information in a health check invitation: a cluster-randomised trial in Denmark,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7531-5
18,The importance of social environment in preventing smoking: an analysis of the Dead Cool intervention,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7485-7
19,Using a reasoned action approach to identify determinants of organized exercise among Hispanics: a mixed-methods study,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7527-1
20,How is the theoretical domains framework applied to developing health behaviour interventions? A systematic search and narrative synthesis,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7442-5
21,Chronic patient as intermittent partner for policy-makers: the case of patient participation in the fight against diabetes and HIV/AIDS in Mali,http://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7453-2
