No.,Title,Link
1,Bronchoscopic management of peripheral pulmonary lesions: robotic approach paves the way to the future,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0927-2
2,DNA-PKcs modulates progenitor cell proliferation and fibroblast senescence in idiopathic pulmonary fibrosis,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0922-7
3,Impact of clonally-related Burkholderia contaminans strains in two patients attending an Italian cystic fibrosis centre: a case report,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0923-6
4,Laryngo-tracheal stenosis in a woman with ablepharon macrostomia syndrome,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0921-8
5,Microbiological analysis of endotracheal aspirate and endotracheal tube cultures in mechanically ventilated patients,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0926-3
6,Multidisciplinary approach to connective tissue disease (CTD) related pleural effusions: a four-year retrospective evaluation,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0919-2
7,Serial ultrasound assessment of diaphragmatic function and clinical outcome in patients with amyotrophic lateral sclerosis,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0924-5
8,Lung ultrasound in infants with bronchiolitis,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0925-4
9,"Expression of eosinophil β chain-signaling cytokines receptors, outer-membrane integrins, and type 2 inflammation biomarkers in severe non-allergic eosinophilic asthma",http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0904-9
10,Temporal echocardiographic assessment of pulmonary hypertension in idiopathic pulmonary fibrosis patients treated with nintedanib with or without oxygen therapy,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0918-3
11,Nintedanib allows retreatment with atezolizumab of combined non-small cell lung cancer/idiopathic pulmonary fibrosis after atezolizumab-induced pneumonitis: a case report,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0920-9
12,A pragmatic application of endobronchial ultrasound-guided transbronchial needle aspiration: a single institution experience,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0909-4
13,A case of eosinophilic granulomatosis with polyangiitis complicated with a similar condition to IgG4 related lung disease,http://bmcpulmmed.biomedcentral.com/track/pdf/10.1186/s12890-019-0917-4
