No.,Title,Link
1,"Assessing the prevalence and risk factors of pre-diabetes among the community of Iganga municipality, Uganda: a cross sectional study",http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4589-1
2,US county-level agricultural crop production typology,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4594-4
3,An automated high throughput solution for DNA extraction and bisulfite-conversion from high volume liquid biopsy specimens: sample preparation for epigenetic analysis,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4595-3
4,Development and validation of a reliable LC–MS/MS method for quantitative analysis of usnic acid in Cladonia uncialis,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4580-x
5,"Knowledge of neonatal danger signs, care seeking practice and associated factors among postpartum mothers at public health facilities in Ambo town, Central Ethiopia",http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4583-7
6,Potential biological control of the pupal stage of the European grapevine moth Lobesia botrana by the entomopathogenic fungus Beauveria pseudobassiana in the winter season in Chile,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4584-6
7,Persistent lumbar radicular and low back pain; impact of genetic variability versus emotional distress,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4592-6
8,A survey of cricoid pressure application in a single institution in Ethiopia,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4586-4
9,Weight management merits attention in women with infertility: a cross-sectional study on the association of anthropometric indices with hormonal imbalance in a Ghanaian population,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4593-5
10,Exploration of shared genetic susceptibility loci between type 1 diabetes and rheumatoid arthritis in the Pakistani population,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4590-8
11,"Acceptability of mandatory tuberculosis notification among private practitioners in Yogyakarta, Indonesia",http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4581-9
12,Proportion of neonatal sepsis and determinant factors among neonates admitted in University of Gondar comprehensive specialized hospital neonatal Intensive care unit Northwest Ethiopia 2017,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4587-3
13,Treehouse: a user-friendly application to obtain subtrees from large phylogenies,http://bmcresnotes.biomedcentral.com/track/pdf/10.1186/s13104-019-4577-5
