No.,Title,Link
1,Adverse infusion reactions to rituximab in systemic lupus erythematosus: a retrospective analysis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0082-7
2,Immunoglobulin abnormalities are frequent in patients with lupus nephritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0079-2
3,"Publisher Correction to: BMC Rheumatology, volume 3",http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0083-6
4,Abstracts of scientific contributions to GCOM 2019,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0078-3
5,Health-related quality of life in patients with rheumatoid arthritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0080-9
6,Biomarkers of cardiovascular risk across phenotypes of osteoarthritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0081-8
7,Retinal vasculitis with Chronic Recurrent Multifocal Osteomyelitis: a case report and review of the literature,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0076-5
8,Administrative database as a source for assessment of systemic lupus erythematosus prevalence: Estonian experience,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0074-7
9,"Incidence and prevalence of rheumatoid arthritis in Saskatchewan, Canada: 2001–2014",http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0077-4
10,The challenges of gout flare reporting: mapping flares during a randomized controlled trial,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0075-6
11,The prevalence and types of discordance between physician perception and objective data from standardized measures of rheumatoid arthritis disease activity in real-world clinical practice in the US,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0073-8
12,Stress levels predict substantial improvement in pain intensity after 10 to 12 years in women with fibromyalgia and chronic widespread pain: a cohort study,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0072-9
13,Development and psychometric properties of a self-care behaviors scale (SCBS) among patients with rheumatoid arthritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0069-4
14,“Living a normal life”: a qualitative study of patients’ views of medication withdrawal in rheumatoid arthritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0070-y
15,Predictors of biologic-free disease control in patients with rheumatoid arthritis after stopping tumor necrosis factor inhibitor treatment,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0071-x
16,Fatty corner lesions in T1-weighted magnetic resonance imaging as an alternative to sacroiliitis for diagnosis of axial spondyloarthritis,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0068-5
17,Quality and continuity of information between primary care physicians and rheumatologists,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0067-6
18,AxSpA patients who also meet criteria for fibromyalgia: identifying distinct patient clusters using data from a UK national register (BSRBR-AS),http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0066-7
19,Management of Inflammatory Arthritis in pregnancy: a National Cross-Sectional Survey of Canadian rheumatologists,http://bmcrheumatol.biomedcentral.com/track/pdf/10.1186/s41927-019-0065-8
