No.,Title,Link
1,Relaxation and exercise in lymphoma survivors (REIL study): a randomised clinical trial protocol,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0127-7
2,The effect of adding TENS to stretch on improvement of ankle range of motion in inactive patients in intensive care units: a pilot trial,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0129-5
3,Effects of a behaviour change intervention aimed at increasing physical activity on clinical control of adults with asthma: study protocol for a randomised controlled trial,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0128-6
4,Impact of wearable physical activity monitoring devices with exercise prescription or advice in the maintenance phase of cardiac rehabilitation: systematic review and meta-analysis,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0126-8
5,Factors associated with non-attendance at exercise-based cardiac rehabilitation,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0125-9
6,"Lights out, let’s dance! An investigation into participation in No Lights, No Lycra and its association with health and wellbeing",http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0123-y
7,Reliability and methodology of quantitative assessment of harvested and unharvested patellar tendons of ACL injured athletes using ultrasound tissue characterization,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0124-x
8,New method for the mathematical derivation of the ventilatory anaerobic threshold: a retrospective study,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0122-z
9,Cardiac hypertrophy is stimulated by altered training intensity and correlates with autophagy modulation in male Wistar rats,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0121-0
10,Abstracts from the 5th International Scientific Conference on Exercise and Quality of Life,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0119-7
11,"Effects of a tailored strength training program of the upper limb combined with transcranial direct current stimulation (tDCS) in chronic stroke patients: study protocol for a randomised, double-blind, controlled trial",http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0120-1
12,Frequency of a very brief intervention by physiotherapists to increase physical activity levels in adults: a pilot randomised controlled trial,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0118-8
13,The effects of textured insoles on quiet standing balance in four stance types with and without vision,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0117-9
14,Universal goniometer and electro-goniometer intra-examiner reliability in measuring the knee range of motion during active knee extension test in patients with chronic low back pain with short hamstring muscle,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0116-x
15,Cross-cultural adaptation and measurement properties of the Dutch knee self efficacy scale (K-SES),http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0115-y
16,Long-term members’ use of fitness centers: a qualitative study,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-019-0114-z
17,Forces applied at the footrest during ergometer kayaking among female athletes at different competing levels – a pilot study,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0113-5
18,Angle-specific analysis of isokinetic quadriceps and hamstring torques and ratios in patients after ACL-reconstruction,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0112-6
19,Comparison of the kinematics and kinetics of shoulder exercises performed with constant and elastic resistance,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0111-7
20,Exercise as ‘precision medicine’ for insulin resistance and its progression to type 2 diabetes: a research review,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0110-8
21,A protocol to prospectively assess risk factors for medial tibial stress syndrome in distance runners,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0109-1
22,Effects of high intensity interval training on exercise capacity in people with cystic fibrosis: study protocol for a randomised controlled trial,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0108-2
23,Swimming induced pulmonary oedema in athletes – a systematic review and best evidence synthesis,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0107-3
24,The influence of kinesiology tape colour on performance and corticomotor activity in healthy adults: a randomised crossover controlled trial,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0106-4
25,Are oral health and fixed orthodontic appliances associated with sports injuries and postural stability in elite junior male soccer players?,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0105-5
26,Agreement between test procedures for the single-leg hop for distance and the single-leg mini squat as measures of lower extremity function,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0104-6
27,"How to squat? Effects of various stance widths, foot placement angles and level of experience on knee, hip and trunk motion and loading",http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0103-7
28,Association between trunk pain and lower extremity pain among youth soccer players: a cross-sectional study,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0102-8
29,Effects of heat stress and dehydration on cognitive function in elite female field hockey players,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0101-9
30,Relationship between gait kinematics and walking energy expenditure during pregnancy in South African women,http://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0100-x
