No.,Title,Link
1,Characterization of putative proteins encoded by variable ORFs in white spot syndrome virus genome,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0106-y
2,Correction to: Classification of the human THAP protein family identifies an evolutionarily conserved coiled coil region,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0105-z
3,Effect of low complexity regions within the PvMSP3α block II on the tertiary structure of the protein and implications to immune escape mechanisms,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0104-0
4,QRNAS: software tool for refinement of nucleic acid structures,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0103-1
5,Classification of the human THAP protein family identifies an evolutionarily conserved coiled coil region,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0102-2
6,A new technique for predicting intrinsically disordered regions based on average distance map constructed with inter-residue average distance statistics,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0101-3
7,The human transketolase-like proteins TKTL1 and TKTL2 are bona fide transketolases,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0099-y
8,Crystal structure of E. coli PRPP synthetase,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-019-0100-4
9,Deciphering evolution of immune recognition in antibodies,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0096-1
10,Cryo-electron microscope image denoising based on the geodesic distance,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0094-3
11,Novel features in the structure of P-glycoprotein (ABCB1) in the post-hydrolytic state as determined at 7.9 Å resolution,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0098-z
12,An improved protein structure evaluation using a semi-empirically derived structure property,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0097-0
13,Comparative analysis of interactions between aryl hydrocarbon receptor ligand binding domain with its ligands: a computational study,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0095-2
14,Crystal structure of carbonic anhydrase CaNce103p from the pathogenic yeast Candida albicans,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0093-4
15,Computational analysis of the interactions of a novel cephalosporin derivative with β-lactamases,http://bmcstructbiol.biomedcentral.com/track/pdf/10.1186/s12900-018-0092-5
