No.,Title,Link
1,Treatment of L5 - S1 intervertebral disc herniation with posterior percutaneous full-endoscopic discectomy by grafting tubes at various positions via an interlaminar approach,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0589-2
2,Diagnosis and management of a trapped lung or diaphragm by fractured ribs: analysis of patients undergoing rib fracture repair,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0581-x
3,Long-term survival after anterior approach right hepatectomy combined with inferior vena cava thrombectomy using trans-diaphragmatic intrapericardial inferior vena cava occlusion: a case report and review of the literature,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0568-7
4,Pancreaticoduodenectomy versus limited resection for duodenal gastrointestinal stromal tumors: a systematic review and meta-analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0587-4
5,Parathyroid identification by autofluorescence – preliminary report on five cases of surgery for primary hyperparathyroidism,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0590-9
6,"Challenges and potential solutions to the evaluation, monitoring, and regulation of surgical innovations",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0586-5
7,Successful recognition and percutaneous coronary intervention of delayed severe multiple coronary artery dissection caused by cardiac surgery: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0579-4
8,A meta-analysis of comparison of proximal gastrectomy with double-tract reconstruction and total gastrectomy for proximal early gastric cancer,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0584-7
9,Comparison of clinical outcomes of expansive open-door laminoplasty with unilateral or bilateral fixation and fusion for treating cervical spondylotic myelopathy: a multi-center prospective study,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0583-8
10,Intraductal papillary mucinous neoplasms of the pancreas and European guidelines: importance of the surgery type in the decision-making process,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0580-y
11,C-reactive protein elevation ratio as an early predictor of postoperative severe complications after laparoscopic gastrectomy for gastric cancer: a retrospective study,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0582-9
12,Severe pancreatitis complicated by abdominal compartment syndrome managed with decompressive laparotomy: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0575-8
13,"The workday of hospital surgeons: what they do, what makes them satisfied, and the role of core tasks and administrative tasks; a diary study",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0570-0
14,Single mutidrug resistant enterobacteriacae donor-derived infection in four solid organ transplant recipients: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0574-9
15,Meta-analysis of studies comparing conservative treatment with antibiotics and appendectomy for acute appendicitis in the adult,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0578-5
16,Laparoscopic Management of Boerhaave’s syndrome: a case report with an intraoperative video,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0576-7
17,The impact of surgical experience and frequency of practice on perioperative outcomes in pancreatic surgery,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0577-6
18,Retrospective study on pattern and outcome of management of sigmoid volvulus at district hospital in Ethiopia,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0561-1
19,Influence of age on postoperative complications especially pneumonia after gastrectomy for gastric cancer,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0573-x
20,Safety of esophagogastroduodenoscopy-guided forceps biopsy and the feasibility of esophagogastroduodenoscopy for evaluation of hypopharyngeal cancer,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0571-z
21,Intraoperative detection of the remnant cystic duct during robot-assisted surgery using near-infrared fluorescence imaging: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0567-8
22,Incisional hernia recurrence after open elective repair: expertise in abdominal wall surgery matters,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0569-6
23,Removal of a broken acupuncture needle in retroperitoneum by laparoscopy: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0572-y
24,"Missed manubriosternal dislocation in patient with thoracolumbar fracture, a case report",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0564-y
25,Transcatheter arterial chemoembolization improves the resectability of malignant breast phyllodes tumor with angiosarcoma component: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0562-0
26,The surgical treatment strategies for thoracolumbar spine fractures with ankylosing spondylitis: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0565-x
27,Risk factors for neck hematoma requiring surgical re-intervention after thyroidectomy: a systematic review and meta-analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0559-8
28,Use of barbed sutures in robotic bariatric bypass surgery: a single-center case series,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0563-z
29,Suboccipital neuralgia after C1 pedicle screw insertion: do we neglect atlantooccipital joint violation? - Case report and literature review,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0551-3
30,Current approaches in the surgical treatment of liver hydatid disease: single center experience,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0553-1
31,"Coexistent papillary thyroid carcinoma diagnosed in surgically treated patients for primary versus secondary hyperparathyroidism: same incidence, different characteristics",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0556-y
32,Open ventral hernia repair with a composite ventral patch - final results of a multicenter prospective study,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0555-z
33,Lead fixation in deep brain stimulation: comparison of three lead anchoring devices in China,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0558-9
34,A rare case of central pancreatectomy for isolated complete pancreatic neck transection trauma,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0557-x
35,Usefulness of the endoscopic surgical skill qualification system in laparoscopic colorectal surgery: short-term outcomes: a single-center and retrospective analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0528-2
36,Retrospective analysis of seven cases of pancreatic mixed adenoneuroendocrine carcinoma from a high-volume center and review of the literature,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0546-0
37,Learning curve analysis of transvaginal natural orifice transluminal endoscopic hysterectomy,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0554-0
38,Total thyroidectomy vs completion thyroidectomy for thyroid nodules with indeterminate cytology/follicular proliferation: a single-centre experience,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0552-2
39,Robotic-assisted versus conventional laparoscopic-assisted total gastrectomy with D2 lymphadenectomy for advanced gastric cancer: short-term outcomes at a mono-institution,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0549-x
40,Is suturing of the bladder defect in benign Enterovesical fistula necessary?,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0542-4
41,The value of combined vein resection in pancreaticoduodenectomy for pancreatic head carcinoma: a meta-analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0540-6
42,Risk of pancreatic cancer in patients undergoing surgery for chronic pancreatitis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0537-1
43,A new device to prevent fascial retraction in the open abdomen – proof of concept in vivo,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0543-3
44,Impact of wound closure on fibular donor-site morbidity: a meta-analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0545-1
45,Multiple giant coronary artery aneurysms combined with right coronary artery-pulmonary artery fistula: a case report,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0547-z
46,Functional outcomes after resections for low rectal tumors: comparison of Transanal with laparoscopic Total Mesorectal excision,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0550-4
47,Identifying risk factors of recurrence for clinically node negative papillary thyroid carcinoma with pathologic N1a,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0541-5
48,Pancreatitis following bariatric surgery,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0532-6
49,"An unusual case of intra orbital foreign body; diagnosis, management, and outcome: a case report",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0536-2
50,A score model based on pancreatic steatosis and fibrosis and pancreatic duct diameter to predict postoperative pancreatic fistula after Pancreatoduodenectomy,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0534-4
51,Treatment of L5 - S1 intervertebral disc herniation with posterior percutaneous full-endoscopic discectomy by grafting tubes at various positions via an interlaminar approach,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0589-2
52,Diagnosis and management of a trapped lung or diaphragm by fractured ribs: analysis of patients undergoing rib fracture repair,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0581-x
53,Long-term survival after anterior approach right hepatectomy combined with inferior vena cava thrombectomy using trans-diaphragmatic intrapericardial inferior vena cava occlusion: a case report and review of the literature,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0568-7
54,Pancreaticoduodenectomy versus limited resection for duodenal gastrointestinal stromal tumors: a systematic review and meta-analysis,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0587-4
55,Parathyroid identification by autofluorescence – preliminary report on five cases of surgery for primary hyperparathyroidism,http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0590-9
56,"Challenges and potential solutions to the evaluation, monitoring, and regulation of surgical innovations",http://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-019-0586-5
