No.,Title,Link
1,Is it safe to use a ureteral access sheath in an unstented ureter?,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0509-x
2,Ureteric stent versus percutaneous nephrostomy for acute ureteral obstruction - clinical outcome and quality of life: a bi-center prospective study,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0510-4
3,Relationship between alterations of urinary microbiota and cultured negative lower urinary tract symptoms in female type 2 diabetes patients,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0506-0
4,The impact of perivesical lymph node metastasis on clinical outcomes of bladder cancer patients undergoing radical cystectomy,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0507-z
5,Prevalence and associated factors for dipstick microscopic hematuria in men,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0505-1
6,Dissection of the inferior mesenteric vein versus of the inferior mesenteric artery for the genitourinary function after laparoscopic approach of rectal cancer surgery: a randomized controlled trial,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0501-5
7,Comparison of survival benefits of nephron-sparing intervention or active surveillance for patients with localized renal masses: a systematic review and meta-analysis,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0503-3
8,Is there any association between prostate-specific antigen screening frequency and uptake of active surveillance in men with low or very low risk prostate cancer?,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0502-4
9,"The role of RENAL, PADUA, C-index, CSA nephrometry systems in predicting ipsilateral renal function after partial nephrectomy",http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0504-2
10,Giant urethral calculus in anterior urethral diverticulum: a case report,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0498-9
11,"Comparison of various continence definitions in a large group of patients undergoing radical prostatectomy: a multicentre, prospective study",http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0500-6
12,RRM1 predicts clinical outcome of high-and intermediate-risk non-muscle-invasive bladder cancer patients treated with intravesical gemcitabine monotherapy,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0497-x
13,Improving ultrasound-based prostate volume estimation,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0492-2
14,A meta-analysis and The Cancer Genome Atlas data of prostate cancer risk and prognosis using epithelial cell adhesion molecule (EpCAM) expression,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0499-8
15,Prostate-specific antigen (PSA) and distress: - a cross-sectional nationwide survey in men with prostate cancer in Sweden,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0493-1
16,Complications of high volume circumcision: glans amputation in adolescents; a case report,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0462-8
17,"Testicular cancer in Geneva, Switzerland, 1970–2012: incidence trends, survival and risk of second cancer",http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0494-0
18,Pelvic plexus block to provide better anesthesia in transperineal template-guided prostate biopsy: a randomised controlled trial,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0496-y
19,Expression of components of the urothelial cholinergic system in bladder and cultivated primary urothelial cells of the pig,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0495-z
20,Reducing kidney motion: optimizing anesthesia and combining respiratory support for retrograde intrarenal surgery: a pilot study,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0491-3
21,Efficacy and safety of botulinum toxin a injection into urethral sphincter for underactive bladder,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0490-4
22,Testicular Cancer mortality in Brazil: trends and predictions until 2030,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0487-z
23,Practice patterns of ureteral access sheath during ureteroscopy for nephrolithiasis: a survey among endourologists worldwide,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0489-x
24,Evaluation of three stone-scoring systems for predicting SFR and complications after percutaneous nephrolithotomy: a systematic review and meta-analysis,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0488-y
25,A pilot study to assess the safety and usefulness of combined transurethral endoscopic mucosal resection and en-bloc resection for non-muscle invasive bladder cancer,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0486-0
26,The comparison of the effect of phenylephrine and epinephrine on penile spongy tissue in rats after experimental hypospadias surgery: a quantitative stereological study,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0483-3
27,Three novel methods to measure the postoperative displacement of lower urinary tract structures following radical prostatectomy in a sample of Korean patients,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0472-6
28,let-7i inhibits proliferation and migration of bladder cancer cells by targeting HMGA1,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0485-1
29,Testicular epidermoid cysts: a reevaluation,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0477-1
30,Long-term response of metastatic hereditary leiomyomatosis and renal cell carcinoma syndrome associated renal cell carcinoma to bevacizumab plus erlotinib after temsirolimus and axitinib treatment failures,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0484-2
31,Does preoperative percutaneous nephrostomy insertion worsen upper-tract urothelial cancer oncological outcome? A retrospective single center study,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0482-4
32,Hypertension as a prognostic factor in metastatic renal cell carcinoma treated with tyrosine kinase inhibitors: a systematic review and meta-analysis,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0481-5
33,Comparison of the long-term follow-up and perioperative outcomes of partial nephrectomy and radical nephrectomy for 4 cm to 7 cm renal cell carcinoma: a systematic review and meta-analysis,http://bmcurol.biomedcentral.com/track/pdf/10.1186/s12894-019-0480-6
