No.,Title,Link
1,Assessment of the efficacy of firocoxib (Previcox®) and grapiprant (Galliprant®) in an induced model of acute arthritis in dogs,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2052-0
2,Identification of Enterocytozoon bieneusi in goats and cattle in Thailand,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2054-y
3,Split spinal cord malformations in 4 Holstein Friesian calves,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2055-x
4,Identification of urine neutrophil gelatinase-associated lipocalin molecular forms and their association with different urinary diseases in cats,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2048-9
5,Development of a real-time loop-mediated isothermal amplification assay for detection of porcine circovirus 3,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2037-z
6,Host Prdx6 contributing to the intracellular survival of Brucella suis S2 strain,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2049-8
7,"Immune-complex glomerulonephritis in cats: a retrospective study based on clinico-pathological data, histopathology and ultrastructural features",http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2046-y
8,Natural chemotherapeutic alternatives for controlling of haemonchosis in sheep,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2050-2
9,Veterinary pharmacovigilance in sub-Sahara Africa context: a pilot study of adverse reactions to veterinary medicine in Cameroon,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2043-1
10,Phylogenetic evidence of a novel lineage of canine pneumovirus and a naturally recombinant strain isolated from dogs with respiratory illness in Thailand,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2035-1
11,Establishment and evaluation of a PRRSV-sensitive porcine endometrial epithelial cell line by transfecting SV40 large T antigen,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2051-1
12,Microbial community shifts elicit inflammation in the caecal mucosa via the GPR41/43 signalling pathway during subacute ruminal acidosis,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2031-5
13,Evaluation of the efficacy of ivermectin against Theileria orientalis infection in grazing cattle,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2042-2
14,Comparison of the clinical and radiographic appearance of the cervical vertebrae with histological and anatomical findings in an eight-month old warmblood stallion suffering from cervical vertebral stenotic myelopathy (CVSM),http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2047-x
15,Multi-host disease management: the why and the how to include wildlife,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2030-6
16,Rapid and simple detection of Glaesserella parasuis in synovial fluid by recombinase polymerase amplification and lateral flow strip,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2039-x
17,Magnetic resonance imaging of liver tumors using gadoxetic acid (Gd-EOB-DTPA) - pilot study,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2038-y
18,The effect of four different freezing conditions and time in frozen storage on the concentration of commonly measured growth factors and enzymes in equine platelet-rich plasma over six months,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2040-4
19,Safety and toxicity of combined oclacitinib and carboplatin or doxorubicin in dogs with solid tumors: a pilot study,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2032-4
20,Plasma protein fractions in free-living white-tailed eagle (Haliaeetus albicilla) nestlings from Norway,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2022-6
21,Cone-beam computed tomography of the head in standing equids,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2045-z
22,Co-infection of vvMDV with multiple subgroups of avian leukosis viruses in indigenous chicken flocks in China,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2041-3
23,Ex vivo biomechanical comparison of 2.7 mm string-of-pearl plate versus screw/wire/Polymethylmethacrylate composite fixation and 2.7 mm veterinary acetabular plate for repair of simulated canine acetabular fractures,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2024-4
24,Staphylococcus aureus-specific IgA antibody in milk suppresses the multiplication of S. aureus in infected bovine udder,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2025-3
25,Correction to: Characterization of functional traits with focus on udder health in heifers with divergent paternally inherited haplotypes on BTA18,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2034-2
26,Effect of a mechanical grooming brush on the behavior and health of recently weaned heifer calves,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2033-3
27,Suspected neurological toxicity after oral application of fluralaner (Bravecto®) in a Kooikerhondje dog,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2016-4
28,Pathogenicity comparison of duck Tembusu virus in different aged Cherry Valley breeding ducks,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2020-8
29,Comparison of three different PCR protocols for the detection of ferlaviruses,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2028-0
30,Epizootiological investigation of equine herpesvirus type 1 infection among Japanese racehorses before and after the replacement of an inactivated vaccine with a modified live vaccine,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2036-0
31,Smallholders’ perceptions on biosecurity and disease control in relation to African swine fever in an endemically infected area in Northern Uganda,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2005-7
32,Increased genetic variation of bovine viral diarrhea virus in dairy cattle in Poland,http://bmcvetres.biomedcentral.com/track/pdf/10.1186/s12917-019-2029-z
