No.,Title,Link
1,A combination intervention addressing sexual risk-taking behaviors among vulnerable women in Uganda: study protocol for a cluster randomized clinical trial,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0807-1
2,Association of breastfeeding and postmenopausal osteoporosis in Chinese women: a community-based retrospective study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0808-0
3,"Difference in vaginal microecology, local immunity and HPV infection among childbearing-age women with different degrees of cervical lesions in Inner Mongolia",http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0806-2
4,Barriers and facilitators to uptake of cervical cancer screening among women in Uganda: a systematic review,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0809-z
5,Female perspectives on male involvement in a human-papillomavirus-based cervical cancer-screening program in western Kenya,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0804-4
6,A qualitative exploration of ‘thrivership’ among women who have experienced domestic violence and abuse: Development of a new model,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0789-z
7,Reliability and validity of Japanese versions of the UCLA loneliness scale version 3 for use among mothers with infants and toddlers: a cross-sectional study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0792-4
8,Successful programmatic approaches to facilitating IUD uptake: CARE’s experience in DRC,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0793-3
9,The influence of probiotics on genital high-risk human papilloma virus clearance and quality of cervical smear: a randomized placebo-controlled trial,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0798-y
10,"Childhood adversity and women’s cardiometabolic health in adulthood: associations with health behaviors, psychological distress, mood symptoms, and personality",http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0797-z
11,Spontaneous regression of quiescent gestational trophoblastic disease after pregnancy: a case report,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0794-2
12,Growth pattern of uterine leiomyoma along pregnancy,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0803-5
13,How gender and religion impact uptake of family planning: results from a qualitative study in Northwestern Tanzania,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0802-6
14,Anemia and its determinant of in-school adolescent girls from rural Ethiopia: a school based cross-sectional study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0791-5
15,Psychological health of women who have conceived using assisted reproductive technology in Taiwan: findings from a longitudinal study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0801-7
16,Recurrent apical prolapse after high uterosacral ligament suspension – in a heterogenous cohort characterised by a high prevalence of previous pelvic operations,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0800-8
17,Removal of an endometrioma passing through the left greater sciatic foramen using a concomitant laparoscopic and transgluteal approach: case report,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0796-0
18,Symptoms of urinary incontinence and pelvic organ prolapse and physical performance in middle-aged women from Northeast Brazil: a cross-sectional study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0786-2
19,Reasons for delay in seeking treatment among women with obstetric fistula in Tanzania: a qualitative study,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0799-x
20,Myometrial progesterone hyper-responsiveness associated with increased risk of human uterine fibroids,http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0795-1
21,"Cervical cancer knowledge, attitudes, beliefs and practices of women aged at least 25 years in Harare, Zimbabwe",http://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/s12905-019-0790-6
