No.,Title,Link
1,Ecology and trophic role of Oncholaimus dyvae sp. nov. (Nematoda: Oncholaimidae) from the lucky strike hydrothermal vent field (Mid-Atlantic Ridge),http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0044-y
2,Fishing for iodine: what aquatic foraging by bonobos tells us about human evolution,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0043-z
3,"Sexual, ontogenetic, and geographic variation of the Neotropical freshwater ostracod Cytheridella ilosvayi",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0042-0
4,Nasal administration of gonadotropin releasing hormone (GnRH) elicits sperm production in Fowler’s toads (Anaxyrus fowleri),http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0040-2
5,"Elevated neopterin levels in wild, healthy chimpanzees indicate constant investment in unspecific immune system",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0041-1
6,External body temperature and vigilance to a lesser extent track variation in predation risk in domestic fowls,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-019-0039-8
7,Structure and function of the musculoskeletal ovipositor system of an ichneumonid wasp,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0037-2
8,Could prenatal sound discrimination predict vocal complexity later in life?,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0038-1
9,"Immunosenescence in a captive semelparous marsupial, the red-tailed phascogale (Phascogale calura)",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0036-3
10,Turbulence exposure recapitulates desperate behavior in late-stage sand dollar larvae,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0034-5
11,Natural selection in bats with historical exposure to white-nose syndrome,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0035-4
12,"Life as a fortress – structure, function, and adaptive values of morphological and chemical defense in the oribatid mite Euphthiracarus reticulatus (Actinotrichida)",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0031-8
13,The future of clay model studies,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0033-6
14,Brain investment under colony-level selection: soldier specialization in Eciton army ants (Formicidae: Dorylinae),http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0028-3
15,"Three new species of the fairy shrimp Eubranchipus Verill, 1870 (Branchiopoda: Anostraca) from northern Japan and far Eastern Russia",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0029-2
16,Molecular phylogeny of the Palaearctic butterfly genus Pseudophilotes (Lepidoptera: Lycaenidae) with focus on the Sardinian endemic P. barbagiae,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0032-7
17,The effects of group versus intensive housing on the retention of genetic diversity in insurance populations,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0026-x
18,"Low H2O2 and enhanced oxidative resistance in the diapause-destined pupa of silkworm, Antheraea mylitta (Lepidoptera:Saturniidae) suggest their possible involvement in dormancy and lifespan extension",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-018-0027-4
19,"Demography of a small, isolated tiger (Panthera tigris tigris) population in a semi-arid region of western India",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0025-y
20,Indigenous house mice dominate small mammal communities in northern Afghan military bases,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0024-z
21,"High-resolution monitoring from birth to sexual maturity of a male reef manta ray, Mobula alfredi, held in captivity for 7 years: changes in external morphology, behavior, and steroid hormones levels",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0023-0
22,"Effects of agrochemicals on disease severity of Acanthostomum burminis infections (Digenea: Trematoda) in the Asian common toad, Duttaphrynus melanostictus",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0022-1
23,"White-nose syndrome fungus, Pseudogymnoascus destructans, on bats captured emerging from caves during winter in the southeastern United States",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0021-2
24,Whole mitochondrial genomes provide increased resolution and indicate paraphyly in deer mice,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0020-3
25,Micro-CT imaging of live insects using carbon dioxide gas-induced hypoxia as anesthetic with minimal impact on certain subsequent life history traits,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0018-x
26,Shoaling promotes place over response learning but does not facilitate individual learning of that strategy in zebrafish (Danio rerio),http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0019-9
27,Erratum to: Survey of avifauna of the Gharana wetland reserve: implications for conservation in a semi-arid agricultural setting on the Indo-Pakistan border,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0017-y
28,Survey of avifauna of the Gharana wetland reserve: implications for conservation in a semi-arid agricultural setting on the Indo-Pakistan border,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0016-z
29,Rediscovering a forgotten canid species,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0015-0
30,Tracking the migration of a nocturnal aerial insectivore in the Americas,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0014-1
31,Caenorhabditis monodelphis sp. n.: defining the stem morphology and genomics of the genus Caenorhabditis,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-017-0013-2
32,LemurFaceID: a face recognition system to facilitate individual identification of lemurs,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0011-9
33,"Nymphister kronaueri von Beeren & Tishechkin sp. nov., an army ant-associated beetle species (Coleoptera: Histeridae: Haeteriinae) with an exceptional mechanism of phoresy",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0010-x
34,"Endocrine correlates of puberty in female Asian elephants (Elephas maximus) at the Pinnawala elephant orphanage, Sri Lanka",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0012-8
35,Sex-specific patterns in body mass and mating system in the Siberian flying squirrel,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0009-3
36,Body condition scoring of Bornean banteng in logged forests,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0007-5
37,BMC Zoology – a home for all zoological research in the BMC series,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0001-y
38,"Active parental care, reproductive performance, and a novel egg predator affecting reproductive investment in the Caribbean spiny lobster Panulirus argus",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0006-6
39,A new species of Hirudo (Annelida: Hirudinidae): historical biogeography of Eurasian medicinal leeches,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0002-x
40,Species-level divergences in multiple functional traits between the two endemic subspecies of Blue Chaffinches Fringilla teydea in Canary Islands,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0008-4
41,The cellular basis of bioadhesion of the freshwater polyp Hydra,http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0005-7
42,"Understanding the dynamics of physiological impacts of environmental stressors on Australian marsupials, focus on the koala (Phascolarctos cinereus)",http://bmczool.biomedcentral.com/track/pdf/10.1186/s40850-016-0004-8
