No.,Title,Link
1,Chemical sterilization with intratesticular administration of zinc gluconate in adult dogs: a preliminary report,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0092-8
2,"Step-by-step loupes-mTESE in non-obstructive azoospermic men, a retrospective study",http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0091-9
3,Metabolic syndrome and smoking are independent risk factors of male idiopathic infertility,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0090-x
4,Genes located in Y-chromosomal regions important for male fertility show altered transcript levels in cryptorchidism and respond to curative hormone treatment,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0089-3
5,"Two cases of male patients followed for a classical form of congenital adrenal hyperplasia (CAH), presenting an azoospermia: analysis and review of the literature",http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0084-8
6,Semen and male genital tract characteristics of patients with Fabry disease: the FERTIFABRY multicentre observational study,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0088-4
7,Obesity related metabolic endotoxemia is associated with oxidative stress and impaired sperm DNA integrity,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0087-5
8,Genetic defects in human azoospermia,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0086-6
9,Testosterone replacement therapy and the risk of adverse cardiovascular outcomes and mortality,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0085-7
10,Genetic causes of male infertility: snapshot on morphological abnormalities of the sperm flagellum,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-019-0083-9
11,Protective role of N-acetylcysteine (NAC) on human sperm exposed to etoposide,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-018-0082-2
12,Penile Lymphangioma: review of the literature with a case presentation,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-018-0081-3
13,The 100 most influential manuscripts in andrology: a bibliometric analysis,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-018-0080-4
14,Effects of lipopolysaccharide-induced inflammation on hypoxia and inflammatory gene expression pathways of the rat testis,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-018-0079-x
15,Epididymal approaches to male contraception,http://bacandrology.biomedcentral.com/track/pdf/10.1186/s12610-018-0078-y
