No.,Title,Link
1,Age and cognitive status dependent differences in blood steroid and thyroid hormone concentrations in intact male rats,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0161-3
2,Neuroprotective effects of Withania somnifera in BPA induced-cognitive dysfunction and oxidative stress in mice,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0160-4
3,Cerebellar activation associated with model-based estimation of tool-use consequences,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0158-y
4,Studying alcohol use disorder using Drosophila melanogaster in the era of ‘Big Data’,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0159-x
5,Consequences of multilingualism for neural architecture,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0157-z
6,Motor cortex and pain control: exploring the descending relay analgesic pathways and spinal nociceptive neurons in healthy conscious rats,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0156-0
7,Anticipation of difficult tasks: neural correlates of negative emotions and emotion regulation,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0155-1
8,Age-related changes in neuroinflammation and prepulse inhibition in offspring of rats treated with Poly I:C in early gestation,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0154-2
9,Impaired innate and conditioned social behavior in adult C57Bl6/J mice prenatally exposed to chlorpyrifos,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0153-3
10,Behavioral models in psychopathology: epistemic and semantic considerations,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-019-0152-4
11,Narcolepsy and emotional experience: a review of the literature,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0151-x
12,Selective impairment of attentional set shifting in adults with ADHD,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0150-y
13,A novel approach to emotion recognition using local subset feature selection and modified Dempster-Shafer theory,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0149-4
14,Effects of social defeat stress on dopamine D2 receptor isoforms and proteins involved in intracellular trafficking,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0148-5
15,Associations of serotonin transporter gene promoter polymorphisms and monoamine oxidase A gene polymorphisms with oppositional defiant disorder in a Chinese Han population,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0147-6
16,Memory and exploratory behavior impairment in ovariectomized Wistar rats,http://behavioralandbrainfunctions.biomedcentral.com/track/pdf/10.1186/s12993-018-0146-7
