No.,Title,Link
1,Estimation of AT and GC content distributions of nucleotide substitution rates in bacterial core genomes,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-019-0042-7
2,DPASF: a flink library for streaming data preprocessing,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-019-0041-8
3,Exploring relationships between medical college rankings and performance with big data,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-019-0040-9
4,Evaluating associative classification algorithms for Big Data,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0039-7
5,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0038-8
6,Nonconvex matrix completion with Nesterov’s acceleration,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0037-9
7,Depth image-based plane detection,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0035-y
8,foo.castr: visualising the future AI workforce,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0034-z
9,A hybrid model for short term real-time electricity price forecasting in smart grid,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0036-x
10,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0033-0
11,Customized biomedical informatics,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0030-3
12,Identification of disease-distinct complex biomarker patterns by means of unsupervised machine-learning using an interactive R toolbox (Umatrix),http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0032-1
13,A scalable deep neural network architecture for multi-building and multi-floor indoor localization based on Wi-Fi fingerprinting,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0031-2
14,A review on multi-task metric learning,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-018-0029-9
15,Chinese text-line detection from web videos with fully convolutional networks,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0028-2
16,Bio-inspired optimization algorithms applied to rectenna design,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0026-4
17,Work ability assessment among acutely admitted patients using biomarkers,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0027-3
18,A subspace recursive and selective feature transformation method for classification tasks,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0025-5
19,Building a Chinese discourse topic corpus with a micro-topic scheme based on theme-rheme theory,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0023-7
20,Adaptive modeling for large-scale advertisers optimization,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0024-6
21,"Bacterial diversity analysis of Yumthang hot spring, North Sikkim, India by Illumina sequencing",http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0022-8
22,Two dimensional smoothing via an optimised Whittaker smoother,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-017-0021-9
23,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0020-2
24,Expressive modeling for trusted big data analytics: techniques and applications in sentiment analysis,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0018-9
25,Latent feature models for large-scale link prediction,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0016-y
26,PorthoMCL: Parallel orthology prediction using MCL for the realm of massive genome availability,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0019-8
27,A comprehensive model for management and validation of federal big data analytical systems,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0017-x
28,Recent trends in neuromorphic engineering,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0013-1
29,State-of-the-art on clustering data streams,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0011-3
30,Random bits regression: a strong general predictor for big data,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0010-4
31,Big data preprocessing: methods and prospects,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0014-0
32,An online-updating algorithm on probabilistic matrix factorization with active learning for task recommendation in crowdsourcing systems,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0012-2
33,Structure discovery in mixed order hyper networks,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0009-x
34,Validation of a motion capture system for deriving accurate ground reaction forces without a force plate,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0008-y
35,SDRNF: generating scalable and discriminative random nonlinear features from data,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0015-z
36,Semantic indexing with deep learning: a case study,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0007-z
37,Detection and prediction of insider threats to cyber security: a systematic literature review and meta-analysis,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0006-0
38,“Big Data” in neuroscience: open door to a more comprehensive and translational research,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0005-1
39,The emerging era of Big Data Analytics,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0004-2
40,Survey on data science with population-based algorithms,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0003-3
41,Big data for development: applications and techniques,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0002-4
42,Leveraging big data in population health management,http://bdataanalytics.biomedcentral.com/track/pdf/10.1186/s41044-016-0001-5
