No.,Title,Link
1,RNSCLC-PRSP software to predict the prognostic risk and survival in patients with resected T1-3N0–2 M0 non-small cell lung cancer,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0205-0
2,ViSEAGO: a Bioconductor package for clustering biological functions using Gene Ontology and semantic similarity,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0204-1
3,Disease associations depend on visit type: results from a visit-wide association study,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0203-2
4,Exploration of a diversity of computational and statistical measures of association for genome-wide genetic studies,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0201-4
5,On the utilization of deep and ensemble learning to detect milk adulteration,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0200-5
6,"ClickGene: an open cloud-based platform for big pan-cancer data genome-wide association study, visualization and exploration",http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0202-3
7,Confounding of linkage disequilibrium patterns in large scale DNA based gene-gene interaction studies,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0199-7
8,Innovative strategies for annotating the “relationSNP” between variants and molecular phenotypes,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0197-9
9,Within-sample co-methylation patterns in normal tissues,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0198-8
10,Characterizing human genomic coevolution in locus-gene regulatory interactions,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0195-y
11,Encodings and models for antimicrobial peptide classification for multi-resistant pathogens,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0196-x
12,Testing the assumptions of parametric linear models: the need for biological data mining in disciplines such as human genetics,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0194-z
13,Approximate kernel reconstruction for time-varying networks,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0192-1
14,A biplot correlation range for group-wise metabolite selection in mass spectrometry,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0191-2
15,Predicting opioid dependence from electronic health records with machine learning,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-019-0193-0
16,Use case driven evaluation of open databases for pediatric cancer research,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0190-8
17,Application of an interpretable classification model on Early Folding Residues during protein folding,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0188-2
18,Unified Cox model based multifactor dimensionality reduction method for gene-gene interaction analysis of the survival phenotype,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0189-1
19,Distributed retrieval engine for the development of cloud-deployed biological databases,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0185-5
20,Knomics-Biota - a system for exploratory analysis of human gut microbiota data,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0187-3
21,A fast forward 3D connection algorithm for mitochondria and synapse segmentations from serial EM images,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0183-7
22,Transition-transversion encoding and genetic relationship metric in ReliefF feature selection improves pathway enrichment in GWAS,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0186-4
23,Combining DNA methylation and RNA sequencing data of cancer for supervised knowledge extraction,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0184-6
24,To know the objective is not (necessarily) to know the objective function,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0182-8
25,Grasping frequent subgraph mining for bioinformatics applications,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0181-9
26,Functional relevance for central cornea thickness-associated genetic variants by using integrative analyses,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0179-3
27,Evolutionary methods for variable selection in the epidemiological modeling of cardiovascular diseases,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0180-x
28,Protein folding prediction in the HP model using ions motion optimization with a greedy algorithm,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0176-6
29,A multi-objective gene clustering algorithm guided by apriori biological knowledge with intensification and diversification strategies,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0178-4
30,TRIQ: a new method to evaluate triclusters,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0177-5
31,PathCORE-T: identifying and visualizing globally co-occurring pathways in large transcriptomic compendia,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0175-7
32,Integrative analysis of gene expression and methylation data for breast cancer cell lines,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0174-8
33,Measuring associations between the microbiota and repeated measures of continuous clinical variables using a lasso-penalized generalized linear mixed model,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0173-9
34,Soft document clustering using a novel graph covering approach,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0172-x
35,Characterizing the effects of missing data and evaluating imputation methods for chemical prioritization applications using ToxPi,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0169-5
36,Feature selection for gene prediction in metagenomic fragments,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0170-z
37,Gene set analysis methods: a systematic comparison,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0166-8
38,Connecting genetics and gene expression data for target prioritisation and drug repositioning,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0171-y
39,Improving machine learning reproducibility in genetic association studies with proportional instance cross validation (PICV),http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0167-7
40,Collective feature selection to identify crucial epistatic variants,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0168-6
41,Pairwise gene GO-based measures for biclustering of high-dimensional expression data,http://biodatamining.biomedcentral.com/track/pdf/10.1186/s13040-018-0165-9
