No.,Title,Link
1,Hemodynamic effects of enhanced external counterpulsation on cerebral arteries: a multiscale study,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0710-x
2,Virtual reality-based balance training system augmented with operant conditioning paradigm,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0709-3
3,Lower limb joint motion and muscle force in treadmill and over-ground exercise,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0708-4
4,Correction to: Effects of astrocyte on neuronal outgrowth in a layered 3D structure,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0707-5
5,"Gelatin-based perfusable, endothelial carotid artery model for the study of atherosclerosis",http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0706-6
6,Electrochemical characteristics of microelectrode designed for electrical stimulation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0704-8
7,Depth-dependent ratcheting strains of young and adult articular cartilages by experiments and predictions,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0705-7
8,A novel time-difference electrical impedance tomography algorithm using multi-frequency information,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0703-9
9,Integrated EIT system for functional lung ventilation imaging,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0701-y
10,Evaluation of flow changes after telescopic stenting of a giant fusiform aneurysm of the vertebrobasilar junction,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0699-1
11,What the future holds for Biomedical Engineering Online?,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0702-x
12,Correction to: Proposal of a new conceptual gait model for patients with Parkinson’s disease based on factor analysis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0698-2
13,Selective modulation of neuronal firing by pulse stimulations with different frequencies in rat hippocampus,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0700-z
14,An integrated model using the Taguchi method and artificial neural network to improve artificial kidney solidification parameters,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0696-4
15,Development of temperature controller-integrated portable HIFU driver for thermal coagulation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0697-3
16,Design and evaluation of sound-based electronic football soccer training system for visually impaired athletes,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0695-5
17,High-frequency irreversible electroporation for cardiac ablation using an asymmetrical waveform,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0693-7
18,Effects of astrocyte on neuronal outgrowth in a layered 3D structure,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0694-6
19,Microfluidic DNA-based potassium nanosensors for improved dialysis treatment,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0692-8
20,Prediction of the mechanical response of cardiac alternans by using an electromechanical model of human ventricular myocytes,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0690-x
21,Generation of bioartificial hearts using decellularized scaffolds and mixed cells,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0691-9
22,Proposal of a new conceptual gait model for patients with Parkinson’s disease based on factor analysis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0689-3
23,Comparison of HRV indices obtained from ECG and SCG signals from CEBS database,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0687-5
24,In vivo experimental study on the resistance and stiffness of orbital suspension tissues with/without the extraocular muscles,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0688-4
25,Microaneurysm detection in fundus images using a two-step convolutional neural network,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0675-9
26,Imaging modalities to diagnose carotid artery stenosis: progress and prospect,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0685-7
27,The effect of spatial distances between holes and time delays between bone drillings based on examination of heat accumulation and risk of bone thermal necrosis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0686-6
28,Biomechanical evaluation of patellar tendon repair using Krackow suture technique,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0680-z
29,Is there any advantage of using stand-alone cages? A numerical approach,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0684-8
30,Retinal image synthesis from multiple-landmarks input with generative adversarial networks,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0682-x
31,Increased cardiorespiratory synchronization evoked by a breath controller based on heartbeat detection,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0683-9
32,Collaborative and secure transmission of medical data applied to mobile healthcare,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0674-x
33,Development and evaluation of a jaw-tracking system for mice: reconstruction of three-dimensional movement trajectories on an arbitrary point on the mandible,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0672-z
34,A multivariate relationship between the kinematic and clinical parameters of knee osteoarthritis population,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0676-8
35,The usefulness of isometric protocol for foot flexors and extensors in assessing the effects of 16-week rehabilitation regiment in poststroke patients,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0678-6
36,A novel vision-based system for quantitative analysis of abdominal aortic aneurysm deformation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0681-y
37,An on-line processing strategy for head movement interferences removal of dynamic brain electrical impedance tomography based on wavelet decomposition,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0668-8
38,Characterization of moderate tendinopathy in ex vivo stress-deprived rat tail tendons,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0673-y
39,Would a thermal sensor improve arm motion classification accuracy of a single wrist-mounted inertial device?,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0677-7
40,Evaluation of needle movement effect on root canal irrigation using a computational fluid dynamics model,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0679-5
41,Look me in the eye: evaluating the accuracy of smartphone-based eye tracking for potential application in autism spectrum disorder research,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0670-1
42,Hydraulic conductivity and low-density lipoprotein transport of the venous graft wall in an arterial bypass,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0669-7
43,Biomechanical investigation of dynamic hip screw and wire fixation on an unstable intertrochanteric fracture,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0663-0
44,Short-lag spatial coherence imaging using minimum variance beamforming on dual apertures,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0671-0
45,Cardiac monitoring of dogs via smartphone mechanocardiography: a feasibility study,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0667-9
46,A concentric tube-based 4-DOF puncturing needle with a novel miniaturized actuation system for vitrectomy,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0666-x
47,Retraction mechanics of Finochietto-style self-retaining thoracic retractors,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0664-z
48,Microneurography as a tool to develop decoding algorithms for peripheral neuro-controlled hand prostheses,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0659-9
49,Continuous distraction osteogenesis device with MAAC controller for mandibular reconstruction applications,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0655-0
50,Evaluation of corneal elastic modulus based on Corneal Visualization Scheimpflug Technology,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0662-1
51,Hemodynamic effects of enhanced external counterpulsation on cerebral arteries: a multiscale study,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0710-x
52,Virtual reality-based balance training system augmented with operant conditioning paradigm,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0709-3
53,Lower limb joint motion and muscle force in treadmill and over-ground exercise,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0708-4
54,Correction to: Effects of astrocyte on neuronal outgrowth in a layered 3D structure,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0707-5
55,"Gelatin-based perfusable, endothelial carotid artery model for the study of atherosclerosis",http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0706-6
56,Electrochemical characteristics of microelectrode designed for electrical stimulation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0704-8
57,Depth-dependent ratcheting strains of young and adult articular cartilages by experiments and predictions,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0705-7
58,A novel time-difference electrical impedance tomography algorithm using multi-frequency information,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0703-9
59,Integrated EIT system for functional lung ventilation imaging,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0701-y
60,Evaluation of flow changes after telescopic stenting of a giant fusiform aneurysm of the vertebrobasilar junction,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0699-1
61,What the future holds for Biomedical Engineering Online?,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0702-x
62,Correction to: Proposal of a new conceptual gait model for patients with Parkinson’s disease based on factor analysis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0698-2
63,Selective modulation of neuronal firing by pulse stimulations with different frequencies in rat hippocampus,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0700-z
64,An integrated model using the Taguchi method and artificial neural network to improve artificial kidney solidification parameters,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0696-4
65,Development of temperature controller-integrated portable HIFU driver for thermal coagulation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0697-3
66,Design and evaluation of sound-based electronic football soccer training system for visually impaired athletes,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0695-5
67,High-frequency irreversible electroporation for cardiac ablation using an asymmetrical waveform,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0693-7
68,Effects of astrocyte on neuronal outgrowth in a layered 3D structure,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0694-6
69,Microfluidic DNA-based potassium nanosensors for improved dialysis treatment,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0692-8
70,Prediction of the mechanical response of cardiac alternans by using an electromechanical model of human ventricular myocytes,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0690-x
71,Generation of bioartificial hearts using decellularized scaffolds and mixed cells,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0691-9
72,Proposal of a new conceptual gait model for patients with Parkinson’s disease based on factor analysis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0689-3
73,Comparison of HRV indices obtained from ECG and SCG signals from CEBS database,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0687-5
74,In vivo experimental study on the resistance and stiffness of orbital suspension tissues with/without the extraocular muscles,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0688-4
75,Microaneurysm detection in fundus images using a two-step convolutional neural network,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0675-9
76,Imaging modalities to diagnose carotid artery stenosis: progress and prospect,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0685-7
77,The effect of spatial distances between holes and time delays between bone drillings based on examination of heat accumulation and risk of bone thermal necrosis,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0686-6
78,Biomechanical evaluation of patellar tendon repair using Krackow suture technique,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0680-z
79,Is there any advantage of using stand-alone cages? A numerical approach,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0684-8
80,Retinal image synthesis from multiple-landmarks input with generative adversarial networks,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0682-x
81,Increased cardiorespiratory synchronization evoked by a breath controller based on heartbeat detection,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0683-9
82,Collaborative and secure transmission of medical data applied to mobile healthcare,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0674-x
83,Development and evaluation of a jaw-tracking system for mice: reconstruction of three-dimensional movement trajectories on an arbitrary point on the mandible,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0672-z
84,A multivariate relationship between the kinematic and clinical parameters of knee osteoarthritis population,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0676-8
85,The usefulness of isometric protocol for foot flexors and extensors in assessing the effects of 16-week rehabilitation regiment in poststroke patients,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0678-6
86,A novel vision-based system for quantitative analysis of abdominal aortic aneurysm deformation,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0681-y
87,An on-line processing strategy for head movement interferences removal of dynamic brain electrical impedance tomography based on wavelet decomposition,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0668-8
88,Characterization of moderate tendinopathy in ex vivo stress-deprived rat tail tendons,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0673-y
89,Would a thermal sensor improve arm motion classification accuracy of a single wrist-mounted inertial device?,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0677-7
90,Evaluation of needle movement effect on root canal irrigation using a computational fluid dynamics model,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0679-5
91,Look me in the eye: evaluating the accuracy of smartphone-based eye tracking for potential application in autism spectrum disorder research,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0670-1
92,Hydraulic conductivity and low-density lipoprotein transport of the venous graft wall in an arterial bypass,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0669-7
93,Biomechanical investigation of dynamic hip screw and wire fixation on an unstable intertrochanteric fracture,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0663-0
94,Short-lag spatial coherence imaging using minimum variance beamforming on dual apertures,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0671-0
95,Cardiac monitoring of dogs via smartphone mechanocardiography: a feasibility study,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0667-9
96,A concentric tube-based 4-DOF puncturing needle with a novel miniaturized actuation system for vitrectomy,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0666-x
97,Retraction mechanics of Finochietto-style self-retaining thoracic retractors,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0664-z
98,Microneurography as a tool to develop decoding algorithms for peripheral neuro-controlled hand prostheses,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0659-9
99,Continuous distraction osteogenesis device with MAAC controller for mandibular reconstruction applications,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0655-0
100,Evaluation of corneal elastic modulus based on Corneal Visualization Scheimpflug Technology,http://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-019-0662-1
