No.,Title,Link
1,Potential benefits of integrating ecological momentary assessment data into mHealth care systems,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0160-5
2,Iron deficiency anemia induced by magnesium overuse: a case report,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0159-y
3,Developing a Japanese version of the Injustice Experience Questionnaire-chronic and the contribution of perceived injustice to severity of menstrual pain: a web-based cross-sectional study,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0158-z
4,Correction to: Subjective well-being and problem-solving skills for alleviating the stress of elderly men attending a randomized controlled trial of shogi-assisted cognitive behavioral therapy,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0157-0
5,Could emotional eating act as a mediator between sleep quality and food intake in female students?,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0154-3
6,Cognitive behavioral therapy with interoceptive exposure and complementary video materials for irritable bowel syndrome (IBS): protocol for a multicenter randomized controlled trial in Japan,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0155-2
7,Relevance of hoarding behavior and the traits of developmental disorders among university students: a self-reported assessment study,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0156-1
8,"General health of students of medical sciences and its relation to sleep quality, cell phone overuse, social networks and internet addiction",http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0150-7
9,Subjective well-being and problem-solving skills for alleviating the stress of elderly men attending a randomized controlled trial of shogi-assisted cognitive behavioral therapy,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0153-4
10,Specific foods can reduce symptoms of irritable bowel syndrome and functional constipation: a review,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0152-5
11,Behavioral activation therapy for depression and anxiety in cancer patients: a case series study,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0151-6
12,Attitude of pregnant women towards Normal delivery and factors driving use of caesarian section in Iran (2016),http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0149-0
13,Investigating the effect of group counseling on family stress and anxiety of primiparous mothers during delivery,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0148-1
14,Psychosocial factors related with caregiver burden among families of children with chronic conditions,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0147-2
15,Special series on “effects of board games on health education and promotion” board games as a promising tool for health promotion: a review of recent literature,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0146-3
16,Changes in depression and anxiety through mindfulness group therapy in Japan: the role of mindfulness and self-compassion as possible mediators,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0145-4
17,Bio-psychosocial factors of children and adolescents with internet gaming disorder: a systematic review,http://bpsmedicine.biomedcentral.com/track/pdf/10.1186/s13030-019-0144-5
