No.,Title,Link
1,Neural activity regulates autoimmune diseases through the gateway reflex,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0030-2
2,Neuroimmunomodulation of tissue injury and disease: an expanding view of the inflammatory reflex pathway,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0029-8
3,Non-invasive treatment of patients with upper extremity spasticity following stroke using paired trans-spinal and peripheral direct current stimulation,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0028-9
4,Neurorestorative interventions involving bioelectronic implants after spinal cord injury,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0027-x
5,Identification of hypoglycemia-specific neural signals by decoding murine vagus nerve activity,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0025-z
6,Spinal cord stimulation in chronic pain: evidence and theory for mechanisms of action,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0023-1
7,Stimulating ideas for heart regeneration: the future of nerve-directed heart therapy,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0024-0
8,Retraction Note: The quantum physiology of oxygen; from electrons to the evolution of redox signaling in the human brain,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0026-y
9,Assessment of glutamatergic synaptic transmission and plasticity in brain slices: relevance to bioelectronic approaches,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0022-2
10,Collateral benefits of studying the vagus nerve in bioelectronic medicine,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0021-3
11,Investigational treatment of rheumatoid arthritis with a vibrotactile device applied to the external ear,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0020-4
12,Design and testing of a 96-channel neural interface module for the Networked Neuroprosthesis system,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0019-x
13,Cleveland neural engineering workshop 2017: strategic evaluation of neural engineering,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0017-z
14,"Bioelectronic medicine: updates, challenges and paths forward",http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-019-0018-y
15,Proceedings of the second biennial Cleveland Neural Engineering Workshop 2013,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0016-5
16,Automated closed-loop control of diabetes: the artificial pancreas,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0015-6
17,RETRACTED ARTICLE: The quantum physiology of oxygen; from electrons to the evolution of redox signaling in the human brain,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0014-7
18,Development of visual Neuroprostheses: trends and challenges,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0013-8
19,Mapping the Brain’s electric fields with Magnetoelectric nanoparticles,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0012-9
20,Extracting wavelet based neural features from human intracortical recordings for neuroprosthetics applications,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0011-x
21,Review of the role of the nervous system in glucose homoeostasis and future perspectives towards the management of diabetes,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0009-4
22,Realizing flexible bioelectronic medicines for accessing the peripheral nerves – technology considerations,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0010-y
23,Electrical stimulation of renal nerves for modulating urine glucose excretion in rats,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0008-5
24,Recent advances in materials and flexible electronics for peripheral nerve interfaces,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0007-6
25,B fibers are the best predictors of cardiac activity during Vagus nerve stimulation,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0005-8
26,Is-there a place for vagus nerve stimulation in inflammatory bowel diseases?,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0004-9
27,Standardization of methods to record Vagus nerve activity in mice,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0002-y
28,Electroencephalographic read-outs of the modulation of cortical network activity by deep brain stimulation,http://bioelecmed.biomedcentral.com/track/pdf/10.1186/s42234-018-0003-x
