No.,Title,Link
1,"Genetic Manipulation of MicroRNAs in the Silk Gland of Silkworm, Bombyx Mori",http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0102-4
2,Immunostick Test for Detecting ζ-Globin Chains and Screening of the Southeast Asian α-Thalassemia 1 Deletion,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0104-2
3,Exploiting Differential Gene Expression to Discover Ionic and Osmotic-Associated Transcripts in the Halophyte Grass Aeluropus littoralis,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0103-3
4,Automated macrophage counting in DLBCL tissue samples: a ROF filter based approach,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0098-9
5,Establishment and Morphological Characterization of Patient-Derived Organoids from Breast Cancer,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0099-8
6,Correlations between quantitative parameters of contrast-enhanced ultrasound and vasculogenic mimicry in murine tumor model: a novel noninvasive technique for assessment?,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0101-5
7,Correction to: Three-Dimensional Quantification of Spheroid Degradation-Dependent Invasion and Invadopodia Formation,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0100-6
8,An Alternative Model of Laser-Induced Stroke in the Motor Cortex of Rats,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0097-x
9,Use of Plasmid pVMG to Make Transcriptional ß-Glucuronidase Reporter Gene Fusions in the Rhizobium Genome for Monitoring the Expression of Rhizobial Genes In Vivo,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0096-y
10,An Overview of Methods for Reconstructing 3-D Chromosome and Genome Structures from Hi-C Data,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0094-0
11,A Cautionary Tale: Endogenous Biotinylated Proteins and Exogenously-Introduced Protein A Cause Antibody-Independent Artefacts in Western Blot Studies of Brain-Derived Proteins,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0095-z
12,Development of Effective Therapeutics Targeting HER3 for Cancer Treatment,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0093-1
13,Effective Visualization and Easy Tracking of Extracellular Vesicles in Glioma Cells,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0092-2
14,A simple and reliable protocol for long-term culture of murine bone marrow stromal (mesenchymal) stem cells that retained their in vitro and in vivo stemness in long-term culture,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0091-3
15,Regeneration of TiO2 Nanotube Arrays after Long-Term Cell and Tissue Culture for Multiple Use – an Environmental Scanning Electron Microscopy (ESEM) Survey of Adult Pig Retina and beyond,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-019-0090-4
16,Circular Estimate Method (CEM) - a Simple Method to Estimate Caenorhabditis elegans Culture Densities in Liquid Medium,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0089-2
17,Performance evaluation for MOTIFSIM,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0088-3
18,Anti-inflammatory Activity of Tocotrienols in Age-related Pathologies: A SASPected Involvement of Cellular Senescence,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0087-4
19,CRISPR/Cas9 Knockout Strategies to Ablate CCAT1 lncRNA Gene in Cancer Cells,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0086-5
20,Three-Dimensional Quantification of Spheroid Degradation-Dependent Invasion and Invadopodia Formation,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0085-6
21,Modified SureSelectQXT Target Enrichment Protocol for Illumina Multiplexed Sequencing of FFPE Samples,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0084-7
22,"A New ELISA to Overcome the Pitfalls in Quantification of Recombinant Human Monoclonal Anti-HBs, GC1102, by Commercial Immunoassays",http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0083-8
23,microRNA Regulation in Estrogen Receptor-Positive Breast Cancer and Endocrine Therapy,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0082-9
24,Targeting of HER3 with Functional Cooperative miRNAs Enhances Therapeutic Activity in HER2-Overexpressing Breast Cancer Cells,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0081-x
25,Real-Time Vital Mineralization Detection and Quantification during In Vitro Osteoblast Differentiation,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0079-4
26,Icariin: a Potential Compound for the Recovery of Tibial Dyschondroplasia Affected Chicken Via Up-Regulating BMP-2 Expression,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0080-y
27,Optimization of Immunofluorescent Detection of Bone Marrow Disseminated Tumor Cells,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0078-5
28,Method for improving the quality of genomic DNA obtained from minute quantities of tissue and blood samples using Chelex 100 resin,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0077-6
29,Isolation and Semi Quantitative PCR of Na+/H+ Antiporter (SOS1 and NHX) Genes under Salinity Stress in Kochia scoparia,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0076-7
30,Blockade of ITGA2 Induces Apoptosis and Inhibits Cell Migration in Gastric Cancer,http://biologicalproceduresonline.biomedcentral.com/track/pdf/10.1186/s12575-018-0073-x
