No.,Title,Link
1,Light-induced injury in mouse embryos revealed by single-cell RNA sequencing,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0256-1
2,Molecular aspects of the teratogenesis of rubella virus,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0254-3
3,Desiccation tolerance in the Antarctic moss Sanionia uncinata,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0251-6
4,Resveratrol reduces store-operated Ca2+ entry and enhances the apoptosis of fibroblast-like synoviocytes in adjuvant arthritis rats model via targeting ORAI1–STIM1 complex,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0250-7
5,"Palmitic acid-induced lipotoxicity promotes a novel interplay between Akt-mTOR, IRS-1, and FFAR1 signaling in pancreatic β-cells",http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0253-4
6,Effects of deficit irrigation and kaolin application on vegetative growth and fruit traits of two early ripening apple cultivars,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0252-5
7,Protein expression profiles and clinicopathologic characteristics associate with gastric cancer survival,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0249-0
8,Role of JNK and ERK1/2 MAPK signaling pathway in testicular injury of rats induced by di-N-butyl-phthalate (DBP),http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0248-1
9,A novel hydrazide compound exerts anti-metastatic effect against breast cancer,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0247-2
10,Stress and defense responses in plant secondary metabolites production,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0246-3
11,miR-29b-3p promotes progression of MDA-MB-231 triple-negative breast cancer cells through downregulating TRAF3,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0245-4
12,Berberine in combination with cisplatin induces necroptosis and apoptosis in ovarian cancer cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0243-6
13,Ropivacaine promotes apoptosis of hepatocellular carcinoma cells through damaging mitochondria and activating caspase-3 activity,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0242-7
14,TFAP2C increases cell proliferation by downregulating GADD45B and PMAIP1 in non-small cell lung cancer cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0244-5
15,Psoralen inhibits malignant proliferation and induces apoptosis through triggering endoplasmic reticulum stress in human SMMC7721 hepatoma cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0241-8
16,LncRNA CASC11 promotes the cervical cancer progression by activating Wnt/beta-catenin signaling pathway,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0240-9
17,The long non-coding RNA H19 induces hypoxia/reoxygenation injury by up-regulating autophagy in the hepatoma carcinoma cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0239-2
18,Effects of DACT1 methylation status on invasion and metastasis of nasopharyngeal carcinoma,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0238-3
19,Chronic prostatitis alters the prostatic microenvironment and accelerates preneoplastic lesions in C57BL/6 mice,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0237-4
20,CXCL8(3–72) K11R/G31P protects against sepsis-induced acute kidney injury via NF-κB and JAK2/STAT3 pathway,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0236-5
21,Effect of carbamylated erythropoietin on neuronal apoptosis in fetal rats during intrauterine hypoxic-ischemic encephalopathy,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0234-7
22,Abnormal expression of TBX4 during anorectal development in rat embryos with ethylenethiourea-induced anorectal malformations,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0235-6
23,ROS play an important role in ATPR inducing differentiation and inhibiting proliferation of leukemia cells by regulating the PTEN/PI3K/AKT signaling pathway,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0232-9
24,Origination and selection of ABCDE and AGL6 subfamily MADS-box genes in gymnosperms and angiosperms,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0233-8
25,PELI3 mediates pro-tumor actions of down-regulated miR-365a-5p in non-small cell lung cancer,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0230-y
26,Effect of cytoglobin overexpression on extracellular matrix component synthesis in human tenon fibroblasts,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0229-4
27,Involvement of endothelial CK2 in the radiation induced perivascular resistant niche (PVRN) and the induction of radioresistance for non-small cell lung cancer (NSCLC) cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0231-x
28,Methylation profile of the ADRB3 gene and its association with lipid profile and nutritional status in adults,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0226-7
29,Molecular cloning and subcellular localization of six HDACs and their roles in response to salt and drought stress in kenaf (Hibiscus cannabinus L.),http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0227-6
30,Identification and characterization of CircRNAs involved in the regulation of wheat root length,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0228-5
31,"MicroRNA-663 facilitates the growth, migration and invasion of ovarian cancer cell by inhibiting TUSC2",http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0219-6
32,"Plant morphology, physiological characteristics, accumulation of secondary metabolites and antioxidant activities of Prunella vulgaris L. under UV solar exclusion",http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0225-8
33,In vitro transplantation of spermatogonial stem cells isolated from human frozen–thawed testis tissue can induce spermatogenesis under 3-dimensional tissue culture conditions,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0223-x
34,Effects of glutamine deprivation on oxidative stress and cell survival in breast cell lines,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0224-9
35,Knock-down the expression of TaH2B-7D using virus-induced gene silencing reduces wheat drought tolerance,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0222-y
36,Functional and transcriptomic characterization of carboplatin-resistant A2780 ovarian cancer cell line,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0220-0
37,CoCl2 simulated hypoxia induce cell proliferation and alter the expression pattern of hypoxia associated genes involved in angiogenesis and apoptosis,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0221-z
38,IRF2–INPP4B-mediated autophagy suppresses apoptosis in acute myeloid leukemia cells,http://biolres.biomedcentral.com/track/pdf/10.1186/s40659-019-0218-7
