No.,Title,Link
1,Integration of molecular features with clinical information for predicting outcomes for neuroblastoma patients,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0244-y
2,Antibiotic resistance and metabolic profiles as functional biomarkers that accurately predict the geographic origin of city metagenomics samples,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0246-9
3,The role of synthetic biology in climate change mitigation,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0247-8
4,Application of machine learning techniques for creating urban microbial fingerprints,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0245-x
5,Massive metagenomic data analysis using abundance-based machine learning,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0242-0
6,Identification of city specific important bacterial signature for the MetaSUB CAMDA challenge microbiome data,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0243-z
7,Associating expression and genomic data using co-occurrence measures,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0240-2
8,"MDA19, a novel CB2 agonist, inhibits hepatocellular carcinoma partly through inactivation of AKT signaling pathway",http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0241-1
9,Robust pathway-based multi-omics data integration using directed random walks for survival prediction in multiple cancer studies,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0239-8
10,Revealing the dominant long noncoding RNAs responding to the infection with Colletotrichum gloeosporioides in Hevea brasiliensis,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0235-z
11,A high-performance approach for predicting donor splice sites based on short window size and imbalanced large samples,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0236-y
12,Genome and pan-genome analysis to classify emerging bacteria,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0234-0
13,Integrative analysis based on survival associated co-expression gene modules for predicting Neuroblastoma patients’ survival time,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0229-2
14,From tumors to species: a SCANDAL hypothesis,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0233-1
15,Exon skipping-rich transcriptomes of animals reflect the significance of exon-shuffling in metazoan proteome evolution,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0231-3
16,Interface residues of transient protein-protein complexes have extensive intra-protein interactions apart from inter-protein interactions,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-019-0232-2
17,Stable coevolutionary regimes for genetic parasites and their hosts: you must differ to coevolve,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0230-9
18,Response to Martin and colleagues: mitochondria do not boost the bioenergetic capacity of eukaryotic cells,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0228-3
19,Reconstruction of endosomal organization and function by a combination of ODE and agent-based modeling strategies,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0227-4
20,Darwinian selection of host and bacteria supports emergence of Lamarckian-like adaptation of the system as a whole,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0224-7
21,Sense-antisense gene overlap is probably a cause for retaining the few introns in Giardia genome and the implications,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0226-5
22,Assessment of urban microbiome assemblies with the help of targeted in silico gold standards,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0225-6
23,Elusive data underlying debate at the prokaryote-eukaryote divide,http://biologydirect.biomedcentral.com/track/pdf/10.1186/s13062-018-0221-x
