No.,Title,Link
1,Muscle metabolism and atrophy: let’s talk about sex,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0257-3
2,Ischemia and reperfusion injury following cardioplegic arrest is attenuated by age and testosterone deficiency in male but not female mice,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0256-4
3,Sex differences in the association between spousal metabolic risk factors with incidence of type 2 diabetes: a longitudinal study of the Iranian population,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0255-5
4,Sex-specific association of metabolic risk factors with brain ischemic lesions by severity and location,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0254-6
5,Sex differences in perceptual responses to experimental pain before and after an experimental fatiguing arm task,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0253-7
6,Correction to: Siah2 modulates sex-dependent metabolic and inflammatory responses in adipose tissue to a high-fat diet challenge,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0252-8
7,Sex differences in nicotine-enhanced Pavlovian conditioned approach in rats,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0244-8
8,Sex differences in metabolic effects of angiotensin-(1-7) treatment in obese mice,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0251-9
9,Sex differences in brain activation patterns with mental stress in patients with coronary artery disease,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0248-4
10,Impaired sleep quality is associated with concurrent elevations in inflammatory markers: are post-menopausal women at greater risk?,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0250-x
11,Sex differences in the association of metabolic syndrome with low back pain among middle-aged Japanese adults: a large-scale cross-sectional study,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0249-3
12,Sex differences in gray matter volume: how many and how large are they really?,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0245-7
13,Sex differences in the metabolic effects of the renin-angiotensin system,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0247-5
14,"Sex hormones, aging and cardiometabolic syndrome",http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0246-6
15,"Sex, gut microbiome, and cardiovascular disease risk",http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0240-z
16,Sex steroid hormone modulation of neural stem cells: a critical review,http://bsd.biomedcentral.com/track/pdf/10.1186/s13293-019-0242-x
