No.,Title,Link
1,Mesothelin as a biomarker for targeted therapy,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0169-8
2,Seeking biomarkers for acute graft-versus-host disease: where we are and where we are heading?,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0167-x
3,Comprehensive analysis of peroxiredoxins expression profiles and prognostic values in breast cancer,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0168-9
4,Targeted therapies for myeloproliferative neoplasms,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0166-y
5,A preliminary analysis of interleukin-1 ligands as potential predictive biomarkers of response to cetuximab,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0164-0
6,DLGAP1 directs megakaryocytic growth and differentiation in an MPL dependent manner in hematopoietic cells,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0165-z
7,Identification of TCR Vβ11-2-Dβ1-Jβ1-1 T cell clone specific for WT1 peptides using high-throughput TCRβ gene sequencing,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0163-1
8,Cyclin D1 + large B-cell lymphoma with altered CCND1 and BCL-6 rearrangements: a diagnostic challenge,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0162-2
9,Longitudinal study of leukocyte DNA methylation and biomarkers for cancer risk in older adults,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0161-3
10,Inotuzumab ozogamicin in clinical development for acute lymphoblastic leukemia and non-Hodgkin lymphoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0160-4
11,Exosomes from mesenchymal stem/stromal cells: a new therapeutic paradigm,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0159-x
12,The association between early neurological deterioration and whole blood purine concentration during acute stroke,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0158-y
13,Novel insights into MSC-EVs therapy for immune diseases,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0156-0
14,Elevated doublecortin-like kinase 1 serum levels revert to baseline after therapy in early stage esophageal adenocarcinoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0157-z
15,The utility of neutrophil gelatinase-associated Lipocalin (NGAL) as a marker of acute kidney injury (AKI) in critically ill patients,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0155-1
16,Measuring disease activity and predicting response to intravenous immunoglobulin in chronic inflammatory demyelinating polyneuropathy,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-019-0154-2
17,Pluripotency markers are differentially induced by IGF1 and bFGF in cells from patients’ lesions of large/giant congenital melanocytic nevi,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0152-9
18,Discovery of KIRREL as a biomarker for prognostic stratification of patients with thin melanoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0153-8
19,Reduced nuclear DNA methylation and mitochondrial transcript changes in adenomas do not associate with mtDNA methylation,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0151-x
20,The orphan nuclear receptor EAR-2 (NR2F6) inhibits hematopoietic cell differentiation and induces myeloid dysplasia in vivo,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0149-4
21,OPCML is hypermethylated in a subset of patients with metaplastic changes in their esophagus,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0150-y
22,EZH2 as a therapeutic target for multiple myeloma and other haematological malignancies,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0148-5
23,Philadelphia chromosome positive AML arising from JAK2-positive myelofibrosis,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0147-6
24,Molecular landscape and targeted therapy of acute myeloid leukemia,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0146-7
25,Heterogeneous expression of EPCAM in human circulating tumour cells from patient-derived xenografts,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0145-8
26,Overexpression and cytoplasmic localization of caspase-6 is associated with lamin A degradation in set of ovarian cancers,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0144-9
27,SRSF2 mutations in myelodysplasia/myeloproliferative neoplasms,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0142-y
28,Aptamer-based search for correlates of plasma and serum water T2: implications for early metabolic dysregulation and metabolic syndrome,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0143-x
29,Dysregulated transcriptional networks in KMT2A- and MLLT10-rearranged T-ALL,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0141-z
30,Combination statin and chemotherapy inhibits proliferation and cytotoxicity of an aggressive natural killer cell leukemia,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0140-0
31,Investigation of HNF-1B as a diagnostic biomarker for pancreatic ductal adenocarcinoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0139-6
32,Phosphatidylinositol 3-kinase-δ (PI3K-δ) is a potential therapeutic target in adult T-cell leukemia-lymphoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0138-7
33,Fibronectin protein expression in renal cell carcinoma in correlation with clinical stage of tumour,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0137-8
34,Kinomic profiling of glioblastoma cells reveals PLCG1 as a target in restricted glucose,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0136-9
35,Chemerin is elevated in multiple myeloma patients and is expressed by stromal cells and pre-adipocytes,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0134-y
36,Serum levels of VEGF and MCSF in HER2+ / HER2- breast cancer patients with metronomic neoadjuvant chemotherapy,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0135-x
37,Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0133-z
38,Absence of calretinin protein expression in malignant mesotheliomas from asbestos-exposed NF2+/− mice and mouse mesothelioma cell lines from various mouse strains,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0132-0
39,microRNA based prognostic biomarkers in pancreatic Cancer,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0131-1
40,Preleukemic and second-hit mutational events in an acute myeloid leukemia patient with a novel germline RUNX1 mutation,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0130-2
41,"NKX2.2, PDX-1 and CDX-2 as potential biomarkers to differentiate well-differentiated neuroendocrine tumors",http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0129-8
42,"PI3K, p38 and JAK/STAT signalling in bronchial tissue from patients with asthma following allergen challenge",http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0128-9
43,Diagnosis of GATA2 haplo-insufficiency in a young woman prompted by pancytopenia with deficiencies of B-cell and dendritic cell development,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0127-x
44,Erythrocyte fatty acid profiles in children are not predictive of autism spectrum disorder status: a case control study,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0125-z
45,Suitability of Yin Yang 1 transcript and protein levels for biomarker studies in B cell non-Hodgkin lymphoma,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0126-y
46,Epigenetic regulation of cancer progression by EZH2: from biological insights to therapeutic potential,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0122-2
47,Correction to: Circulating tumor cell clusters-associated gene plakoglobin is a significant prognostic predictor in patients with breast cancer,http://biomarkerres.biomedcentral.com/track/pdf/10.1186/s40364-018-0124-0
