No.,Title,Link
1,Retro MTA and tricalcium phosphate/retro MTA for guided tissue regeneration of periodontal dehiscence defects in a dog model: a pilot study,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0163-0
2,Epsilon-Fe2O3 is a novel intermediate for magnetite biosynthesis in magnetotactic bacteria,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0162-1
3,Effects of micro-porosity and local BMP-2 administration on bioresorption of β-TCP and new bone formation,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0161-2
4,Tissue engineering a tendon-bone junction with biodegradable braided scaffolds,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0160-3
5,A new prototype melt-electrospinning device for the production of biobased thermoplastic sub-microfibers and nanofibers,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0159-9
6,Review of bone graft and bone substitutes with an emphasis on fracture surgeries,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0157-y
7,Recent advances in the development of gene delivery systems,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0156-z
8,Correction to: Hypoxic condition enhances chondrogenesis in synovium-derived mesenchymal stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0158-x
9,Ionic silver functionalized ovine forestomach matrix – a non-cytotoxic antimicrobial biomaterial for tissue regeneration applications,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0155-0
10,Preservation of allograft bone using a glycerol solution: a compilation of original preclinical research,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0154-1
11,3D printable hyaluronic acid-based hydrogel for its potential application as a bioink in tissue engineering,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0152-8
12,Bioactive calcium phosphate materials and applications in bone regeneration,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0149-3
13,Cosmeceutical activities of ethanol extract and its ethyl acetate fraction from coffee silverskin,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0151-9
14,Comparative studies on thin polycaprolactone-tricalcium phosphate composite scaffolds and its interaction with mesenchymal stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0153-7
15,Application of Bonelike® as synthetic bone graft in orthopaedic and oral surgery in veterinary clinical cases,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0150-x
16,Silicone breast implant modification review: overcoming capsular contracture,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0147-5
17,Recent advances in stem cell therapeutics and tissue engineering strategies,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0148-4
18,Calcium release and physical properties of modified carbonate apatite cement as pulp capping agent in dental application,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0146-6
19,Recent updates for biomaterials used in total hip arthroplasty,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0144-8
20,Mitochondria-targeting theranostics,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0145-7
21,"Nanoengineered, cell-derived extracellular matrix influences ECM-related gene expression of mesenchymal stem cells",http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0141-y
22,Application of black phosphorus nanodots to live cell imaging,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0142-x
23,Synthesis and characterization of thiolated hexanoyl glycol chitosan as a mucoadhesive thermogelling polymer,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0137-7
24,Layer-by-layer assembled polymeric thin films as prospective drug delivery carriers: design and applications,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0139-5
25,Hypoxic condition enhances chondrogenesis in synovium-derived mesenchymal stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0134-x
26,Injectable hydrogels delivering therapeutic agents for disease treatment and tissue engineering,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0138-6
27,Micro-CT – a digital 3D microstructural voyage into scaffolds: a systematic review of the reported methods and results,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0136-8
28,Clinical development of photodynamic agents and therapeutic applications,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0140-z
29,New opportunities for nanoparticles in cancer immunotherapy,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0133-y
30,Biogenic fabrication and characterization of silver nanoparticles using aqueous-ethanolic extract of lichen (Usnea longissima) and their antimicrobial activity,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0135-9
31,Tumor microenvironment-responsive nanoparticles for cancer theragnostic applications,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0132-z
32,A carboxymethyl dextran-based polymeric conjugate as the antigen carrier for cancer immunotherapy,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0131-0
33,Theranostics and contrast agents for magnetic resonance imaging,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0130-1
34,Antibody-mediated oral delivery of therapeutic DNA for type 2 diabetes mellitus,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0129-7
35,Classification of gallstones using Fourier-transform infrared spectroscopy and photography,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0128-8
36,Synthesis of a gadolinium based-macrocyclic MRI contrast agent for effective cancer diagnosis,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0127-9
37,Fabrication and optimization of Nanodiamonds-composited poly(ε-caprolactone) fibrous matrices for potential regeneration of hard tissues,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0126-x
38,Retraction Note: Fabrication of a microfluidic device for studying the in situ drug-loading/release behavior of graphene oxide-encapsulated hydrogel beads,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0125-y
39,Schwann cell durotaxis can be guided by physiologically relevant stiffness gradients,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0124-z
40,Induction of chondrogenesis of human placenta-derived mesenchymal stem cells via heparin-grafted human fibroblast derived matrix,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0121-2
41,Application of click chemistry in nanoparticle modification and its targeted delivery,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0123-0
42,Recent trends in bioinks for 3D printing,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0122-1
43,Two-dimensional material-based bionano platforms to control mesenchymal stem cell differentiation,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0120-3
44,Regulation of lubricin for functional cartilage tissue regeneration: a review,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0118-x
45,Analysis of trends and prospects regarding stents for human blood vessels,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0114-1
46,"RETRACTED ARTICLE: Fabrication of a microfluidic device for studying the in situ
drug-loading/release behavior of graphene oxide-encapsulated hydrogel
beads",http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0119-9
47,The effect of serum types on Chondrogenic differentiation of adipose-derived stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0116-z
48,Ferritin nanoparticles for improved self-renewal and differentiation of human neural stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0117-y
49,Differentiated osteoblasts derived decellularized extracellular matrix to promote osteogenic differentiation,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-018-0115-0
50,Sulfobetaine methacrylate hydrogel-coated anti-fouling surfaces for implantable biomedical devices,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-017-0113-7
51,Retro MTA and tricalcium phosphate/retro MTA for guided tissue regeneration of periodontal dehiscence defects in a dog model: a pilot study,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0163-0
52,Epsilon-Fe2O3 is a novel intermediate for magnetite biosynthesis in magnetotactic bacteria,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0162-1
53,Effects of micro-porosity and local BMP-2 administration on bioresorption of β-TCP and new bone formation,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0161-2
54,Tissue engineering a tendon-bone junction with biodegradable braided scaffolds,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0160-3
55,A new prototype melt-electrospinning device for the production of biobased thermoplastic sub-microfibers and nanofibers,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0159-9
56,Review of bone graft and bone substitutes with an emphasis on fracture surgeries,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0157-y
57,Recent advances in the development of gene delivery systems,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0156-z
58,Correction to: Hypoxic condition enhances chondrogenesis in synovium-derived mesenchymal stem cells,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0158-x
59,Ionic silver functionalized ovine forestomach matrix – a non-cytotoxic antimicrobial biomaterial for tissue regeneration applications,http://biomaterialsres.biomedcentral.com/track/pdf/10.1186/s40824-019-0155-0
