No.,Title,Link
1,Toll-like receptor 2 plays a critical role in pathogenesis of acne vulgaris,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-019-0042-2
2,Meta-analyses of associations of obesity with risk of melanoma and acne based on case-control studies,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-019-0041-3
3,"Community-acquired methicillin-resistant Staphylococcus aureus colonization in atopic dermatitis patients in Mansoura, Egypt",http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-019-0040-4
4,Aerobic bacteria associated with diabetic foot ulcers and their susceptibility pattern,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-019-0039-x
5,Effects of the myrtle essential oil on the acne skin—clinical trials for Korean women,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0038-3
6,"Anti-apoptotic, antioxidant and anti-aging effects of 6-shogaol on human dermal fibroblasts",http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0037-4
7,Inhibitory effect of naringenin on LPS-induced skin senescence by SIRT1 regulation in HDFs,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0035-6
8,Comparison of efficacy of commercially available vs. freshly prepared salicylic acid peel in treatment of acne: a randomized open-label study,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0036-5
9,Verification of air brush effectiveness using cosmeceutical ingredients,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0034-7
10,TGFβ family mimetic peptide promotes proliferation of human hair follicle dermal papilla cells and hair growth in C57BL/6 mice,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0033-8
11,Clinical application of a new hyaluronic acid filler based on its rheological properties and the anatomical site of injection,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0032-9
12,Exploring vitiligo susceptibility and management: a brief review,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0030-y
13,Anti-inflammatory and anti-aging effects of hydroxytyrosol on human dermal fibroblasts (HDFs),http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0031-x
14,Metagenomic approach in study and treatment of various skin diseases: a brief review,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0029-4
15,DermaGene and VitmiRS: a comprehensive systems analysis of genetic dermatological disorders,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0028-5
16,A new piece of an old puzzle: lack of association between C-Rel (rs13031237-rs842647) single nucleotide polymorphisms and non-segmental vitiligo,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0027-6
17,MMP expression alteration and MMP-1 production control by syringic acid via AP-1 mechanism,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0023-x
18,Anti-inflammatory effects of prunin on UVB-irradiated human keratinocytes,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0024-9
19,Antiapoptotic effects of scutellarin on ultraviolet A-irradiated HaCaT human keratinocytes,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0022-y
20,Inhibitory effect of phytol on cellular senescence,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0025-8
21,Antioxidant and skin protection effect of morin upon UVA exposure,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0026-7
22,Antioxidant and inhibition of senescence effects of embelin,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0020-0
23,Cytoprotective effects of sinapic acid on human keratinocytes (HaCaT) against ultraviolet B,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0021-z
24,"Efficacy of Skinfill plus filler in the management of facial aging: a multicenter, post-marketing clinical study",http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0019-y
25,Protective effect of protocatechuic acid against inflammatory stress induced in human dermal fibroblasts,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0018-z
26,Epigallocatechin-3-gallate inhibits paclitaxel-induced apoptosis through the alteration of microRNA expression in human dermal papilla cells,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0016-1
27,"Assessment of bacterial carriage on the hands of primary school children in Calabar municipality, Nigeria",http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0017-0
28,Photodamage attenuation effect by angelic acid in UVA irradiation-induced damages in normal human dermal fibroblast,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0013-4
29,Preservation effects of geniposidic acid on human keratinocytes (HaCaT) against UVB,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0015-2
30,Sophora japonica extracts accelerates keratinocyte differentiation through miR-181a,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0011-6
31,Anti-inflammatory and ECM gene expression modulations of β-eudesmol via NF-κB signaling pathway in normal human dermal fibroblasts,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0014-3
32,Importance of the immune response to Mycobacterium leprae in the skin,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0012-5
33,Annona muricata L. extracts decrease melanogenesis in B16F10 mouse melanoma cells,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0010-7
34,A brief review of pemphigus vulgaris,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0008-1
35,Perspectives of aging study on stem cell,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0007-2
36,"Neem-silicone lotion and ultrasound nit comb: a randomised, controlled clinical trial treating head louse infestation",http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0009-0
37,Coptis chinensis inhibits melanogenesis increasing miR-340-mediated suppression of microphathalmia-associated transcription factor,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0006-3
38,In vitro and in vivo anti-allergic effects of an extract of a traditional Chinese medicine preparation,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0005-4
39,Direct conversion from skin fibroblasts to functional dopaminergic neurons for biomedical application,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0004-5
40,Welcome to a new era of Biomedical Dermatology,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0001-8
41,Facial L*a*b* values and preferred base makeup products among native Korean women: a clinical study,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0002-7
42,Characterization of adipose-derived stem cells freshly isolated from liposuction aspirates performed with Prolipostem®,http://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-017-0003-6
