No.,Title,Link
1,"Production of 2,3-butanediol from glucose and cassava hydrolysates by metabolically engineered industrial polyploid Saccharomyces cerevisiae",http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1545-1
2,Dimorphism of Trichosporon cutaneum and impact on its lipid production,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1543-3
3,Drop-in biofuel production using fatty acid photodecarboxylase from Chlorella variabilis in the oleaginous yeast Yarrowia lipolytica,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1542-4
4,Construction of industrial Saccharomyces cerevisiae strains for the efficient consolidated bioprocessing of raw starch,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1541-5
5,Tracking localization and secretion of cellulase spatiotemporally and directly in living Trichoderma reesei,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1538-0
6,Engineering Geobacillus thermoglucosidasius for direct utilisation of holocellulose from wheat straw,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1540-6
7,Normal transcription of cellulolytic enzyme genes relies on the balance between the methylation of H3K36 and H3K4 in Penicillium oxalicum,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1539-z
8,Characterization and mechanism of the effects of Mg–Fe layered double hydroxide nanoparticles on a marine bacterium: new insights from genomic and transcriptional analyses,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1528-2
9,Enhanced cellulase production by decreasing intercellular pH through H+-ATPase gene deletion in Trichoderma reesei RUT-C30,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1536-2
10,"De novo transcriptome sequencing and analysis revealed the molecular basis of rapid fat accumulation by black soldier fly (Hermetia illucens, L.) for development of insectival biodiesel",http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1531-7
11,Comparative transcriptome analysis provides key insights into seedling development in switchgrass (Panicum virgatum L.),http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1534-4
12,Development of Rhodococcus opacus as a chassis for lignin valorization and bioproduction of high-value compounds,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1535-3
13,Effects of acids pre-treatment on the microbial fermentation process for bioethanol production from microalgae,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1533-5
14,Biochemical characterization of a novel exo-oligoxylanase from Paenibacillus barengoltzii suitable for monosaccharification from corncobs,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1532-6
15,A sustainable process for procuring biologically active fractions of high-purity xylooligosaccharides and water-soluble lignin from Moso bamboo prehydrolyzate,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1527-3
16,Advanced strategy to produce insecticidal destruxins from lignocellulosic biomass Miscanthus,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1530-8
17,In silico identification of metabolic engineering strategies for improved lipid production in Yarrowia lipolytica by genome-scale metabolic modeling,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1518-4
18,Metabolic engineering of Clostridium thermocellum for n-butanol production from cellulose,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1524-6
19,A screening approach for assessing lytic polysaccharide monooxygenase activity in fungal strains,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1526-4
20,Application of an in situ CO2–bicarbonate system under nitrogen depletion to improve photosynthetic biomass and starch production and regulate amylose accumulation in a marine green microalga Tetraselmis subcordiformis,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1523-7
21,Secretomic analyses of Ruminiclostridium papyrosolvens reveal its enzymatic basis for lignocellulose degradation,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1522-8
22,Molecular profiling of an oleaginous trebouxiophycean alga Parachlorella kessleri subjected to nutrient deprivation for enhanced biofuel production,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1521-9
23,Inactivation of LACCASE8 and LACCASE5 genes in Brachypodium distachyon leads to severe decrease in lignin content and high increase in saccharification yield without impacting plant integrity,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1525-5
24,A seamless and iterative DNA assembly method named PS-Brick and its assisted metabolic engineering for threonine and 1-propanol production,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1520-x
25,Kinetic modeling of countercurrent saccharification,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1517-5
26,Potential role of N-acetyl glucosamine in Aspergillus fumigatus-assisted Chlorella pyrenoidosa harvesting,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1519-3
27,CELF significantly reduces milling requirements and improves soaking effectiveness for maximum sugar recovery of Alamo switchgrass over dilute sulfuric acid pretreatment,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1515-7
28,Amelioration of biomass and lipid in marine alga by an endophytic fungus Piriformospora indica,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1516-6
29,Internalization and accumulation of model lignin breakdown products in bacteria and fungi,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1494-8
30,Synechococcus elongatus as a model of photosynthetic bioreactor for expression of recombinant β-glucosidases,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1505-9
31,Improving isobutanol production with the yeast Saccharomyces cerevisiae by successively blocking competing metabolic pathways as well as ethanol and glycerol formation,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1486-8
32,Enhancing oil production in Arabidopsis through expression of a ketoacyl-ACP synthase domain of the PUFA synthase from Thraustochytrium,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1514-8
33,Overcoming cellulose recalcitrance in woody biomass for the lignin-first biorefinery,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1503-y
34,Thermogravimetric and kinetic analysis to discern synergy during the co-pyrolysis of microalgae and swine manure digestate,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1488-6
35,FT-NIR: a tool for rapid intracellular lipid quantification in oleaginous yeasts,http://biotechnologyforbiofuels.biomedcentral.com/track/pdf/10.1186/s13068-019-1513-9
