No.,Title,Link
1,The relation between epistemic trust and borderline pathology in an adolescent inpatient sample,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0110-7
2,Family Connections in different settings and intensities for underserved and geographically isolated families: a non-randomised comparison study,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0111-6
3,Exploring staff perceptions of the utility of clinician connections when working with emotionally dysregulated clients,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0109-0
4,"Emotion dysregulation in adults suffering from attention deficit hyperactivity disorder (ADHD), a comparison with borderline personality disorder (BPD)",http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0108-1
5,The lived experience of recovery in borderline personality disorder: a qualitative study,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0107-2
6,"European guidelines for personality disorders: past, present and future",http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0106-3
7,A comprehensive evaluation of emotional responsiveness in borderline personality disorder: a support for hypersensitivity hypothesis,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0105-4
8,Hypermentalizing as a marker of borderline personality disorder in Italian adolescents: a cross-cultural replication of Sharp and colleagues’ (2011) findings,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0104-5
9,"A research programme to evaluate DBT-PTSD, a modular treatment approach for Complex PTSD after childhood abuse",http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0099-y
10,Self-reported impulsivity in women with borderline personality disorder: the role of childhood maltreatment severity and emotion regulation difficulties,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0101-8
11,Low positive affect display mediates the association between borderline personality disorder and negative evaluations at zero acquaintance,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0103-6
12,Longitudinal associations between non-suicidal self-injury and borderline personality disorder in adolescents: a literature review,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0100-9
13,The development and theoretical application of an implementation framework for dialectical behaviour therapy: a critical literature review,http://bpded.biomedcentral.com/track/pdf/10.1186/s40479-019-0102-7
