No.,Title,Link
1,Calcium-sensing stromal interaction molecule 2 upregulates nuclear factor of activated T cells 1 and transforming growth factor-β signaling to promote breast cancer metastasis,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1185-1
2,Investigating circulating tumor cells and distant metastases in patient-derived orthotopic xenograft models of triple-negative breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1182-4
3,Addition of zoledronic acid to neoadjuvant chemotherapy is not beneficial in patients with HER2-negative stage II/III breast cancer: 5-year survival analysis of the NEOZOTAC trial (BOOG 2010-01),http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1180-6
4,Environmental exposures during windows of susceptibility for breast cancer: a framework for prevention research,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1168-2
5,Disease trajectories and mortality among women diagnosed with breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1181-5
6,Neoadjuvant neratinib promotes ferroptosis and inhibits brain metastasis in a novel syngeneic model of spontaneous HER2+ve breast cancer metastasis,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1177-1
7,Inequities in breast cancer treatment in sub-Saharan Africa: findings from a prospective multi-country observational study,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1174-4
8,Development of a prediction model for breast cancer based on the national cancer registry in Taiwan,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1172-6
9,Investigating the feasibility of stratified breast cancer screening using a masking risk predictor,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1179-z
10,Cancer-immune interactions in ER-positive breast cancers: PI3K pathway alterations and tumor-infiltrating lymphocytes,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1176-2
11,Dynamically decreased miR-671-5p expression is associated with oncogenic transformation and radiochemoresistance in breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1173-5
12,Vasculogenic mimicry is associated with trastuzumab resistance of HER2-positive breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1167-3
13,Profiling molecular regulators of recurrence in chemorefractory triple-negative breast cancers,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1171-7
14,The prognostic value of JUNB-positive CTCs in metastatic breast cancer: from bioinformatics to phenotypic characterization,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1166-4
15,Claudin-low-like mouse mammary tumors show distinct transcriptomic patterns uncoupled from genomic drivers,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1170-8
16,Vitamin D receptor expression in invasive breast tumors and breast cancer survival,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1169-1
17,A whole slide image-based machine learning approach to predict ductal carcinoma in situ (DCIS) recurrence risk,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1165-5
18,Glucocorticoid receptor modulation decreases ER-positive breast cancer cell proliferation and suppresses wild-type and mutant ER chromatin association,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1164-6
19,Relationship of circulating insulin-like growth factor-I and binding proteins 1–7 with mammographic density among women undergoing image-guided diagnostic breast biopsy,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1162-8
20,"Abrupt involution induces inflammation, estrogenic signaling, and hyperplasia linking lack of breastfeeding with increased risk of breast cancer",http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1163-7
21,Epigenetic silencing of TGFBI confers resistance to trastuzumab in human breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1160-x
22,"Phase II trial of AKT inhibitor MK-2206 in patients with advanced breast cancer who have tumors with PIK3CA or AKT mutations, and/or PTEN loss/PTEN mutation",http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1154-8
23,A kinase inhibitor screen identifies a dual cdc7/CDK9 inhibitor to sensitise triple-negative breast cancer to EGFR-targeted therapy,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1161-9
24,Gene expression signature of atypical breast hyperplasia and regulation by SFRP1,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1157-5
25,Machine learning techniques for personalized breast cancer risk prediction: comparison with the BCRAT and BOADICEA models,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1158-4
26,The p52 isoform of SHC1 is a key driver of breast cancer initiation,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1155-7
27,On-treatment biomarkers can improve prediction of response to neoadjuvant chemotherapy in breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1159-3
28,Reanalysis of the NCCN PD-L1 companion diagnostic assay study for lung cancer in the context of PD-L1 expression findings in triple-negative breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1156-6
29,Clinical outcomes after palbociclib with or without endocrine therapy in postmenopausal women with hormone receptor positive and HER2-negative metastatic breast cancer enrolled in the TREnd trial,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1149-5
30,Association between C-reactive protein and radiotherapy-related pain in a tri-racial/ethnic population of breast cancer patients: a prospective cohort study,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1151-y
31,"Nintedanib plus letrozole in early breast cancer: a phase 0/I pharmacodynamic, pharmacokinetic, and safety clinical trial of combined FGFR1 and aromatase inhibition",http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1152-x
32,Joint association of mammographic density adjusted for age and body mass index and polygenic risk score with breast cancer risk,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1138-8
33,Leptin produced by obesity-altered adipose stem cells promotes metastasis but not tumorigenesis of triple-negative breast cancer in orthotopic xenograft and patient-derived xenograft models,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1153-9
34,Rack1 mediates tyrosine phosphorylation of Anxa2 by Src and promotes invasion and metastasis in drug-resistant breast cancer cells,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1147-7
35,Identification of three subtypes of triple-negative breast cancer with potential therapeutic implications,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1148-6
36,Nicotinamide N-methyltransferase enhances chemoresistance in breast cancer through SIRT1 protein stabilization,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1150-z
37,Absence of integrin α3β1 promotes the progression of HER2-driven breast cancer in vivo,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1146-8
38,Blood DNA methylation and breast cancer risk: a meta-analysis of four prospective cohort studies,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1145-9
39,Glutamine to proline conversion is associated with response to glutaminase inhibition in breast cancer,http://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-019-1141-0
