No.,Title,Link
1,Abstracts from the 12th Asia Pacific Burn Congress,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0164-1
2,One-step approach for full-thickness skin defect reconstruction in rats using minced split-thickness skin grafts with Pelnac overlay,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0157-0
3,Optimized clinical practice for superaged patients with hip fracture: significance of damage control and enhanced recovery program,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0159-y
4,Dehydroepiandrosterone: a potential therapeutic agent in the treatment and rehabilitation of the traumatically injured patient,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0158-z
5,Intestinal barrier dysfunction in severe burn injury,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0162-3
6,Timely completion of multiple life-saving interventions for traumatic haemorrhagic shock: a retrospective cohort study,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0160-5
7,Severe burn injury alters intestinal microbiota composition and impairs intestinal barrier in mice,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0156-1
8,"Stevens-Johnson Syndrome complicated by obstructive uropathy, pneumothorax, and pneumomediastinum: a case report and literature review",http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0153-4
9,Substance use and inhalation injury in adult burn patients: retrospective study of the impact on outcomes,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0152-5
10,Iatrogenic wounds: a common but often overlooked problem,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0155-2
11,Tumor necrosis factor receptor-associated protein 1 regulates hypoxia-induced apoptosis through a mitochondria-dependent pathway mediated by cytochrome c oxidase subunit II,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0154-3
12,Joint contractures in severe burn patients with early rehabilitation intervention in one of the largest burn intensive care unit in China: a descriptive analysis,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0151-6
13,Leucocyte- and platelet-rich fibrin as a rescue therapy for small-to-medium-sized complex wounds of the lower extremities,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0149-0
14,Hypocoagulation induced by broad-spectrum antibiotics in extensive burn patients,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0150-7
15,Development of a heart rate variability and complexity model in predicting the need for life-saving interventions amongst trauma patients,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0147-2
16,Advances in surgical applications of growth factors for wound healing,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0148-1
17,Burn recidivism: a 10-year retrospective study characterizing patients with repeated burn injuries at a large tertiary referral burn center in the United States,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0145-4
18,Cardiac proteomics reveals the potential mechanism of microtubule associated protein 4 phosphorylation-induced mitochondrial dysfunction,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0146-3
19,Surgery for scar revision and reduction: from primary closure to flap surgery,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0144-5
20,Burn image segmentation based on Mask Regions with Convolutional Neural Network deep learning framework: more accurate and more convenient,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-018-0137-9
21,The 1470 nm diode laser with an intralesional fiber device: a proposed solution for the treatment of inflamed and infected keloids,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0143-6
22,Skin bioprinting: the future of burn wound reconstruction?,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-019-0142-7
23,"Advances in the treatment of traumatic scars with laser, intense pulsed light, radiofrequency, and ultrasound",http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-018-0141-0
24,Survival analysis and mortality predictors of hospitalized severe burn victims in a Malaysian burns intensive care unit,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-018-0140-1
25,Development and use of biomaterials as wound healing therapies,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-018-0139-7
26,Recent advances of on-demand dissolution of hydrogel dressings,http://burnstrauma.biomedcentral.com/track/pdf/10.1186/s41038-018-0138-8
