No.,Title,Link
1,Inhibition of phosphoenolpyruvate carboxykinase blocks lactate utilization and impairs tumor growth in colorectal cancer,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0199-6
2,"CHCHD4 regulates tumour proliferation and EMT-related phenotypes, through respiratory chain-mediated metabolism",http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0200-4
3,Epithelial to mesenchymal transition (EMT) is associated with attenuation of succinate dehydrogenase (SDH) in breast cancer through reduced expression of SDHC,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0197-8
4,Isocitrate dehydrogenase 1-mutated cancers are sensitive to the green tea polyphenol epigallocatechin-3-gallate,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0198-7
5,Characterization of the molecular changes associated with the overexpression of a novel epithelial cadherin splice variant mRNA in a breast cancer model using proteomics and bioinformatics approaches: identification of changes in cell metabolism and an increased expression of lactate dehydrogenase B,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0196-9
6,Stratification of cancer and diabetes based on circulating levels of formate and glucose,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0195-x
7,CHCHD4 confers metabolic vulnerabilities to tumour cells through its control of the mitochondrial respiratory chain,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-019-0194-y
8,The novel function of tumor protein D54 in regulating pyruvate dehydrogenase and metformin cytotoxicity in breast cancer,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0193-4
9,Transport-exclusion pharmacology to localize lactate dehydrogenase activity within cells,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0192-5
10,p53-mediated adaptation to serine starvation is retained by a common tumour-derived mutant,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0191-6
11,Exercise inhibits tumor growth and central carbon metabolism in patient-derived xenograft models of colorectal cancer,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0190-7
12,Switch to low-fat diet improves outcome of acute lymphoblastic leukemia in obese mice,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0189-0
13,Hepatocellular carcinoma-associated hypercholesterolemia: involvement of proprotein-convertase-subtilisin-kexin type-9 (PCSK9),http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0187-2
14,PKM2 is not required for pancreatic ductal adenocarcinoma,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0188-1
15,Protein interaction and functional data indicate MTHFD2 involvement in RNA processing and translation,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0185-4
16,CD38 is methylated in prostate cancer and regulates extracellular NAD+,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0186-3
17,"Activation of pro-survival metabolic networks by 1,25(OH)2D3 does not hamper the sensitivity of breast cancer cells to chemotherapeutics",http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0183-6
18,Hexokinase 2 is dispensable for T cell-dependent immunity,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0184-5
19,Inflammation-induced DNA methylation of DNA polymerase gamma alters the metabolic profile of colon tumors,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0182-7
20,"A precision therapeutic strategy for hexokinase 1-null, hexokinase 2-positive cancers",http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0181-8
21,"Beta-hydroxybutyrate (3-OHB) can influence the energetic phenotype of breast cancer cells, but does not impact their proliferation and the response to chemotherapy or radiation",http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0180-9
22,Isoform-specific deletion of PKM2 constrains tumor initiation in a mouse model of soft tissue sarcoma,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0179-2
23,Metabolic characterization of isocitrate dehydrogenase (IDH) mutant and IDH wildtype gliomaspheres uncovers cell type-specific vulnerabilities,http://cancerandmetabolism.biomedcentral.com/track/pdf/10.1186/s40170-018-0177-4
