No.,Title,Link
1,The survival analysis and oncogenic effects of CFP1 and 14-3-3 expression on gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0946-3
2,Eukaryotic Translation Initiation Factor 4 Gamma 1 (EIF4G1): a target for cancer therapeutic intervention?,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0947-2
3,Dabrafenib and Trametinib prolong coagulation through the inhibition of tissue factor in BRAFv600e mutated melanoma cells in vitro,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0938-3
4,The deubiquitinating enzyme OTUD1 antagonizes BH3-mimetic inhibitor induced cell death through regulating the stability of the MCL1 protein,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0936-5
5,Cell death-related molecules and biomarkers for renal cell carcinoma targeted therapy,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0939-2
6,Secretory leukocyte protease inhibitor suppresses HPV E6-expressing HNSCC progression by mediating NF-κB and Akt pathways,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0942-7
7,miR-21 promotes non-small cell lung cancer cells growth by regulating fatty acid metabolism,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0941-8
8,"Haploinsufficiency of NR3C1 drives glucocorticoid resistance in adult acute lymphoblastic leukemia cells by down-regulating the mitochondrial apoptosis axis, and is sensitive to Bcl-2 blockage",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0940-9
9,NEAT1/miR-23a-3p/KLF3: a novel regulatory axis in melanoma cancer progression,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0927-6
10,The role of MDM2 amplification and overexpression in therapeutic resistance of malignant tumors,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0937-4
11,Functional polymorphisms of the lncRNA H19 promoter region contribute to the cancer risk and clinical outcomes in advanced colorectal cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0895-x
12,Transregulation of microRNA miR-21 promoter by AP-1 transcription factor in cervical cancer cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0931-x
13,RASSF-1A modulates proliferation-mediated oral squamous cell carcinoma progression,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0932-9
14,The E2F3/miR-125a/DKK3 regulatory axis promotes the development and progression of gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0930-y
15,Circular RNA MYLK promotes hepatocellular carcinoma progression by increasing Rab23 expression by sponging miR-362-3p,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0926-7
16,LINC00309 is associated with short disease-free survival in breast cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0887-x
17,Tumor mutation burden: from comprehensive mutational screening to the clinic,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0929-4
18,A nomogram based on 9-lncRNAs signature for improving prognostic prediction of clear cell renal cell carcinoma,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0928-5
19,The diverse mechanisms and anticancer potential of naphthoquinones,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0925-8
20,The roles of kinetochore of micronucleus in mitosis of HeLa cells: a live cell imaging study,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0917-8
21,miR-450b-5p loss mediated KIF26B activation promoted hepatocellular carcinoma progression by activating PI3K/AKT pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0923-x
22,Expression of ANGPTL2 and its impact on papillary thyroid cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0908-9
23,"miR-125b-5p inhibits cell proliferation, migration, and invasion in hepatocellular carcinoma via targeting TXNRD1",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0919-6
24,Long noncoding RNA DIO3OS interacts with miR-122 to promote proliferation and invasion of pancreatic cancer cells through upregulating ALDOA,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0922-y
25,LPAR1 regulates the development of intratumoral heterogeneity in ovarian serous cystadenocarcinoma by activating the PI3K/AKT signaling pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0920-0
26,Multivariate analysis of clinicopathological and prognostic significance of miRNA 106b~25 cluster in gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0918-7
27,Inhibition LC3B can increase chemosensitivity of ovarian cancer cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0921-z
28,lncRNA XIST regulates proliferation and migration of hepatocellular carcinoma cells by acting as miR-497-5p molecular sponge and targeting PDCD4,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0909-8
29,Mfn2 inhibits proliferation and cell-cycle in Hela cells via Ras-NF-κB signal pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0916-9
30,Upregulation of circFLNA contributes to laryngeal squamous cell carcinoma migration by circFLNA–miR-486-3p-FLNA axis,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0924-9
31,Checkpoint kinase inhibitor AZD7762 enhance cisplatin-induced apoptosis in osteosarcoma cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0896-9
32,Long non-coding RNA MIAT promotes papillary thyroid cancer progression through upregulating LASP1,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0913-z
33,Interfering cellular lactate homeostasis overcomes Taxol resistance of breast cancer cells through the microRNA-124-mediated lactate transporter (MCT1) inhibition,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0904-0
34,Human colorectal cancer-derived carcinoma associated fibroblasts promote CD44-mediated adhesion of colorectal cancer cells to endothelial cells by secretion of HGF,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0914-y
35,Modulation of doxorubicin-induced expression of the multidrug resistance gene in breast cancer cells by diltiazem and protection against cardiotoxicity in experimental animals,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0912-0
36,Characteristics of a novel cell line ZJU-0430 established from human gallbladder carcinoma,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0911-1
37,Vitamin E δ-tocotrienol sensitizes human pancreatic cancer cells to TRAIL-induced apoptosis through proteasome-mediated down-regulation of c-FLIPs,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0876-0
38,p53 sensitizes chemoresistant non-small cell lung cancer via elevation of reactive oxygen species and suppression of EGFR/PI3K/AKT signaling,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0910-2
39,"Strand-specific miR-28-3p and miR-28-5p have differential effects on nasopharyngeal cancer cells proliferation, apoptosis, migration and invasion",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0915-x
40,In silico analysis excavates potential biomarkers by constructing miRNA-mRNA networks between non-cirrhotic HCC and cirrhotic HCC,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0901-3
41,DNA methylation-based classification and identification of renal cell carcinoma prognosis-subgroups,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0900-4
42,Oncogenic effect of PHLDB2 is associated with epithelial–mesenchymal transition and E-cadherin regulation in colorectal cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0903-1
43,Identification of circRNA–miRNA–mRNA regulatory network in gastric cancer by analysis of microarray data,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0905-z
44,Circadian protein BMAL1 promotes breast cancer cell invasion and metastasis by up-regulating matrix metalloproteinase9 expression,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0902-2
45,"Integrated analyses of microRNA-29 family and the related combination biomarkers demonstrate their widespread influence on risk, recurrence, metastasis and survival outcome in colorectal cancer",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0907-x
46,Resveratrol is a promising agent for colorectal cancer prevention and treatment: focus on molecular mechanisms,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0906-y
47,YAP promotes multi-drug resistance and inhibits autophagy-related cell death in hepatocellular carcinoma via the RAC1-ROS-mTOR pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0898-7
48,MiR-369-3p participates in endometrioid adenocarcinoma via the regulation of autophagy,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0897-8
49,Down-regulation of miR-29c is a prognostic biomarker in acute myeloid leukemia and can reduce the sensitivity of leukemic cells to decitabine,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0894-y
50,Smoking history influences the prognostic value of peripheral naïve CD4+ T cells in advanced non-small cell lung cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0899-6
51,The survival analysis and oncogenic effects of CFP1 and 14-3-3 expression on gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0946-3
52,Eukaryotic Translation Initiation Factor 4 Gamma 1 (EIF4G1): a target for cancer therapeutic intervention?,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0947-2
53,Dabrafenib and Trametinib prolong coagulation through the inhibition of tissue factor in BRAFv600e mutated melanoma cells in vitro,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0938-3
54,The deubiquitinating enzyme OTUD1 antagonizes BH3-mimetic inhibitor induced cell death through regulating the stability of the MCL1 protein,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0936-5
55,Cell death-related molecules and biomarkers for renal cell carcinoma targeted therapy,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0939-2
56,Secretory leukocyte protease inhibitor suppresses HPV E6-expressing HNSCC progression by mediating NF-κB and Akt pathways,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0942-7
57,miR-21 promotes non-small cell lung cancer cells growth by regulating fatty acid metabolism,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0941-8
58,"Haploinsufficiency of NR3C1 drives glucocorticoid resistance in adult acute lymphoblastic leukemia cells by down-regulating the mitochondrial apoptosis axis, and is sensitive to Bcl-2 blockage",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0940-9
59,NEAT1/miR-23a-3p/KLF3: a novel regulatory axis in melanoma cancer progression,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0927-6
60,The role of MDM2 amplification and overexpression in therapeutic resistance of malignant tumors,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0937-4
61,Functional polymorphisms of the lncRNA H19 promoter region contribute to the cancer risk and clinical outcomes in advanced colorectal cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0895-x
62,Transregulation of microRNA miR-21 promoter by AP-1 transcription factor in cervical cancer cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0931-x
63,RASSF-1A modulates proliferation-mediated oral squamous cell carcinoma progression,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0932-9
64,The E2F3/miR-125a/DKK3 regulatory axis promotes the development and progression of gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0930-y
65,Circular RNA MYLK promotes hepatocellular carcinoma progression by increasing Rab23 expression by sponging miR-362-3p,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0926-7
66,LINC00309 is associated with short disease-free survival in breast cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0887-x
67,Tumor mutation burden: from comprehensive mutational screening to the clinic,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0929-4
68,A nomogram based on 9-lncRNAs signature for improving prognostic prediction of clear cell renal cell carcinoma,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0928-5
69,The diverse mechanisms and anticancer potential of naphthoquinones,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0925-8
70,The roles of kinetochore of micronucleus in mitosis of HeLa cells: a live cell imaging study,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0917-8
71,miR-450b-5p loss mediated KIF26B activation promoted hepatocellular carcinoma progression by activating PI3K/AKT pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0923-x
72,Expression of ANGPTL2 and its impact on papillary thyroid cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0908-9
73,"miR-125b-5p inhibits cell proliferation, migration, and invasion in hepatocellular carcinoma via targeting TXNRD1",http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0919-6
74,Long noncoding RNA DIO3OS interacts with miR-122 to promote proliferation and invasion of pancreatic cancer cells through upregulating ALDOA,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0922-y
75,LPAR1 regulates the development of intratumoral heterogeneity in ovarian serous cystadenocarcinoma by activating the PI3K/AKT signaling pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0920-0
76,Multivariate analysis of clinicopathological and prognostic significance of miRNA 106b~25 cluster in gastric cancer,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0918-7
77,Inhibition LC3B can increase chemosensitivity of ovarian cancer cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0921-z
78,lncRNA XIST regulates proliferation and migration of hepatocellular carcinoma cells by acting as miR-497-5p molecular sponge and targeting PDCD4,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0909-8
79,Mfn2 inhibits proliferation and cell-cycle in Hela cells via Ras-NF-κB signal pathway,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0916-9
80,Upregulation of circFLNA contributes to laryngeal squamous cell carcinoma migration by circFLNA–miR-486-3p-FLNA axis,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0924-9
81,Checkpoint kinase inhibitor AZD7762 enhance cisplatin-induced apoptosis in osteosarcoma cells,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0896-9
82,Long non-coding RNA MIAT promotes papillary thyroid cancer progression through upregulating LASP1,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0913-z
83,Interfering cellular lactate homeostasis overcomes Taxol resistance of breast cancer cells through the microRNA-124-mediated lactate transporter (MCT1) inhibition,http://cancerci.biomedcentral.com/track/pdf/10.1186/s12935-019-0904-0
