No.,Title,Link
1,Cancer cell reprogramming: a promising therapy converting malignancy to benignity,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0393-5
2,Radiation pneumonitis complicated by Pneumocystis carinii in patients with thoracic neoplasia: a clinical analysis of 7 cases,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0392-6
3,"Effects of two types of exercise training on psychological well-being, sleep, quality of life and physical fitness in patients with high-grade glioma (WHO III and IV): study protocol for a randomized controlled trial",http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0390-8
4,Complete cytoreductive surgery plus hyperthermic intraperitoneal chemotherapy for gastric cancer with peritoneal metastases: results of a propensity score matching analysis from France,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0391-7
5,Clinical outcomes of angiosarcoma: a single institution experience,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0389-1
6,Impaired dendritic cell functions in lung cancer: a review of recent advances and future perspectives,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0387-3
7,Comparison of screening strategies for Lynch syndrome in patients with newly diagnosed endometrial cancer: a prospective cohort study in China,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0388-2
8,Regulation of CD137 expression through K-Ras signaling in pancreatic cancer cells,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0386-4
9,Concurrent chemoradiotherapy with weekly docetaxel versus cisplatin in the treatment of locoregionally advanced nasopharyngeal carcinoma: a propensity score-matched analysis,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0380-x
10,Induction gemcitabine and cisplatin in locoregionally advanced nasopharyngeal carcinoma,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0385-5
11,Pertuzumab in combination with trastuzumab and chemotherapy for Chinese patients with HER2-positive metastatic gastric or gastroesophageal junction cancer: a subpopulation analysis of the JACOB trial,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0384-6
12,Somatic mutations in renal cell carcinomas from Chinese patients revealed by targeted gene panel sequencing and their associations with prognosis and PD-L1 expression,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0382-8
13,China National Medical Products Administration approval summary: anlotinib for the treatment of advanced non-small cell lung cancer after two lines of chemotherapy,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0383-7
14,Microscopic tumor foci in axillary lymph nodes may reveal the recurrence dynamics of breast cancer,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0381-9
15,Immune precision medicine for cancer: a novel insight based on the efficiency of immune effector cells,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0379-3
16,Preferable background filtering for next-generation sequencing analysis in non-small cell lung cancer: pericarcinomatous tissues or peripheral blood lymphocytes?,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0378-4
17,A homogenized approach to classify advanced gastric cancer patients with limited and adequate number of pathologically examined lymph nodes,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0370-z
18,Modelling the probability of erroneous negative lymph node staging in patients with colon cancer,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0377-5
19,PD-L1 and PD-L2 expression correlated genes in non-small-cell lung cancer,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0376-6
20,"Quality of life outcomes including neuropathy-associated scale from a phase II, multicenter, randomized trial of eribulin plus gemcitabine versus paclitaxel plus gemcitabine as first-line chemotherapy for HER2-negative metastatic breast cancer: Korean Cancer Study Group Trial (KCSG BR13-11)",http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0375-7
21,"CMAB009 plus irinotecan versus irinotecan-only as second-line treatment after fluoropyrimidine and oxaliplatin failure in KRAS wild-type metastatic colorectal cancer patients: promising findings from a prospective, open-label, randomized, phase III trial",http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0374-8
22,Is cancer-related death associated with circadian rhythm?,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0373-9
23,The efficacy and safety of modified FOLFIRINOX as first-line chemotherapy for Chinese patients with metastatic pancreatic cancer,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0367-7
24,Is surgical axillary staging necessary in women with T1 breast cancer who are treated with breast-conserving therapy?,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0371-y
25,National trend of gastric cancer mortality in China (2003–2015): a population-based study,http://cancercommun.biomedcentral.com/track/pdf/10.1186/s40880-019-0372-x
