No.,Title,Link
1,Early differentiating between the chemotherapy responders and nonresponders: preliminary results with ultrasonic spectrum analysis of the RF time series in preclinical breast cancer models,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0248-y
2,Radiomics models for diagnosing microvascular invasion in hepatocellular carcinoma: which model is the best model?,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0249-x
3,Diffusion-weighted magnetic resonance imaging in bladder cancer: comparison of readout-segmented and single-shot EPI techniques,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0245-1
4,18F-FDG-PET-based Radiomics signature predicts MGMT promoter methylation status in primary diffuse glioma,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0246-0
5,How we read: the combined use of MRI and novel PET tracers for the characterisation and treatment planning of masses in neuro-oncology,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0241-5
6,Using neighborhood gray tone difference matrix texture features on dual time point PET/CT images to differentiate malignant from benign FDG-avid solitary pulmonary nodules,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0243-3
7,Retraction Note to: Ultrasound Elastography supplement assessing nodal status of magnetic resonance imaging staged cervical N0 patients with nasopharyngeal carcinoma,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0242-4
8,Clinical impact of variability on CT radiomics and suggestions for suitable feature selection: a focus on lung cancer,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0239-z
9,Imaging and clinical features of Castleman Disease,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0238-0
10,PET/MRI and PET/CT hybrid imaging of rectal cancer – description and initial observations from the RECTOPET (REctal Cancer trial on PET/MRI/CT) study,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0237-1
11,Accuracy and complications of CT-guided pulmonary core biopsy in small nodules: a single-center experience,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0240-6
12,Diagnostic value of spectral reconstructions in detecting incidental skeletal muscle metastases in CT staging examinations,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0235-3
13,Prediction for early recurrence of intrahepatic mass-forming cholangiocarcinoma: quantitative magnetic resonance imaging combined with prognostic immunohistochemical markers,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0234-4
14,Radiogenomics of breast cancer using dynamic contrast enhanced MRI and gene expression profiling,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0233-5
15,Comparing clinicopathological features and prognosis of primary pulmonary invasive mucinous adenocarcinoma based on computed tomography findings,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0236-2
16,Does establishing a preoperative nomogram including ultrasonographic findings help predict the likelihood of malignancy in patients with microcalcifications?,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0229-1
17,Multi-window CT based Radiomic signatures in differentiating indolent versus aggressive lung cancers in the National Lung Screening Trial: a retrospective study,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0232-6
18,Percutaneous radiofrequency ablation of adrenal metastases from hepatocellular carcinoma: a single-center experience,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0231-7
19,Enhancing prognosis prediction using pre-treatment nodal SUVmax and HPV status in cervical squamous cell carcinoma,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0226-4
20,Value of CT-guided percutaneous needle biopsy of bone in the diagnosis of lymphomas based on PET/CT results,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0230-8
21,Deep learning networks find unique mammographic differences in previous negative mammograms between interval and screen-detected cancers: a case-case study,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0227-3
22,Improved detection of metastatic lymph nodes in oesophageal squamous cell carcinoma by combined interpretation of fluorine-18-fluorodeoxyglucose positron-emission tomography/computed tomography,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0225-5
23,Non-mono-exponential diffusion models for assessing early response of liver metastases to chemotherapy in colorectal Cancer,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0228-2
24,Comparative effect of iso-osmolar versus low-osmolar contrast media on the incidence of contrast-induced acute kidney injury in diabetic patients: a systematic review and meta-analysis,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0224-6
25,68Ga-PSMA-PET/CT for the evaluation of liver metastases in patients with prostate cancer,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0220-x
26,Predicting malignant potential of subsolid nodules: can radiomics preempt longitudinal follow up CT?,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0223-7
27,Use of quantitative T2 mapping for the assessment of renal cell carcinomas: first results,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0222-8
28,CT imaging-based histogram features for prediction of EGFR mutation status of bone metastases in patients with primary lung adenocarcinoma,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0221-9
29,Postoperative recurrence of clinical early-stage non-small cell lung cancers: a comparison between solid and subsolid nodules,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0219-3
30,Primary hepatic perivascular epithelioid cell tumors: imaging findings with histopathological correlation,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0212-x
31,Chemosaturation with percutaneous hepatic perfusion of melphalan for liver-dominant metastatic uveal melanoma: a single center experience,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0218-4
32,Comparison of diffusion kurtosis imaging versus diffusion weighted imaging in predicting the recurrence of early stage single nodules of hepatocellular carcinoma treated by radiofrequency ablation,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0213-9
33,Prediction of hepatocellular carcinoma response to 90Yttrium radioembolization using volumetric ADC histogram quantification: preliminary results,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0216-6
34,The role of 18F-FDG-PET/CT in evaluating retroperitoneal masses -Keeping your eye on the ball!,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0217-5
35,Behavior of FDG-avid supradiaphragmatic lymph nodes in PET/CT throughout primary therapy in advanced serous epithelial ovarian cancer: a prospective study,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0215-7
36,Optimizing prostate cancer accumulating model: combined PI-RADS v2 with prostate specific antigen and its derivative data,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0208-6
37,Quantitative computed tomography texture analysis: can it improve diagnostic accuracy to differentiate malignant lymph nodes?,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0214-8
38,Diagnostic value of multislice spiral computed tomography (CT) combined with CT angiography for intra-abdominal undescended testis secondary seminomas,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0210-z
39,Intra-individual comparison of 68Ga-PSMA-11 and 18F-DCFPyL normal-organ biodistribution,http://cancerimagingjournal.biomedcentral.com/track/pdf/10.1186/s40644-019-0211-y
