No.,Title,Link
1,Multiscale modeling for cancer radiotherapies,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0051-2
2,The role of shock waves on the biodamage induced by ion beam radiation,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0050-3
3,Phenomenon-based evaluation of relative biological effectiveness of ion beams by means of the multiscale approach,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0049-9
4,"Importance of radiolytic reactions during high-LET irradiation modalities: LET effect, role of O2 and radiosensitization by nanoparticles",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0047-y
5,In vitro anticancer activity of folate-modified docetaxel-loaded PLGA nanoparticles against drug-sensitive and multidrug-resistant cancer cells,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0048-x
6,Use of a lipid nanoparticle system as a Trojan horse in delivery of gold nanoparticles to human breast cancer cells for improved outcomes in radiation therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0046-z
7,Comb-like PEG-containing polymeric composition as low toxic drug nanocarrier,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0045-5
8,Enhanced nanoparticle delivery exploiting tumour-responsive formulations,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0044-6
9,Towards photon radiotherapy treatment planning with high Z nanoparticle radiosensitisation agents: the Relative Biological Effective Dose (RBED) framework,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0043-7
10,C60 fullerene and its nanocomplexes with anticancer drugs modulate circulating phagocyte functions and dramatically increase ROS generation in transformed monocytes,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0034-0
11,Magnetic hyperthermia of breast cancer cells and MRI relaxometry with dendrimer-coated iron-oxide nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0042-8
12,Cisplatin-loaded hollow gold nanoparticles for laser-triggered release,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0041-9
13,Gene therapy with RALA/iNOS composite nanoparticles significantly enhances survival in a model of metastatic prostate cancer,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0040-x
14,Gold nanoparticle mediated combined cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0039-3
15,Antiangiogenic and antiapoptotic effects of green-synthesized zinc oxide nanoparticles using Sargassum muticum algae extraction,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0037-5
16,Important parameters for optimized metal nanoparticles-aided electromagnetic field (EMF) effect on cancer,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0038-4
17,The study of toxicity and pathogenicity risk of Potato Virus X/Herceptin nanoparticles as agents for cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0036-6
18,Electrochemical and optical biosensors for early-stage cancer diagnosis by using graphene and graphene oxide,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0035-z
19,Particle therapy and nanomedicine: state of art and research perspectives,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0029-x
20,From basics to clinic: Cancer Nanotechnology,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0033-1
21,Cancer resistance to treatment and antiresistance tools offered by multimodal multifunctional nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0030-4
22,"The application of titanium dioxide, zinc oxide, fullerene, and graphene nanoparticles in photodynamic therapy",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0032-2
23,Cancer characterization and diagnosis with SERS-encoded particles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0031-3
24,Platinum nanoparticles: an exquisite tool to overcome radioresistance,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0028-y
25,An overview of current practice in external beam radiation oncology with consideration to potential benefits and challenges for nanotechnology,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0027-z
26,Biological mechanisms of gold nanoparticle radiosensitization,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0026-0
27,A local effect model-based interpolation framework for experimental nanoparticle radiosensitisation data,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0025-6
28,Application of nanotechnology to cancer radiotherapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0024-7
29,Profiling lung adenocarcinoma by liquid biopsy: can one size fit all?,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0023-8
30,Synthetic nanoparticles for delivery of radioisotopes and radiosensitizers in cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0022-9
31,Gold nanoparticles for cancer radiotherapy: a review,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0021-x
32,Optical fibre sensors: their role in in vivo dosimetry for prostate cancer radiotherapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0020-y
33,Trends in targeted prostate brachytherapy: from multiparametric MRI to nanomolecular radiosensitizers,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0018-5
34,Intravital microscopy for evaluating tumor perfusion of nanoparticles exposed to non-invasive radiofrequency electric fields,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0016-7
35,"Gazelles, unicorns, and dragons battle cancer through the Nanotechnology Startup Challenge",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0017-6
36,Nanotechnology and cancer: improving real-time monitoring and staging of bladder cancer with multimodal mesoporous silica nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0015-8
37,Cancer Nanotechnology Startup Challenge: a new way to realize the fruits of innovation,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0014-9
38,Bio-conjugation of antioxidant peptide on surface-modified gold nanoparticles: a novel approach to enhance the radical scavenging property in cancer cell,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0013-x
39,AGuIX nanoparticles as a promising platform for image-guided radiation therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0012-3
40,Erratum to: Contact-mediated intracellular delivery of hydrophobic drugs from polymeric nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0011-4
41,DNA vaccination for prostate cancer: key concepts and considerations,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0010-5
42,Exploratory use of docetaxel loaded acid-prepared mesoporous spheres for the treatment of malignant melanoma,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0009-y
43,Contact-mediated intracellular delivery of hydrophobic drugs from polymeric nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0008-4
44,Cell localisation of gadolinium-based nanoparticles and related radiosensitising efficacy in glioblastoma cells,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0006-6
45,Could nanoparticle corona characterization help for biological consequence prediction?,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0007-5
46,The role of mitochondrial function in gold nanoparticle mediated radiosensitisation,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0005-7
47,Advantages of gadolinium based ultrasmall nanoparticles vs molecular gadolinium chelates for radiotherapy guided by MRI for glioma treatment,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0004-8
48,Effective cellular internalization of silica-coated CdSe quantum dots for high contrast cancer imaging and labelling applications,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0001-y
49,Modulation of cytotoxic and genotoxic effects of nanoparticles in cancer cells by external magnetic field,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0002-x
50,Potential carriers of chemotherapeutic drugs: matrix based nanoparticulate polymeric systems,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0003-9
51,Multiscale modeling for cancer radiotherapies,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0051-2
52,The role of shock waves on the biodamage induced by ion beam radiation,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0050-3
53,Phenomenon-based evaluation of relative biological effectiveness of ion beams by means of the multiscale approach,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0049-9
54,"Importance of radiolytic reactions during high-LET irradiation modalities: LET effect, role of O2 and radiosensitization by nanoparticles",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0047-y
55,In vitro anticancer activity of folate-modified docetaxel-loaded PLGA nanoparticles against drug-sensitive and multidrug-resistant cancer cells,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0048-x
56,Use of a lipid nanoparticle system as a Trojan horse in delivery of gold nanoparticles to human breast cancer cells for improved outcomes in radiation therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-019-0046-z
57,Comb-like PEG-containing polymeric composition as low toxic drug nanocarrier,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0045-5
58,Enhanced nanoparticle delivery exploiting tumour-responsive formulations,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0044-6
59,Towards photon radiotherapy treatment planning with high Z nanoparticle radiosensitisation agents: the Relative Biological Effective Dose (RBED) framework,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0043-7
60,C60 fullerene and its nanocomplexes with anticancer drugs modulate circulating phagocyte functions and dramatically increase ROS generation in transformed monocytes,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0034-0
61,Magnetic hyperthermia of breast cancer cells and MRI relaxometry with dendrimer-coated iron-oxide nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0042-8
62,Cisplatin-loaded hollow gold nanoparticles for laser-triggered release,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0041-9
63,Gene therapy with RALA/iNOS composite nanoparticles significantly enhances survival in a model of metastatic prostate cancer,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0040-x
64,Gold nanoparticle mediated combined cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0039-3
65,Antiangiogenic and antiapoptotic effects of green-synthesized zinc oxide nanoparticles using Sargassum muticum algae extraction,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0037-5
66,Important parameters for optimized metal nanoparticles-aided electromagnetic field (EMF) effect on cancer,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0038-4
67,The study of toxicity and pathogenicity risk of Potato Virus X/Herceptin nanoparticles as agents for cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-018-0036-6
68,Electrochemical and optical biosensors for early-stage cancer diagnosis by using graphene and graphene oxide,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0035-z
69,Particle therapy and nanomedicine: state of art and research perspectives,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0029-x
70,From basics to clinic: Cancer Nanotechnology,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0033-1
71,Cancer resistance to treatment and antiresistance tools offered by multimodal multifunctional nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0030-4
72,"The application of titanium dioxide, zinc oxide, fullerene, and graphene nanoparticles in photodynamic therapy",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0032-2
73,Cancer characterization and diagnosis with SERS-encoded particles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0031-3
74,Platinum nanoparticles: an exquisite tool to overcome radioresistance,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0028-y
75,An overview of current practice in external beam radiation oncology with consideration to potential benefits and challenges for nanotechnology,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0027-z
76,Biological mechanisms of gold nanoparticle radiosensitization,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-017-0026-0
77,A local effect model-based interpolation framework for experimental nanoparticle radiosensitisation data,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0025-6
78,Application of nanotechnology to cancer radiotherapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0024-7
79,Profiling lung adenocarcinoma by liquid biopsy: can one size fit all?,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0023-8
80,Synthetic nanoparticles for delivery of radioisotopes and radiosensitizers in cancer therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0022-9
81,Gold nanoparticles for cancer radiotherapy: a review,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0021-x
82,Optical fibre sensors: their role in in vivo dosimetry for prostate cancer radiotherapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0020-y
83,Trends in targeted prostate brachytherapy: from multiparametric MRI to nanomolecular radiosensitizers,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0018-5
84,Intravital microscopy for evaluating tumor perfusion of nanoparticles exposed to non-invasive radiofrequency electric fields,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0016-7
85,"Gazelles, unicorns, and dragons battle cancer through the Nanotechnology Startup Challenge",http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0017-6
86,Nanotechnology and cancer: improving real-time monitoring and staging of bladder cancer with multimodal mesoporous silica nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0015-8
87,Cancer Nanotechnology Startup Challenge: a new way to realize the fruits of innovation,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0014-9
88,Bio-conjugation of antioxidant peptide on surface-modified gold nanoparticles: a novel approach to enhance the radical scavenging property in cancer cell,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-016-0013-x
89,AGuIX nanoparticles as a promising platform for image-guided radiation therapy,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0012-3
90,Erratum to: Contact-mediated intracellular delivery of hydrophobic drugs from polymeric nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0011-4
91,DNA vaccination for prostate cancer: key concepts and considerations,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0010-5
92,Exploratory use of docetaxel loaded acid-prepared mesoporous spheres for the treatment of malignant melanoma,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-015-0009-y
93,Contact-mediated intracellular delivery of hydrophobic drugs from polymeric nanoparticles,http://cancer-nano.biomedcentral.com/track/pdf/10.1186/s12645-014-0008-4
