No.,Title,Link
1,The role of salvage surgery with interstitial brachytherapy for the Management of Regionally Recurrent Head and Neck Cancers,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-019-0043-2
2,NSD1 mutations by HPV status in head and neck cancer: differences in survival and response to DNA-damaging agents,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-019-0042-3
3,Interventions to improve quality of life (QOL) and/or mood in patients with head and neck cancer (HNC): a review of the evidence,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-019-0041-4
4,Comparing cisplatin-Chemoradiotherapy to Cetuximab-radiotherapy in HPV+ “low-risk” locally advanced oropharyngeal squamous cell carcinoma: lessons from De-escalate study,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-019-0040-5
5,HPV-driven oropharyngeal cancer: current knowledge of molecular biology and mechanisms of carcinogenesis,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0039-3
6,Time abides long enough for those who make use of it,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0038-4
7,Nodal disease predicts recurrence whereas other traditional factors affect survival in a cohort of South African patients with differentiated thyroid carcinoma,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0037-5
8,"Survival and associated factors among patients with oral squamous cell carcinoma (OSCC) in Mulago hospital, Kampala, Uganda",http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0036-6
9,Locally advanced high-risk HPV related oropharyngeal squamous cell carcinoma (OPSCC); have we forgotten it is a different disease?,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0035-7
10,Thyroid cancer risk in airline cockpit and cabin crew: a meta-analysis,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0034-8
11,Investigating adherence to Australian nutritional care guidelines in patients with head and neck cancer,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0033-9
12,Extracapsular extension is not a significant prognostic indicator in non-squamous cancers of the major salivary glands,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0032-x
13,Sex differences in patients with high risk HPV-associated and HPV negative oropharyngeal and oral cavity squamous cell carcinomas,http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0031-y
14,Targeting phosphoinositide 3-kinase (PI3K) in head and neck squamous cell carcinoma (HNSCC),http://cancersheadneck.biomedcentral.com/track/pdf/10.1186/s41199-018-0030-z
