No.,Title,Link
1,The impact of incorrectly recorded parentage on inferred genotypes over multiple generations,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0074-3
2,Greyhounds under general veterinary care in the UK during 2016: demography and common disorders,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0072-5
3,Glaucoma-causing ADAMTS17 mutations are also reproducibly associated with height in two domestic dog breeds: selection for short stature may have contributed to increased prevalence of glaucoma,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0071-6
4,"vWDI is inherited in an autosomal dominant manner with incomplete penetrance, in the Kromfohrländer breed",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0073-4
5,DLA class II risk haplotypes for autoimmune diseases in the bearded collie offer insight to autoimmunity signatures across dog breeds,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0070-7
6,"Miniature Schnauzers under primary veterinary care in the UK in 2013: demography, mortality and disorders",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-019-0069-0
7,"Heterozygosity testing and multiplex DNA panel screening as a potential tool to monitor health and inbreeding in a small, closed dog population",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0068-6
8,Neuter status as a risk factor for canine intervertebral disc herniation (IVDH) in dachshunds: a retrospective cohort study,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0067-7
9,"Labrador retrievers under primary veterinary care in the UK: demography, mortality and disorders",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0064-x
10,Longevity and mortality in Kennel Club registered dog breeds in the UK in 2014,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0066-8
11,Lipoma in dogs under primary veterinary care in the UK: prevalence and breed associations,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0065-9
12,Selected canine abstracts from the Companion Animal Genetic Health conference 2018 (CAGH 2018): Canine Genetics and Epidemiology,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0062-z
13,Meeting report from the Companion Animal Genetic Health conference 2018 (CAGH 2018): a healthy companionship: the genetics of health in dogs,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0061-0
14,Work-type influences perceived livestock herding success in Australian Working Kelpies,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0063-y
15,Demography and disorders of the French Bulldog population under primary veterinary care in the UK in 2013,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0057-9
16,Letter to the editor regarding an autosomal recessive mutation in SCL24A4 causing enamel hypoplasia in Samoyed and its relationship to breed-wide genetic diversity,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0059-7
17,Nationwide genetic testing towards eliminating Lafora disease from Miniature Wirehaired Dachshunds in the United Kingdom,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-018-0058-8
18,Assessing the relative importance of health and conformation traits in the cavalier king Charles spaniel,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0056-2
19,"Moving from information and collaboration to action: report from the 3rd International Dog Health Workshop, Paris in April 2017",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0054-4
20,Border Terriers under primary veterinary care in England: demography and disorders,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0055-3
21,"Rottweilers under primary veterinary care in the UK: demography, mortality and disorders",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0051-7
22,An autosomal recessive mutation in SCL24A4 causing enamel hypoplasia in Samoyed and its relationship to breed-wide genetic diversity,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0049-1
23,Population characteristics of golden retriever lifetime study enrollees,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0053-5
24,Lumbosacral stenosis in Labrador retriever military working dogs – an exomic exploratory study,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0052-6
25,Single nucleotide polymorphisms and microsatellites in the canine glutathione S-transferase pi 1 (GSTP1) gene promoter,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0050-8
26,Obituary: professor sir Patrick Bateson FRS and dog welfare,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0048-2
27,Large-scale survey to estimate the prevalence of disorders for 192 Kennel Club registered breeds,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0047-3
28,Demography and disorders of German Shepherd Dogs under primary veterinary care in the UK,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0046-4
29,Corneal ulcerative disease in dogs under primary veterinary care in England: epidemiology and clinical management,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0045-5
30,Correlation of neuter status and expression of heritable disorders,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0044-6
31,Genetic mapping of principal components of canine pelvic morphology,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0043-7
32,Osteosarcoma inheritance in two families of Scottish deerhounds,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0042-8
33,"DNM1 mutation status, sex, and sterilization status of a cohort of Labrador retrievers with and without cranial cruciate ligament rupture",http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-017-0041-9
34,Polymorphisms in the canine monoamine oxidase a (MAOA) gene: identification and variation among five broad dog breed groups,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0040-2
35,No evidence of prenatal diversifying selection at locus or supertype levels in the dog MHC class II loci,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0038-9
36,DachsLife 2015: an investigation of lifestyle associations with the risk of intervertebral disc disease in Dachshunds,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0039-8
37,A genetic assessment of the English bulldog,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0036-y
38,A large deletion in RPGR causes XLPRA in Weimaraner dogs,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0037-x
39,Demography and health of Pugs under primary veterinary care in England,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0035-z
40,The epidemiology of patellar luxation in dogs attending primary-care veterinary practices in England,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0034-0
41,Protein expression and genetic variability of canine Can f 1 in golden and Labrador retriever service dogs,http://cgejournal.biomedcentral.com/track/pdf/10.1186/s40575-016-0031-3
