No.,Title,Link
1,Building houses and managing lawns could limit yard soil carbon for centuries,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0124-x
2,On the realistic contribution of European forests to reach climate objectives,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0123-y
3,"Carbon stock under major land use/land cover types of Hades sub-watershed, eastern Ethiopia",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0122-z
4,Assessing Lagrangian inverse modelling of urban anthropogenic CO2 fluxes using in situ aircraft and ground-based measurements in the Tokyo area,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0118-8
5,Estimation of the aboveground biomass and carbon stocks in open Brazilian Savannah developed on sandy soils,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0121-0
6,Carbon stocks for different land cover types in Mainland Tanzania,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0120-1
7,"GHG mitigation in Agriculture, Forestry and Other Land Use (AFOLU) sector in Thailand",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0119-7
8,Forest degradation and biomass loss along the Chocó region of Colombia,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0117-9
9,"Carbon stock of the various carbon pools in Gerba-Dima moist Afromontane forest, South-western Ethiopia",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-019-0116-x
10,"Carbon dynamics of paper, engineered wood products and bamboo in landfills: evidence from reactor studies",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0115-3
11,Carbon costs and benefits of France’s biomass energy production targets,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0113-5
12,"Selection criteria for linear regression models to estimate individual tree biomasses in the Atlantic Rain Forest, Brazil",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0112-6
13,"Pasture enclosures increase soil carbon dioxide flux rate in Semiarid Rangeland, Kenya",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0114-4
14,Biomass allometric equation and expansion factor for a mountain moist evergreen forest in Mozambique,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0111-7
15,Global carbon dioxide removal rates from forest landscape restoration activities,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0110-8
16,Questioning emissions-based approaches for the definition of REDD+ deforestation baselines in high forest cover/low deforestation countries,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0109-1
17,Dynamics of carbon and CO2 removals by Brazilian forest plantations during 1990–2016,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0106-4
18,Time-series maps of aboveground biomass in dipterocarps forests of Malaysia from PALSAR and PALSAR-2 polarimetric data,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0108-2
19,Understanding the implications of the EU-LULUCF regulation for the wood supply from EU forests to the EU,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0107-3
20,Carbon budgets of potential tropical perennial grass cropping scenarios for bioenergy feedstock production,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0102-8
21,Spatially-integrated estimates of net ecosystem exchange and methane fluxes from Canadian peatlands,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0105-5
22,Multiscale divergence between Landsat- and lidar-based biomass mapping is related to regional variation in canopy cover and composition,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0104-6
23,The effects of land cover change on carbon stock dynamics in a dry Afromontane forest in northern Ethiopia,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0103-7
24,Climate change mitigation in Canada’s forest sector: a spatially explicit case study for two regions,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0099-z
25,A systems approach to assess climate change mitigation options in landscapes of the United States forest sector,http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0100-x
26,"Contribution of forest wood products to negative emissions: historical comparative analysis from 1960 to 2015 in Norway, Sweden and Finland",http://cbmjournal.biomedcentral.com/track/pdf/10.1186/s13021-018-0101-9
