No.,Title,Link
1,Cardiotoxicity after cancer treatment: a process map of the patient treatment journey,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0046-5
2,Early markers of cardiovascular injury in childhood leukaemia survivors treated with anthracycline chemotherapy,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0047-4
3,Electrocardiograms for cardiomyopathy risk stratification in children with anthracycline exposure,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0045-6
4,Clinical outcomes after transcatheter aortic valve replacement in cancer survivors treated with ionizing radiation,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0044-7
5,Concomitant use of renin-angiotensin-aldosterone system inhibitors prevent trastuzumab-induced cardiotoxicity in HER2+ breast cancer patients: an institutional retrospective study,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0043-8
6,Takotsubo cardiomyopathy in cancer patients,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0042-9
7,A quality improvement approach to reducing hospital readmissions in patients with cancer and heart failure,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0041-x
8,Spontaneously occurring cardiovascular lesions in commonly used laboratory animals,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0040-y
9,NT-proBNP correlates with LVEF decline in HER2-positive breast cancer patients treated with trastuzumab,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0039-4
10,Increased skeletal intermuscular fat is associated with reduced exercise capacity in cancer survivors: a cross-sectional study,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0038-5
11,Systemic and cardiac susceptibility of immune compromised mice to doxorubicin,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0037-6
12,Upfront dexrazoxane for the reduction of anthracycline-induced cardiotoxicity in adults with preexisting cardiomyopathy and cancer: a consecutive case series,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-019-0036-7
13,Resting and exercise arterial dysfunction in anthracycline-treated adult survivors of childhood cancers,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0035-0
14,Effects of a novel peptide Ac-SDKP in radiation-induced coronary endothelial damage and resting myocardial blood flow,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0034-1
15,Tissue Doppler Imaging for anthracycline cardiotoxicity monitoring in pediatric patients with cancer,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0032-3
16,"Randomized study of doxorubicin-based chemotherapy regimens, with and without sildenafil, with analysis of intermediate cardiac markers",http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0033-2
17,Do current approaches to assessing therapy related adverse events align with the needs of long-term cancer patients and survivors?,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0031-4
18,Use of integrated imaging and serum biomarker profiles to identify subclinical dysfunction in pediatric cancer patients treated with anthracyclines,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0030-5
19,Incidence and outcomes of cancer treatment-related cardiomyopathy among referrals for advanced heart failure,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0029-y
20,Recurrent heart failure with preserved ejection fraction associated with carfilzomib administration for multiple myeloma,http://cardiooncologyjournal.biomedcentral.com/track/pdf/10.1186/s40959-018-0028-z
