No.,Title,Link
1,Evidence from routine clinical practice: EMPRISE provides a new perspective on CVOTs,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0920-3
2,Epicardial adipose tissue predicts incident cardiovascular disease and mortality in patients with type 2 diabetes,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0917-y
3,Significance of circulating microRNAs in diabetes mellitus type 2 and platelet reactivity: bioinformatic analysis and review,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0918-x
4,Cardiovascular outcomes in trials of new antidiabetic drug classes: a network meta-analysis,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0916-z
5,Positive association between baseline brachial–ankle pulse wave velocity and the risk of new-onset diabetes in hypertensive patients,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0915-0
6,Improved home BP profile with dapagliflozin is associated with amelioration of albuminuria in Japanese patients with diabetic nephropathy: the Yokohama add-on inhibitory efficacy of dapagliflozin on albuminuria in Japanese patients with type 2 diabetes study (Y-AIDA study),http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0912-3
7,Temporal relationship between inflammation and insulin resistance and their joint effect on hyperglycemia: the Bogalusa Heart Study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0913-2
8,Successful revascularization versus medical therapy in diabetic patients with stable right coronary artery chronic total occlusion: a retrospective cohort study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0911-4
9,Dapagliflozin improves left ventricular remodeling and aorta sympathetic tone in a pig model of heart failure with preserved ejection fraction,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0914-1
10,Effects of the SGLT2 inhibitor dapagliflozin on cardiac function evaluated by impedance cardiography in patients with type 2 diabetes. Secondary analysis of a randomized placebo-controlled trial,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0910-5
11,The association between serum adiponectin and 3-month outcome after ischemic stroke,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0908-z
12,High-intensity interval training improves metabolic syndrome and body composition in outpatient cardiac rehabilitation patients with myocardial infarction,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0907-0
13,Severe hypoglycemia and the risk of cardiovascular disease and mortality in type 2 diabetes: a nationwide population-based cohort study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0909-y
14,A functional variant of the dimethylarginine dimethylaminohydrolase-2 gene is associated with myocardial infarction in type 2 diabetic patients,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0906-1
15,Correction to: Effect of liraglutide on cardiac function in patients with type 2 diabetes mellitus: randomized placebo-controlled trial,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0905-2
16,Insulin resistance and dysglycemia are associated with left ventricular remodeling after myocardial infarction in non-diabetic patients,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0904-3
17,Class effects of SGLT2 inhibitors on cardiorenal outcomes,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0903-4
18,Changes in behaviors after diagnosis of type 2 diabetes and 10-year incidence of cardiovascular disease and mortality,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0902-5
19,Novel associations between sex hormones and diabetic vascular complications in men and postmenopausal women: a cross-sectional study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0901-6
20,Effect of metformin on all-cause and cardiovascular mortality in patients with coronary artery diseases: a systematic review and an updated meta-analysis,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0900-7
21,Association between macro- and microvascular damage and the triglyceride glucose index in community-dwelling elderly individuals: the Northern Shanghai Study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0898-x
22,Class effect for SGLT-2 inhibitors: a tale of 9 drugs,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0899-9
23,Subclinical atherosclerosis burden predicts cardiovascular events in individuals with diabetes and chronic kidney disease,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0897-y
24,Depressed systemic arterial compliance and impaired left ventricular midwall performance in aortic stenosis with concomitant type 2 diabetes: a retrospective cross-sectional study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0894-1
25,GLP-1 secretion in acute ischemic stroke: association with functional outcome and comparison with healthy individuals,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0896-z
26,Carotid ultrasound investigation as a prognostic tool for patients with diabetes mellitus,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0895-0
27,Triglyceride-glucose index is associated with symptomatic coronary artery disease in patients in secondary care,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0893-2
28,The role of blood pressure in risk of ischemic and hemorrhagic stroke in type 1 diabetes,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0891-4
29,"A double-blind, placebo-controlled, randomised trial to assess the effect of liraglutide on ectopic fat accumulation in South Asian type 2 diabetes patients",http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0890-5
30,Impaired branched chain amino acid oxidation contributes to cardiac insulin resistance in heart failure,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0892-3
31,Cardiac ischemia–reperfusion injury under insulin-resistant conditions: SGLT1 but not SGLT2 plays a compensatory protective role in diet-induced obesity,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0889-y
32,"Cardiovascular, electrophysiologic, and hematologic effects of omega-3 fatty acids beyond reducing hypertriglyceridemia: as it pertains to the recently published REDUCE-IT trial",http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0887-0
33,Ipragliflozin-induced adipose expansion inhibits cuff-induced vascular remodeling in mice,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0886-1
34,Lipoprotein (a) interactions with cholesterol-containing lipids on angiographic coronary collateralization in type 2 diabetic patients with chronic total occlusion,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0888-z
35,"Relationship between frailty and mortality, hospitalization, and cardiovascular diseases in diabetes: a systematic review and meta-analysis",http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0885-2
36,New dual peroxisome proliferator activated receptor agonist—Saroglitazar in diabetic dyslipidemia and non-alcoholic fatty liver disease: integrated analysis of the real world evidence,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0884-3
37,Heart failure and the prognostic impact and incidence of new-onset of diabetes mellitus: a nationwide cohort study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0883-4
38,Machine-learning to stratify diabetic patients using novel cardiac biomarkers and integrative genomics,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0879-0
39,Ticagrelor improves blood viscosity-dependent microcirculatory flow in patients with lower extremity arterial disease: the Hema-kinesis clinical trial,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0882-5
40,"Cardiovascular risk reduction with once-weekly semaglutide in subjects with type 2 diabetes: a post hoc analysis of gender, age, and baseline CV risk profile in the SUSTAIN 6 trial",http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0871-8
41,Canagliflozin for Japanese patients with chronic heart failure and type II diabetes,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0877-2
42,Good glycemic control of gestational diabetes mellitus is associated with the attenuation of future maternal cardiovascular risk: a retrospective cohort study,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0881-6
43,Association between plasma omentin-1 levels in type 2 diabetic patients and peripheral artery disease,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0880-7
44,Inflammatory cytokines in type 2 diabetes mellitus as facilitators of hypercoagulation and abnormal clot formation,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0870-9
45,The selective peroxisome proliferator-activated receptor alpha modulator (SPPARMα) paradigm: conceptual framework and therapeutic potential,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0864-7
46,Aspirin has potential benefits for primary prevention of cardiovascular outcomes in diabetes: updated literature-based and individual participant data meta-analyses of randomized controlled trials,http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0875-4
47,"Impact of serum 1,5-anhydro-d-glucitol level on the prediction of severe coronary artery calcification: an intravascular ultrasound study",http://cardiab.biomedcentral.com/track/pdf/10.1186/s12933-019-0878-1
