No.,Title,Link
1,Clinical value of myocardial performance index in patients with isolated diastolic dysfunction,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0167-x
2,General anesthesia and positive pressure ventilation suppress left and right ventricular myocardial shortening in patients without myocardial disease – a strain echocardiography study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0165-z
3,Area of the pressure-strain loop during ejection as non-invasive index of left ventricular performance: a population study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0166-y
4,Evaluation of right ventricular function in fetuses with isolated single umbilical artery using spatiotemporal image correlation M-mode,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0164-0
5,"The effect of cardiac shock wave therapy on myocardial function and perfusion in the randomized, triple-blind, sham-procedure controlled study",http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0163-1
6,Intracardiac echocardiography versus fluoroscopy for endovascular and endocardial catheter navigation during cryo-ablation of the slow pathway in AVNRT patients,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0162-2
7,Echocardiographic predictors of intraoperative right ventricular dysfunction: a 2D and speckle tracking echocardiography study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0161-3
8,The Association of a classical left bundle Branch Block Contraction Pattern by vendor-independent strain echocardiography and outcome after cardiac resynchronization therapy,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0160-4
9,Left atrial strain reproducibility using vendor-dependent and vendor-independent software,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0158-y
10,Genetic anomalies in fetuses with tetralogy of Fallot by using high-definition chromosomal microarray analysis,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0159-x
11,Accurate assessment of LV function using the first automated 2D-border detection algorithm for small animals - evaluation and application to models of LV dysfunction,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0156-0
12,The assessment of pressure-volume relationship during exercise stress echocardiography predicts left ventricular remodeling and eccentric hypertrophy in patients with chronic heart failure,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0157-z
13,Reliability of three-dimensional color flow Doppler and two-dimensional pulse wave Doppler transthoracic echocardiography for estimating cardiac output after cardiac surgery,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0155-1
14,The feasibility study of transnasopharyngeal esophagus echocardiography in the ultrasonic diagnosis,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0154-2
15,The value of left ventricular strain–volume loops in predicting response to cardiac resynchronization therapy,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0153-3
16,Left ventricular geometric patterns in patients with type A aortic dissection,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0152-4
17,Role of cardiac imaging in Anderson-Fabry cardiomyopathy,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0151-5
18,Assessment of right atrium dysfunction in patients with obstructive sleep apnea syndrome using velocity vector imaging,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0150-y
19,Evaluation of sepsis induced cardiac dysfunction as a predictor of mortality,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0149-4
20,Speckle tracking echocardiography analyses of myocardial contraction efficiency predict response for cardiac resynchronization therapy,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0148-5
21,Left atrial strain - an early marker of left ventricular diastolic dysfunction in patients with hypertension and paroxysmal atrial fibrillation,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0147-6
22,Long-term follow-up in adults after tetralogy of Fallot repair,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0146-7
23,Comparison of mitral annulus geometry between patients with ischemic and non-ischemic functional mitral regurgitation: implications for transcatheter mitral valve implantation,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0145-8
24,Usefulness of carotid ultrasonography in the diagnosis of coronary artery disease in patients undergoing exercise echocardiography,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0143-x
25,Echocardiographic markers of dyssynchrony as predictors of super-response to cardiac resynchronisation therapy – a pilot study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0140-0
26,Assessment of left ventricular systolic and diastolic abnormalities in patients with hypertrophic cardiomyopathy using real-time three-dimensional echocardiography and two-dimensional speckle tracking imaging,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0142-y
27,The new clinical standard of integrated quadruple stress echocardiography with ABCD protocol,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0141-z
28,Layer-specific strain analysis in patients with suspected stable angina pectoris and apparently normal left ventricular wall motion,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0144-9
29,Relation of arterial stiffness to left ventricular structure and function in healthy women,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0139-6
30,Quality control of B-lines analysis in stress Echo 2020,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0138-7
31,Left atrium remodeling predicts late recurrence of paroxysmal atrial fibrillation after second generation cryoballoon ablation,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0137-8
32,Comparison of non-triggered magnetic resonance imaging and echocardiography for the assessment of left atrial volume and morphology,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0134-y
33,Comprehensive assessment of left ventricular myocardial function by two-dimensional speckle-tracking echocardiography,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0135-x
34,Reproducibility of Transcranial Doppler ultrasound in the middle cerebral artery,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0133-z
35,When to incorporate point-of-care ultrasound (POCUS) into the initial assessment of acutely ill patients: a pilot crossover study to compare 2 POCUS-assisted simulation protocols,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0132-0
36,Quantitative analysis of mitral valve morphology in atrial functional mitral regurgitation using real-time 3-dimensional echocardiography atrial functional mitral regurgitation,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0131-1
37,Tricuspid annular plane systolic excursion and central venous pressure in mechanically ventilated critically ill patients,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0130-2
38,Prospective assessment of cardiovascular risk parameters in patients with rheumatoid arthritis,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0136-9
39,Feasibility of basic transesophageal echocardiography in hemorrhagic shock: potential applications during resuscitative endovascular balloon occlusion of the aorta (REBOA),http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0129-8
40,Evaluation of a commercial multi-dimensional echocardiography technique for ventricular volumetry in small animals,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0128-9
41,Are aortic coarctation and rheumatoid arthritis different models of aortic stiffness? Data from an echocardiographic study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0126-y
42,Increased aortic intima-media thickness may be used to detect macrovascular complications in adult type II diabetes mellitus patients,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0127-x
43,Echocardiographic characteristics of primary malignant pericardial mesothelioma and outcomes analysis: a retrospective study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0125-z
44,How I do it: feasibility of a new ultrasound probe fixator to facilitate high quality stress echocardiography,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0124-0
45,Post-operative left atrial volume index is a predictor of the occurrence of permanent atrial fibrillation after mitral valve surgery in patients who undergo mitral valve surgery,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0123-1
46,Cardiac fluid dynamics meets deformation imaging,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-018-0122-2
47,Equivocal tests after contrast stress-echocardiography compared with invasive coronary angiography or with CT angiography: CT calcium score in mildly positive tests may spare unnecessary coronary angiograms,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-017-0119-2
48,Realization of fully automated quantification of left ventricular volumes and systolic function using transthoracic 3D echocardiography,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-017-0121-8
49,3D vena contracta area after MitraClip© procedure: precise quantification of residual mitral regurgitation and identification of prognostic information,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-017-0120-9
50,Energetic performance analysis of staged palliative surgery in tricuspid atresia using vector flow mapping,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-017-0118-3
51,Clinical value of myocardial performance index in patients with isolated diastolic dysfunction,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0167-x
52,General anesthesia and positive pressure ventilation suppress left and right ventricular myocardial shortening in patients without myocardial disease – a strain echocardiography study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0165-z
53,Area of the pressure-strain loop during ejection as non-invasive index of left ventricular performance: a population study,http://cardiovascularultrasound.biomedcentral.com/track/pdf/10.1186/s12947-019-0166-y
