No.,Title,Link
1,Function and mechanism of long non-coding RNA Gm21284 in the development of hippocampal cholinergic neurons,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0336-5
2,The metabolic network model of primed/naive human embryonic stem cells underlines the importance of oxidation-reduction potential and tryptophan metabolism in primed pluripotency,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0334-7
3,"DUSP8 phosphatase: structure, functions, expression regulation and the role in human diseases",http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0329-4
4,The effect of the chemical chaperone 4-phenylbutyrate on secretion and activity of the p.Q160R missense variant of coagulation factor FVII,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0333-8
5,Metformin represses the pathophysiology of AAA by suppressing the activation of PI3K/AKT/mTOR/autophagy pathway in ApoE−/− mice,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0332-9
6,Upregulation of CKIP-1 inhibits high-glucose induced inflammation and oxidative stress in HRECs and attenuates diabetic retinopathy by modulating Nrf2/ARE signaling pathway: an in vitro study,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0331-x
7,The role of mRNA m6A methylation in the nervous system,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0330-y
8,"Autophagy, cancer and angiogenesis: where is the link?",http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0327-6
9,Steroid receptor coactivator 3 inhibits hepatitis B virus gene expression through activating Akt signaling to prevent HNF4α nuclear translocation,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0328-5
10,miR-7 methylation as a biomarker to predict poor survival in early-stage non-small cell lung cancer patients,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0326-7
11,Colon cancer cells secrete exosomes to promote self-proliferation by shortening mitosis duration and activation of STAT3 in a hypoxic environment,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0325-8
12,Deoxysphingolipids and ether-linked diacylglycerols accumulate in the tissues of aged mice,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0324-9
13,BH3 mimetic ABT-263 enhances the anticancer effects of apigenin in tumor cells with activating EGFR mutation,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0322-y
14,"Correction to: PKM2, function and expression and regulation",http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0321-z
15,Correction to: Circular RNAs and RNase L in PKR activation and virus infection,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0320-0
16,Correction to: IGFBP7 inhibits cell proliferation by suppressing AKT activity and cell cycle progression in thyroid carcinoma,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0319-6
17,Physiological and transcriptome analyses of Opisthopappus taihangensis in response to drought stress,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0318-7
18,CXCR4 knockdown prevents inflammatory cytokine expression in macrophages by suppressing activation of MAPK and NF-κB signaling pathways,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0315-x
19,LncRNA MALAT1 promotes osteoarthritis by modulating miR-150-5p/AKT3 axis,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0302-2
20,The single-cell sequencing: new developments and medical applications,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0314-y
21,"PKM2, function and expression and regulation",http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0317-8
22,Regulation of platelet-activating factor-mediated interleukin-6 promoter activation by the 48 kDa but not the 45 kDa isoform of protein tyrosine phosphatase non-receptor type 2,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0316-9
23,Combination chemotherapy of valproic acid (VPA) and gemcitabine regulates STAT3/Bmi1 pathway to differentially potentiate the motility of pancreatic cancer cells,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0312-0
24,Cytological and proteomic analyses of floral buds reveal an altered atlas of meiosis in autopolyploid Brassica rapa,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0313-z
25,Label-free quantitative proteomics identifies transforming growth factor β1 (TGF-β1) as an inhibitor of adipogenic transformation in OP9-DL1 cells and primary thymic stromal cells,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0311-1
26,The PinX1/NPM interaction associates with hTERT in early-S phase and facilitates telomerase activation,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0306-y
27,Zika virus antagonizes interferon response in patients and disrupts RIG-I–MAVS interaction through its CARD-TM domains,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0308-9
28,"Brusatol, an NRF2 inhibitor for future cancer therapeutic",http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0309-8
29,IGFBP7 inhibits cell proliferation by suppressing AKT activity and cell cycle progression in thyroid carcinoma,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0310-2
30,Circular RNAs and RNase L in PKR activation and virus infection,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0307-x
31,The 2018 Ming K. Jeang award for excellence in Cell & Bioscience,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0305-z
32,Multiplexed CRISPR/Cas9 gene knockout with simple crRNA:tracrRNA co-transfection,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0304-0
33,Functional characterization of SLC26A3 c.392C>G (p.P131R) mutation in intestinal barrier function using CRISPR/CAS9-created cell models,http://cellandbioscience.biomedcentral.com/track/pdf/10.1186/s13578-019-0303-1
