No.,Title,Link
1,"Aspulvinone O, a natural inhibitor of GOT1 suppresses pancreatic ductal adenocarcinoma cells growth by interfering glutamine metabolism",http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0425-4
2,WNT5B governs the phenotype of basal-like breast cancer by activating WNT signaling,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0419-2
3,1H-NMR metabolomics reveals the Glabrescione B exacerbation of glycolytic metabolism beside the cell growth inhibitory effect in glioma,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0421-8
4,"Immature O-glycans recognized by the macrophage glycoreceptor CLEC10A (MGL) are induced by 4-hydroxy-tamoxifen, oxidative stress and DNA-damage in breast cancer cells",http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0420-9
5,ITCH-dependent proteasomal degradation of c-FLIP induced by the anti-HER3 antibody 9F7-F11 promotes DR5/caspase 8-mediated apoptosis of tumor cells,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0413-8
6,Integral membrane protein 2A inhibits cell growth in human breast cancer via enhancing autophagy induction,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0422-7
7,Parkin deficiency prevents chronic ethanol-induced hepatic lipid accumulation through β-catenin accumulation,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0424-5
8,Inhibition of T cell immunoglobulin and mucin-1 (TIM-1) protects against cerebral ischemia-reperfusion injury,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0417-4
9,NFAT5 mediates hypertonic stress-induced atherosclerosis via activating NLRP3 inflammasome in endothelium,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0406-7
10,Sharpin suppresses β1-integrin activation by complexing with the β1 tail and kindlin-1,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0407-6
11,Caffeic acid phenethyl ester suppresses androgen receptor signaling and stability via inhibition of phosphorylation on Ser81 and Ser213,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0404-9
12,Estrogen inhibits autophagy and promotes growth of endometrial cancer by promoting glutamine metabolism,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0412-9
13,Autophagy drives osteogenic differentiation of human gingival mesenchymal stem cells,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0414-7
14,Wnt signaling: a promising target for osteoarthritis therapy,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0411-x
15,Exosomes released from neural progenitor cells and induced neural progenitor cells regulate neurogenesis through miR-21a,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0418-3
16,A novel population of extracellular vesicles smaller than exosomes promotes cell proliferation,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0401-z
17,Increased HERV-E clone 4–1 expression contributes to DNA hypomethylation and IL-17 release from CD4+ T cells via miR-302d/MBD2 in systemic lupus erythematosus,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0416-5
18,Novel interactions between ERα-36 and STAT3 mediate breast cancer cell migration,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0409-4
19,The critical role of RasGRP4 in the growth of diffuse large B cell lymphoma,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0415-6
20,Protein phosphatase 2A modulates podocyte maturation and glomerular functional integrity in mice,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0402-y
21,Palmitoylation is required for TNF-R1 signaling,http://biosignaling.biomedcentral.com/track/pdf/10.1186/s12964-019-0405-8
