No.,Title,Link
1,"Correction to: Reactivation of TAp73 tumor suppressor by protoporphyrin IX, a metabolite of aminolevulinic acid, induces apoptosis in TP53-deficient cancer cells",http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0052-x
2,Phosphatidylinositol-5-phosphate 4-kinase gamma accumulates at the spindle pole and prevents microtubule depolymerization,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0053-9
3,Septin and Ras regulate cytokinetic abscission in detached cells,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0051-y
4,Nucleoporin Nup58 localizes to centrosomes and mid-bodies during mitosis,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0050-z
5,Overexpression of P16 reversed the MDR1-mediated DDP resistance in the cervical adenocarcinoma by activating the ERK1/2 signaling pathway,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0048-6
6,M2I-1 disrupts the in vivo interaction between CDC20 and MAD2 and increases the sensitivities of cancer cell lines to anti-mitotic drugs via MCL-1s,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0049-5
7,HSP70 is required for the proper assembly of pericentriolar material and function of mitotic centrosomes,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0047-7
8,"A novel resveratrol derivative induces mitotic arrest, centrosome fragmentation and cancer cell death by inhibiting γ-tubulin",http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0046-8
9,p27kip1 at the crossroad between actin and microtubule dynamics,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-019-0045-9
10,Replication stress-induced Exo1 phosphorylation is mediated by Rad53/Pph3 and Exo1 nuclear localization is controlled by 14-3-3 proteins,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0044-2
11,"Reactivation of TAp73 tumor suppressor by protoporphyrin IX, a metabolite of aminolevulinic acid, induces apoptosis in TP53-deficient cancer cells",http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0043-3
12,Kif18a regulates Sirt2-mediated tubulin acetylation for spindle organization during mouse oocyte meiosis,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0042-4
13,Triple A patient cells suffering from mitotic defects fail to localize PGRMC1 to mitotic kinetochore fibers,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0041-5
14,The functional diversity of Aurora kinases: a comprehensive review,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0040-6
15,Measuring DNA content in live cells by fluorescence microscopy,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0039-z
16,IMP/GTP balance modulates cytoophidium assembly and IMPDH activity,http://celldiv.biomedcentral.com/track/pdf/10.1186/s13008-018-0038-0
