No.,Title,Link
1,Correction to: Mesenchymal stem cells decrease blood–brain barrier permeability in rats with severe acute pancreatitis,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0176-7
2,SOX2 promotes hypoxia-induced breast cancer cell migration by inducing NEDD9 expression and subsequent activation of Rac1/HIF-1α signaling,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0180-y
3,A novel frameshift mutation in the EDA gene in an Iranian patient affected by X-linked hypohidrotic ectodermal dysplasia,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0174-9
4,Current prevalence status of gastric cancer and recent studies on the roles of circular RNAs and methods used to investigate circular RNAs,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0178-5
5,Costunolide reduces glycolysis-associated activation of hepatic stellate cells via inhibition of hexokinase-2,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0179-4
6,MiR-135-5p promotes osteoblast differentiation by targeting HIF1AN in MC3T3-E1 cells,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0177-6
7,"Long non-coding RNA Malat1 activated autophagy, hence promoting cell proliferation and inhibiting apoptosis by sponging miR-101 in colorectal cancer",http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0175-8
8,Silencing of Synuclein-γ inhibits human cervical cancer through the AKT signaling pathway,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0172-y
9,"microRNA-211 regulates cell proliferation, apoptosis and migration/invasion in human osteosarcoma via targeting EZRIN",http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0173-x
10,MicroRNA-5195-3p enhances the chemosensitivity of triple-negative breast cancer to paclitaxel by downregulating EIF4A2,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0168-7
11,MiR-216a-5p targets TCTN1 to inhibit cell proliferation and induce apoptosis in esophageal squamous cell carcinoma,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0166-9
12,The effect of AP-2δ on transcription of the Prestin gene in HEI-OC1 cells upon oxidative stress,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0170-0
13,The effects of CRISPR-Cas9 knockout of the TGF-β1 gene on antler cartilage cells in vitro,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0171-z
14,Mesenchymal stem cells decrease blood–brain barrier permeability in rats with severe acute pancreatitis,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0167-8
15,Dp71 depleted HBE cells displayed increased DNA damage and apoptosis induced by H2O2,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0169-6
16,LncRNA GASL1 is downregulated in chronic heart failure and regulates cardiomyocyte apoptosis,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0165-x
17,Progress in research on paclitaxel and tumor immunotherapy,http://cmbl.biomedcentral.com/track/pdf/10.1186/s11658-019-0164-y
