No.,Title,Link
1,Nonmotor symptoms in spinocerebellar ataxias (SCAs),http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0106-5
2,Modafinil in the rehabilitation of a patient with post-surgical posterior fossa syndrome: a lesson to be learned?,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0105-6
3,"Publisher Correction to: Cerebellum & Ataxias, volume 6",http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0104-7
4,The cerebellar phenotype of Charcot-Marie-Tooth neuropathy type 4C,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0103-8
5,Paraneoplastic cerebellar degeneration as initial presentation of renal cell carcinoma,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0102-9
6,Is 1H-MR spectroscopy useful as a diagnostic aid in MSA-C?,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0099-0
7,The evolution of theory of mind (ToM) within the evolution of cerebellar sequence detection in stone-tool making and language: implications for studies of higher-level cognitive functions in degenerative cerebellar atrophy,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0101-x
8,Tremor after long term lithium treatment; is it cortical myoclonus?,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0100-y
9,Delayed fenestration of Blake’s pouch with or without vermian hypoplasia: fetal MRI at 3 tesla versus 1.5 tesla,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0098-1
10,Insights into cognitive decline in spinocerebellar Ataxia type 2: a P300 event-related brain potential study,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0097-2
11,Fever-related ataxia: a case report of CAPOS syndrome,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-019-0096-3
12,Slow saccades in cerebellar disease,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0095-9
13,Transcranial magnetic stimulation for diplopia in a patient with spinocerebellar ataxia type 6: a case report,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0094-x
14,Cerebellar radiological abnormalities in children with neurofibromatosis type 1: part 1 - clinical and neuroimaging findings,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0093-y
15,Cerebellar radiological abnormalities in children with neurofibromatosis type 1: part 2 - a neuroimaging natural history study with clinical correlations,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0092-z
16,Successful treatment of a genetic childhood ataxia due to riboflavin transporter deficiency,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0091-0
17,The role of cerebellar impairment in emotion processing: a case study,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0090-1
18,Correction to: Participation of the caudal cerebellar lobule IX to the dorsal attentional network,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0089-7
19,Participation of the caudal cerebellar lobule IX to the dorsal attentional network,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0088-8
20,The mystery of the cerebellum: clues from experimental and clinical observations,http://cerebellumandataxias.biomedcentral.com/track/pdf/10.1186/s40673-018-0087-9
