No.,Title,Link
1,Come together: case specific cross-institutional cooperation of youth welfare services and child and adolescent psychiatry,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0294-z
2,Cannabis and amphetamine use and its psychosocial correlates among school-going adolescents in Ghana,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0293-0
3,Online sexual abuse of adolescents by a perpetrator met online: a cross-sectional study,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0292-1
4,Goal setting improves retention in youth mental health: a cross-sectional analysis,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0288-x
5,"International findings with the Achenbach System of Empirically Based Assessment (ASEBA): applications to clinical services, research, and training",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0291-2
6,Reduced prefrontal hemodynamic response in pediatric autism spectrum disorder measured with near-infrared spectroscopy,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0289-9
7,The effects of comorbid Tourette symptoms on distress caused by compulsive-like behavior in very young children: a cross-sectional study,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0290-3
8,"The Sävsjö-school-project: a cluster-randomized trial aimed at improving the literacy of beginners—achievements, mental health, school satisfaction and reading capacity at the end of grade three using an alternative school curriculum",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0285-0
9,Parental military deployment as risk factor for children’s mental health: a meta-analytical review,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0287-y
10,Psychometric evaluation of a parent-rating and self-rating inventory for pediatric obsessive-compulsive disorder: German OCD Inventory for Children and Adolescents (OCD-CA),http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0286-z
11,The relationship between the psychological stress of adolescents in school and the prevalence of chronic low back pain: a cross-sectional study in China,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0283-2
12,Social factors associated with non-suicidal self-injury (NSSI),http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0284-1
13,Providing manualized individual trauma-focused CBT to unaccompanied refugee minors with uncertain residence status: a pilot study,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0282-3
14,"Gender-specific substance use patterns and associations with individual, family, peer, and school factors in 15-year-old Portuguese adolescents: a latent class regression analysis",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0281-4
15,Longitudinal studies in forensic child and adolescent psychiatry and mental health: CAPMH thematic series 2018/2019,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0280-5
16,Shaping the future of child and adolescent psychiatry,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0279-y
17,Trauma-focused group intervention for unaccompanied young refugees: “Mein Weg”—predictors of treatment outcomes and sustainability of treatment effects,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0277-0
18,CAPMH health-related quality of life among adolescent psychiatric outpatients: a 12-month follow-up study among 12–14-year-old Finnish boys and girls,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0278-z
19,Pathways to a diagnosis of autism spectrum disorder in Germany: a survey of parents,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0276-1
20,Sibling relationships of female adolescents with nonsuicidal self-injury disorder in comparison to a clinical and a nonclinical control group,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0275-2
21,Utilizing a family-based economic strengthening intervention to improve mental health wellbeing among female adolescent orphans in Uganda,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0273-4
22,"Maltreatment history, trauma symptoms and research reactivity among adolescents in child protection services",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0270-7
23,Gender differences in Korean adolescents who died by suicide based on teacher reports,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0274-3
24,Favourable short-term course and outcome of pediatric anxiety spectrum disorders: a prospective study from India,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0272-5
25,The bumpy road to change: a retrospective qualitative study on formerly detained adolescents’ trajectories towards better lives,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0271-6
26,Clinicians’ attitudes toward standardized assessment and diagnosis within child and adolescent psychiatry,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0269-0
27,Mental health and associated stress factors in accompanied and unaccompanied refugee minors resettled in Germany: a cross-sectional study,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0268-1
28,"Maternal and peer attachment, identity formation, and non-suicidal self-injury: a longitudinal mediation study",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0267-2
29,Overview of European forensic youth care: towards an integrative mission for prevention and intervention strategies for juvenile offenders,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0265-4
30,The effects of parental opioid use on the parent–child relationship and children’s developmental and behavioral outcomes: a systematic review of published reports,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0266-3
31,The relation between mental health problems and future violence among detained male juveniles,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0264-5
32,Child mental illness and the help-seeking process: a qualitative study among parents in a Ugandan community,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0262-7
33,Therapeutic factors that promote recovery in high-risk adolescents intensive group psychotherapeutic MBT programme,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-019-0263-6
34,Parent and peer relationships as longitudinal predictors of adolescent non-suicidal self-injury onset,http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-018-0261-0
35,"Earthquake exposures and mental health outcomes in children and adolescents from Phulpingdanda village, Nepal: a cross-sectional study",http://capmh.biomedcentral.com/track/pdf/10.1186/s13034-018-0257-9
