No.,Title,Link
1,Metabolomics combined with network pharmacology exploration reveals the modulatory properties of Astragali Radix extract in the treatment of liver fibrosis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0251-z
2,Dissection of the molecular targets and signaling pathways of Guzhi Zengsheng Zhitongwan based on the analysis of serum proteomics,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0252-y
3,Simultaneous UPLC–TQ-MS/MS determination of six active components in rat plasma: application in the pharmacokinetic study of Cyclocarya paliurus leaves,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0248-7
4,A network pharmacology-based study on the anti-hepatoma effect of Radix Salviae Miltiorrhizae,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0249-6
5,Efficacy of leflunomide combined with ligustrazine in the treatment of rheumatoid arthritis: prediction with network pharmacology and validation in a clinical trial,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0247-8
6,A review on the immunomodulatory activity of Acanthopanax senticosus and its active components,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0250-0
7,Botanicals as modulators of depression and mechanisms involved,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0246-9
8,Novel drug delivery systems of Chinese medicine for the treatment of inflammatory bowel disease,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0245-x
9,A tannin compound from Sanguisorba officinalis blocks Wnt/β-catenin signaling pathway and induces apoptosis of colorectal cancer cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0244-y
10,"Chemistry, pharmacology and analysis of Pseudostellaria heterophylla: a mini-review",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0243-z
11,Biofertilizers regulate the soil microbial community and enhance Panax ginseng yields,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0241-1
12,The effects of bioactive components from the rhizome of Salvia miltiorrhiza (Danshen) on the characteristics of Alzheimer’s disease,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0242-0
13,Metabolomics analysis of herb-partitioned moxibustion treatment on rats with diarrhea-predominant irritable bowel syndrome,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0240-2
14,"Review of traditional uses, botany, chemistry, pharmacology, pharmacokinetics, and toxicology of Radix Cyathulae",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0237-x
15,Combination of 15 lipid metabolites and motilin to diagnose spleen-deficiency FD,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0238-9
16,Brain connectomic associations with traditional Chinese medicine diagnostic classification of major depressive disorder: a diffusion tensor imaging study,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0239-8
17,A pair of new enantiomers of xanthones from the stems and leaves of Cratoxylum cochinchinense,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0235-z
18,Fabrication of paper-based enzyme immobilized microarray by 3D-printing technique for screening α-glucosidase inhibitors in mulberry leaves and lotus leaves,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0236-y
19,Immunomodulatory effects of a new whole ingredients extract from Astragalus: a combined evaluation on chemistry and pharmacology,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0234-0
20,Developing natural products as potential anti-biofilm agents,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0232-2
21,Identifying the functions and biomarkers of Codonopsis pilosula and Astragalus membranaceus aqueous extracts in hepatic cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0233-1
22,Plastid genome and composition analysis of two medical ferns: Dryopteris crassirhizoma Nakai and Osmunda japonica Thunb.,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0230-4
23,Application of metabolomics in viral pneumonia treatment with traditional Chinese medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0229-x
24,Combination of shikonin with paclitaxel overcomes multidrug resistance in human ovarian carcinoma cells in a P-gp-independent manner through enhanced ROS generation,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0231-3
25,Rapid discovery of chemical constituents and absorbed components in rat serum after oral administration of Fuzi-Lizhong pill based on high-throughput HPLC-Q-TOF/MS analysis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0227-z
26,High content screening for drug discovery from traditional Chinese medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0228-y
27,A new GIS model for ecologically suitable distributions of medicinal plants,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0226-0
28,"Baduanjin exerts anti-diabetic and anti-depression effects by regulating the expression of mRNA, lncRNA, and circRNA",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0225-1
29,Chinese herb pair Paeoniae Radix Alba and Atractylodis Macrocephalae Rhizoma suppresses LPS-induced inflammatory response through inhibiting MAPK and NF-κB pathway,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0224-2
30,Differential proteomics for studying action mechanisms of traditional Chinese medicines,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0223-8
31,Systems biology approaches in the study of Chinese herbal formulae,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0221-x
32,An innovative anti-cancer Chinese herbal formula exhibited multi-targeted efficacies in metastatic breast cancer mouse model,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0222-9
33,Gut microbiota was modulated by moxibustion stimulation in rats with irritable bowel syndrome,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0220-y
34,Cardiac function evaluation for a novel one-step detoxification product of Aconiti Lateralis Radix Praeparata,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0219-4
35,Metabonomic study of the protective effect of Fukeqianjin formula on multi-pathogen induced pelvic inflammatory disease in rats,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0217-6
36,Application of metabolomics in toxicity evaluation of traditional Chinese medicines,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0218-5
37,Pharmacological effects of medicinal components of Atractylodes lancea (Thunb.) DC.,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0216-7
38,"Abstracts from the 4th Global Chinese Symposium and the 8th Symposium for cross-straits, Hong Kong and Macao on free radical biology and medicine",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0212-y
39,Abstracts from The International Conference on Medicinal Plants and Bioeconomy & the 1st Sino-CPLP Symposium on Natural Products and Biodiversity Resources,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0213-x
40,Predicting the potential global distribution of diosgenin-contained Dioscorea species,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0215-8
41,A preliminary review of studies on adaptogens: comparison of their bioactivity in TCM with that of ginseng-like herbs used worldwide,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0214-9
42,Comparing the antidiabetic effects and chemical profiles of raw and fermented Chinese Ge-Gen-Qin-Lian decoction by integrating untargeted metabolomics and targeted analysis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0208-7
43,Blood and urinary metabolomic evidence validating traditional Chinese medicine diagnostic classification of major depressive disorder,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0211-z
44,Indigenous medicinal plants of Pakistan used to treat skin diseases: a review,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0210-0
45,The antityrosinase and antioxidant activities of flavonoids dominated by the number and location of phenolic hydroxyl groups,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0206-9
46,Internationalization of Traditional/Complementary Medicine products: market entry as medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0209-6
47,Rapid screening and identification of bioactive compounds specifically binding to beta 2-adrenoceptor from San-ao decoction using affinity magnetic fine particles coupled with high-performance liquid chromatography–mass spectrometry,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0207-8
48,Traditional medicinal plants used for respiratory disorders in Pakistan: a review of the ethno-medicinal and pharmacological evidence,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0204-y
49,Characterization and anti-tumor activity of a polysaccharide isolated from Dendrobium officinale grown in the Huoshan County,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0205-x
50,Anti-cancer effects of Rhizoma Curcumae against doxorubicin-resistant breast cancer cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0203-z
51,Metabolomics combined with network pharmacology exploration reveals the modulatory properties of Astragali Radix extract in the treatment of liver fibrosis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0251-z
52,Dissection of the molecular targets and signaling pathways of Guzhi Zengsheng Zhitongwan based on the analysis of serum proteomics,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0252-y
53,Simultaneous UPLC–TQ-MS/MS determination of six active components in rat plasma: application in the pharmacokinetic study of Cyclocarya paliurus leaves,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0248-7
54,A network pharmacology-based study on the anti-hepatoma effect of Radix Salviae Miltiorrhizae,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0249-6
55,Efficacy of leflunomide combined with ligustrazine in the treatment of rheumatoid arthritis: prediction with network pharmacology and validation in a clinical trial,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0247-8
56,A review on the immunomodulatory activity of Acanthopanax senticosus and its active components,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0250-0
57,Botanicals as modulators of depression and mechanisms involved,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0246-9
58,Novel drug delivery systems of Chinese medicine for the treatment of inflammatory bowel disease,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0245-x
59,A tannin compound from Sanguisorba officinalis blocks Wnt/β-catenin signaling pathway and induces apoptosis of colorectal cancer cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0244-y
60,"Chemistry, pharmacology and analysis of Pseudostellaria heterophylla: a mini-review",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0243-z
61,Biofertilizers regulate the soil microbial community and enhance Panax ginseng yields,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0241-1
62,The effects of bioactive components from the rhizome of Salvia miltiorrhiza (Danshen) on the characteristics of Alzheimer’s disease,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0242-0
63,Metabolomics analysis of herb-partitioned moxibustion treatment on rats with diarrhea-predominant irritable bowel syndrome,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0240-2
64,"Review of traditional uses, botany, chemistry, pharmacology, pharmacokinetics, and toxicology of Radix Cyathulae",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0237-x
65,Combination of 15 lipid metabolites and motilin to diagnose spleen-deficiency FD,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0238-9
66,Brain connectomic associations with traditional Chinese medicine diagnostic classification of major depressive disorder: a diffusion tensor imaging study,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0239-8
67,A pair of new enantiomers of xanthones from the stems and leaves of Cratoxylum cochinchinense,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0235-z
68,Fabrication of paper-based enzyme immobilized microarray by 3D-printing technique for screening α-glucosidase inhibitors in mulberry leaves and lotus leaves,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0236-y
69,Immunomodulatory effects of a new whole ingredients extract from Astragalus: a combined evaluation on chemistry and pharmacology,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0234-0
70,Developing natural products as potential anti-biofilm agents,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0232-2
71,Identifying the functions and biomarkers of Codonopsis pilosula and Astragalus membranaceus aqueous extracts in hepatic cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0233-1
72,Plastid genome and composition analysis of two medical ferns: Dryopteris crassirhizoma Nakai and Osmunda japonica Thunb.,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0230-4
73,Application of metabolomics in viral pneumonia treatment with traditional Chinese medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0229-x
74,Combination of shikonin with paclitaxel overcomes multidrug resistance in human ovarian carcinoma cells in a P-gp-independent manner through enhanced ROS generation,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0231-3
75,Rapid discovery of chemical constituents and absorbed components in rat serum after oral administration of Fuzi-Lizhong pill based on high-throughput HPLC-Q-TOF/MS analysis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0227-z
76,High content screening for drug discovery from traditional Chinese medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0228-y
77,A new GIS model for ecologically suitable distributions of medicinal plants,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0226-0
78,"Baduanjin exerts anti-diabetic and anti-depression effects by regulating the expression of mRNA, lncRNA, and circRNA",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0225-1
79,Chinese herb pair Paeoniae Radix Alba and Atractylodis Macrocephalae Rhizoma suppresses LPS-induced inflammatory response through inhibiting MAPK and NF-κB pathway,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-019-0224-2
80,Differential proteomics for studying action mechanisms of traditional Chinese medicines,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0223-8
81,Systems biology approaches in the study of Chinese herbal formulae,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0221-x
82,An innovative anti-cancer Chinese herbal formula exhibited multi-targeted efficacies in metastatic breast cancer mouse model,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0222-9
83,Gut microbiota was modulated by moxibustion stimulation in rats with irritable bowel syndrome,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0220-y
84,Cardiac function evaluation for a novel one-step detoxification product of Aconiti Lateralis Radix Praeparata,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0219-4
85,Metabonomic study of the protective effect of Fukeqianjin formula on multi-pathogen induced pelvic inflammatory disease in rats,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0217-6
86,Application of metabolomics in toxicity evaluation of traditional Chinese medicines,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0218-5
87,Pharmacological effects of medicinal components of Atractylodes lancea (Thunb.) DC.,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0216-7
88,"Abstracts from the 4th Global Chinese Symposium and the 8th Symposium for cross-straits, Hong Kong and Macao on free radical biology and medicine",http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0212-y
89,Abstracts from The International Conference on Medicinal Plants and Bioeconomy & the 1st Sino-CPLP Symposium on Natural Products and Biodiversity Resources,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0213-x
90,Predicting the potential global distribution of diosgenin-contained Dioscorea species,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0215-8
91,A preliminary review of studies on adaptogens: comparison of their bioactivity in TCM with that of ginseng-like herbs used worldwide,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0214-9
92,Comparing the antidiabetic effects and chemical profiles of raw and fermented Chinese Ge-Gen-Qin-Lian decoction by integrating untargeted metabolomics and targeted analysis,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0208-7
93,Blood and urinary metabolomic evidence validating traditional Chinese medicine diagnostic classification of major depressive disorder,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0211-z
94,Indigenous medicinal plants of Pakistan used to treat skin diseases: a review,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0210-0
95,The antityrosinase and antioxidant activities of flavonoids dominated by the number and location of phenolic hydroxyl groups,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0206-9
96,Internationalization of Traditional/Complementary Medicine products: market entry as medicine,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0209-6
97,Rapid screening and identification of bioactive compounds specifically binding to beta 2-adrenoceptor from San-ao decoction using affinity magnetic fine particles coupled with high-performance liquid chromatography–mass spectrometry,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0207-8
98,Traditional medicinal plants used for respiratory disorders in Pakistan: a review of the ethno-medicinal and pharmacological evidence,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0204-y
99,Characterization and anti-tumor activity of a polysaccharide isolated from Dendrobium officinale grown in the Huoshan County,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0205-x
100,Anti-cancer effects of Rhizoma Curcumae against doxorubicin-resistant breast cancer cells,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0203-z
101,A network pharmacology approach to explore the mechanisms of Erxian decoction in polycystic ovary syndrome,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0201-1
102,Wnt5a mediates the effects of Bushen Huoxue decoction on the migration of bone marrow mesenchymal stem cells in vitro,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0200-2
103,Application of delayed luminescence method on measuring of the processing of Chinese herbal materials,http://cmjournal.biomedcentral.com/track/pdf/10.1186/s13020-018-0202-0
