No.,Title,Link
1,Undetected pituitary adenoma in a patient with retinitis pigmentosa,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0168-5
2,"Publisher Correction to: Chinese Neurosurgical Journal, volume 5",http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0169-4
3,Risk factors for bad outcome in pediatric epidural hematomas: a systemic review,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0167-6
4,Isolated cerebral aspergillus abscess as a complication of pulmonary alveolar proteinosis in a child,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0165-8
5,Non-contrast CT image characteristics on admission predict the 3-month outcome of cerebral venous sinus thrombosis: an observational study in a single institution,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0164-9
6,Clipping versus coiling in posterior circulation intracranial aneurysms: a meta-analysis,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0163-x
7,ACSS2-related autophagy has a dual impact on memory,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0162-y
8,Distal posterior inferior cerebellar artery aneurysm with cerebellar arteriovenous malformation treated by open surgery: a case report,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0161-z
9,Emergency irradiation of 3.4Gy/2f in pineal gland germinoma patients with symptomatic hydrocephalus,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0160-0
10,Current status and potential application of navigated transcranial magnetic stimulation in neurosurgery: a literature review,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0159-6
11,Bone marrow mesenchymal stem cells combined with Sox2 increase the functional recovery in rat with traumatic brain injury,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0158-7
12,Twist drill craniostomy for traumatic acute subdural hematoma in the elderly: case series and literature review,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0157-8
13,Measurement of lateral ventricle volume of normal infant based on magnetic resonance imaging,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0156-9
14,The diagnosis and treatment strategy of occipital skull mass in hemophilic patients: a rare case report and literature review,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0155-x
15,Microsurgical ligation for incompletely coiled or recurrent intracranial aneurysms: a 17-year single-center experience,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0153-z
16,Accuracy of pedicle screw placement in the thoracic and lumbosacral spines using O-arm-based navigation versus conventional freehand technique,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0154-y
17,The role of peripheral nerve surgery in a tissue reinnervation,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0151-1
18,Evaluation of intraoperative MRI-assisted stereotactic brain tissue biopsy: a single-center experience in China,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-019-0152-0
19,What is the advance of extent of resection in glioblastoma surgical treatment—a systematic review,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-018-0150-7
20,Management of brain metastases: history and the present,http://cnjournal.biomedcentral.com/track/pdf/10.1186/s41016-018-0149-0
