No.,Title,Link
1,The efficacy of muscle energy techniques in symptomatic and asymptomatic subjects: a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0258-7
2,"Effectiveness of chiropractic manipulation versus sham manipulation on recurrent headaches in children aged 7–14 years, Protocol for a randomized clinical trial",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0262-y
3,"Letter to the editor, Odell 2019",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0271-x
4,Muscle energy technique for chronic obstructive pulmonary disease: a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0256-9
5,Psychosocial and behavioural characteristics in women with pregnancy-related lumbopelvic pain 12 years postpartum,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0257-8
6,Concurrent validity of lower extremity kinematics and jump characteristics captured in pre-school children by a markerless 3D motion capture system,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0261-z
7,Chiropractic: a bigger family than we might think,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0272-9
8,Prevalence and factors associated with the use of primary headache diagnostic criteria by chiropractors,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0254-y
9,The chiropractic workforce: a global review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0255-x
10,Guideline implementation in the Canadian chiropractic setting: a pilot cluster randomized controlled trial and parallel study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0253-z
11,Chiropractic services in the active duty military setting: a scoping review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0259-6
12,Simulation can offer a sustainable contribution to clinical education in osteopathy,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0252-0
13,If I was more informed about what exactly they do: perceptions of Botswana district hospital healthcare providers about World Spine Care,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0250-2
14,Effect of active TENS versus de-tuned TENS on walking capacity in patients with lumbar spinal stenosis: a randomized controlled trial,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0245-z
15,The research crisis in American institutions of complementary and integrative health: one proposed solution for chiropractic profession,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0251-1
16,At-risk advertising by Australian chiropractors and physiotherapists,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0247-x
17,Do adverse events after manual therapy for back and/or neck pain have an impact on the chance to recover? A cohort study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0248-9
18,The effects of spinal manipulation on performance-related outcomes in healthy asymptomatic adult population: a systematic review of best evidence,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0246-y
19,The development of a global chiropractic rehabilitation competency framework by the World Federation of Chiropractic,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0249-8
20,Spinal manipulation frequency and dosage effects on clinical and physiological outcomes: a scoping review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0244-0
21,Spinal manipulative therapy and exercise for older adults with chronic low back pain: a randomized clinical trial,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0243-1
22,Neurodynamic tests for patellofemoral pain syndrome: a pilot study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0242-2
23,European guidelines on quality criteria for diagnostic radiographic images of the lumbar spine – an intra- and inter-observer reproducibility study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0241-3
24,How big is the effect of spinal manipulation on the pressure pain threshold and for how long does it last? – secondary analysis of data from a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0240-4
25,The profile of chiropractors managing patients with low back-related leg pain: analyses of 1907 chiropractors from the ACORN practice-based research network,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0239-x
26,The shape of chiropractic in Europe: a cross sectional survey of chiropractor’s beliefs and practice,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0237-z
27,Attempting to explore chiropractors and their clinical choices: an examination of a failed study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0236-0
28,Manual therapy for chronic migraine: a pragmatic randomised controlled trial study protocol,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0232-4
29,The natural course of low back pain from childhood to young adulthood – a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0231-x
30,The epidemiology of work-related musculoskeletal injuries among chiropractors in the eThekwini municipality,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0238-y
31,Fear-avoidance beliefs are associated with a high fat content in the erector spinae: a 1.5 tesla magnetic resonance imaging study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0234-2
32,The acute effects of joint manipulative techniques on markers of autonomic nervous system activity: a systematic review and meta-analysis of randomized sham-controlled trials,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0235-1
33,Prevalence of MRI findings in the cervical spine in patients with persistent neck pain based on quantification of narrative MRI reports,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0233-3
34,Contrasting real time quantitative measures (weekly SMS) to patients’ retrospective appraisal of their one-year’s course of low back pain; a probing mixed-methods study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0222-y
35,"Chiropractic, one big unhappy family: better together or apart?",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0221-z
36,"Chiropractic conservatism and the ability to determine contra-indications, non-indications, and indications to chiropractic care: a cross-sectional survey of chiropractic students",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0227-6
37,Exploratory study for clinical signs of MODIC changes in patients with low-back pain in the Netherlands armed forces,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0229-4
38,Multisite joint pain in older Australian women is associated with poorer psychosocial health and greater medication use,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0224-9
39,An observational study on trajectories and outcomes of chronic low back pain patients referred from a spine surgery division for chiropractic treatment,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0225-8
40,Manipulation-induced hypoalgesia in musculoskeletal pain populations: a systematic critical review and meta-analysis,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0226-7
41,Experimental assessment of cervical ranges of motion and compensatory strategies,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0223-x
42,Measuring biopsychosocial risk for back pain disability in chiropractic patients using the STarT back screening tool: a cross-sectional survey,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0228-5
43,Managing sickness absence of patients with musculoskeletal pain – a cross-sectional survey of Scandinavian chiropractors,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0230-y
44,Chiropractors’ views on the use of patient-reported outcome measures in clinical practice: a qualitative study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0219-6
45,Are frequent measurements in back pain research harmful? Two comparisons of back pain in groups with or without frequent follow-up,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0220-0
46,The interrater reliability of static palpation of the thoracic spine for eliciting tenderness and stiffness to test for a manipulable lesion,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0218-7
47,Systems change to improve tobacco use identification and referral in the chiropractic setting: a pilot study,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0214-y
48,Current evidence for spinal X-ray use in the chiropractic profession: a narrative review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0217-8
49,"Cost-effectiveness of spinal manipulation, exercise, and self-management for spinal pain using an individual participant data meta-analysis approach: a study protocol",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0216-9
50,Test-retest reliability of nerve and muscle morphometric characteristics utilizing ultrasound imaging in individuals with unilateral sciatica and controls,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-018-0215-x
51,The efficacy of muscle energy techniques in symptomatic and asymptomatic subjects: a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0258-7
52,"Effectiveness of chiropractic manipulation versus sham manipulation on recurrent headaches in children aged 7–14 years, Protocol for a randomized clinical trial",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0262-y
53,"Letter to the editor, Odell 2019",http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0271-x
54,Muscle energy technique for chronic obstructive pulmonary disease: a systematic review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0256-9
55,Psychosocial and behavioural characteristics in women with pregnancy-related lumbopelvic pain 12 years postpartum,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0257-8
56,Concurrent validity of lower extremity kinematics and jump characteristics captured in pre-school children by a markerless 3D motion capture system,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0261-z
57,Chiropractic: a bigger family than we might think,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0272-9
58,Prevalence and factors associated with the use of primary headache diagnostic criteria by chiropractors,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0254-y
59,The chiropractic workforce: a global review,http://chiromt.biomedcentral.com/track/pdf/10.1186/s12998-019-0255-x
