No.,Title,Link
1,New software for automated cilia detection in cells (ACDC),http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-019-0061-z
2,Glioma cell proliferation is enhanced in the presence of tumor-derived cilia vesicles,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0060-5
3,Amyloid-β interrupts canonical Sonic hedgehog signaling by distorting primary cilia structure,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0059-y
4,Evidence of primary cilia in the developing rat heart,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0058-z
5,"Sensing the cilium, digital capture of ciliary data for comparative genomics investigations",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0057-0
6,Assaying sensory ciliopathies using calcium biosensor expression in zebrafish ciliated olfactory neurons,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0056-1
7,Cellular ciliary phenotyping indicates pathogenicity of novel variants in IFT140 and confirms a Mainzer–Saldino syndrome diagnosis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0055-2
8,The Gene Ontology of eukaryotic cilia and flagella,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0054-8
9,The rise and fall of basal bodies in the nematode Caenorhabditis elegans,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0053-9
10,Nuclear roles for cilia-associated proteins,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0052-x
11,Mutations in IFT-A satellite core component genes IFT43 and IFT121 produce short rib polydactyly syndrome with distinctive campomelia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0051-y
12,Basal body positioning and anchoring in the multiciliated cell Paramecium tetraurelia: roles of OFD1 and VFL3,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0050-z
13,Fixation methods can differentially affect ciliary protein immunolabeling,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0045-9
14,La-related protein 6 controls ciliated cell differentiation,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0047-7
15,Patient-specific three-dimensional explant spheroids derived from human nasal airway epithelium: a simple methodological approach for ex vivo studies of primary ciliary dyskinesia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0049-5
16,Abnormal glycosylation in Joubert syndrome type 10,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0048-6
17,CILIA: before and after,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0046-8
18,Using sea urchin gametes and zygotes to investigate centrosome duplication,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0043-3
19,The IN/OUT assay: a new tool to study ciliogenesis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0044-2
20,"Drosophila
melanogaster as a model for basal body research",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0041-5
21,Eight unique basal bodies in the multi-flagellated diplomonad Giardia lamblia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0042-4
22,Ciliogenesis and the DNA damage response: a stressful relationship,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0040-6
23,The cilia-regulated proteasome and its role in the development of ciliopathies and cancer,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0035-3
24,The basal bodies of Chlamydomonas reinhardtii,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0039-z
25,"Zebrafish: a vertebrate tool for studying basal body biogenesis, structure, and function",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0036-2
26,Flagellar apparatus structure of choanoflagellates,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0033-5
27,Update on oral-facial-digital syndromes (OFDS),http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0034-4
28,A primer on the mouse basal body,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0038-0
29,A novel ICK mutation causes ciliary disruption and lethal endocrine-cerebro-osteodysplasia syndrome,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0029-1
30,Naegleria: a classic model for de novo basal body assembly,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0032-6
31,Basal bodies across eukaryotes series: basal bodies in the freshwater planarian Schmidtea mediterranea,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0037-1
32,Human basal body basics,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0030-8
33,Basal body structure in Trichonympha,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0031-7
34,Measuring the primary cilium length: improved method for unbiased high-throughput analysis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0028-2
35,Paramecium tetraurelia basal body structure,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0026-4
36,Basal body structure and cell cycle-dependent biogenesis in Trypanosoma brucei,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0023-7
37,Basal body structure and composition in the apicomplexans Toxoplasma and Plasmodium,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0025-5
38,Cilia in autophagy and cancer,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0027-3
39,Basal bodies in Xenopus,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0024-6
40,Tetrahymena basal bodies,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0022-8
41,Current topics of functional links between primary cilia and cell cycle,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0021-1
42,Culture and detection of primary cilia in endothelial cell models,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0020-2
43,Comparing the Bbs10 complete knockout phenotype with a specific renal epithelial knockout one highlights the link between renal defects and systemic inactivation in mice,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0019-8
44,From proteomic data to networks: statistics and methods reveal ciliary protein interaction landscape,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P90
45,A systems biology approach towards the prediction of ciliopathy mechanisms,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P88
46,Characterization of upper airway ciliary beat by coupling isolated and collective cilia motion analysis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P86
47,Multidisciplinary nephrogenetic outpatient clinic combined with diagnostic exome sequencing for improved diagnostics and treatment,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P53
48,Urine-derived Renal Epithelial Cells (URECs) as a source of biomaterial from ciliopathy patients for functional studies and diagnostics,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P51
49,Leishmania IFT140 mutants show normal viability but lack external flagella: a tool for the study of flagellar function through the infectious cycle,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P49
50,"Gene therapy clinical trials for childhood blindness and its applications for ocular, auditory and renal ciliopathies",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-O10
51,New software for automated cilia detection in cells (ACDC),http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-019-0061-z
52,Glioma cell proliferation is enhanced in the presence of tumor-derived cilia vesicles,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0060-5
53,Amyloid-β interrupts canonical Sonic hedgehog signaling by distorting primary cilia structure,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0059-y
54,Evidence of primary cilia in the developing rat heart,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0058-z
55,"Sensing the cilium, digital capture of ciliary data for comparative genomics investigations",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0057-0
56,Assaying sensory ciliopathies using calcium biosensor expression in zebrafish ciliated olfactory neurons,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0056-1
57,Cellular ciliary phenotyping indicates pathogenicity of novel variants in IFT140 and confirms a Mainzer–Saldino syndrome diagnosis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-018-0055-2
58,The Gene Ontology of eukaryotic cilia and flagella,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0054-8
59,The rise and fall of basal bodies in the nematode Caenorhabditis elegans,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0053-9
60,Nuclear roles for cilia-associated proteins,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0052-x
61,Mutations in IFT-A satellite core component genes IFT43 and IFT121 produce short rib polydactyly syndrome with distinctive campomelia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0051-y
62,Basal body positioning and anchoring in the multiciliated cell Paramecium tetraurelia: roles of OFD1 and VFL3,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0050-z
63,Fixation methods can differentially affect ciliary protein immunolabeling,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0045-9
64,La-related protein 6 controls ciliated cell differentiation,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0047-7
65,Patient-specific three-dimensional explant spheroids derived from human nasal airway epithelium: a simple methodological approach for ex vivo studies of primary ciliary dyskinesia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0049-5
66,Abnormal glycosylation in Joubert syndrome type 10,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0048-6
67,CILIA: before and after,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-017-0046-8
68,Using sea urchin gametes and zygotes to investigate centrosome duplication,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0043-3
69,The IN/OUT assay: a new tool to study ciliogenesis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0044-2
70,"Drosophila
melanogaster as a model for basal body research",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0041-5
71,Eight unique basal bodies in the multi-flagellated diplomonad Giardia lamblia,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0042-4
72,Ciliogenesis and the DNA damage response: a stressful relationship,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0040-6
73,The cilia-regulated proteasome and its role in the development of ciliopathies and cancer,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0035-3
74,The basal bodies of Chlamydomonas reinhardtii,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0039-z
75,"Zebrafish: a vertebrate tool for studying basal body biogenesis, structure, and function",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0036-2
76,Flagellar apparatus structure of choanoflagellates,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0033-5
77,Update on oral-facial-digital syndromes (OFDS),http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0034-4
78,A primer on the mouse basal body,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0038-0
79,A novel ICK mutation causes ciliary disruption and lethal endocrine-cerebro-osteodysplasia syndrome,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0029-1
80,Naegleria: a classic model for de novo basal body assembly,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0032-6
81,Basal bodies across eukaryotes series: basal bodies in the freshwater planarian Schmidtea mediterranea,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0037-1
82,Human basal body basics,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0030-8
83,Basal body structure in Trichonympha,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0031-7
84,Measuring the primary cilium length: improved method for unbiased high-throughput analysis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0028-2
85,Paramecium tetraurelia basal body structure,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0026-4
86,Basal body structure and cell cycle-dependent biogenesis in Trypanosoma brucei,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0023-7
87,Basal body structure and composition in the apicomplexans Toxoplasma and Plasmodium,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0025-5
88,Cilia in autophagy and cancer,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0027-3
89,Basal bodies in Xenopus,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0024-6
90,Tetrahymena basal bodies,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-016-0022-8
91,Current topics of functional links between primary cilia and cell cycle,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0021-1
92,Culture and detection of primary cilia in endothelial cell models,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0020-2
93,Comparing the Bbs10 complete knockout phenotype with a specific renal epithelial knockout one highlights the link between renal defects and systemic inactivation in mice,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/s13630-015-0019-8
94,From proteomic data to networks: statistics and methods reveal ciliary protein interaction landscape,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P90
95,A systems biology approach towards the prediction of ciliopathy mechanisms,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P88
96,Characterization of upper airway ciliary beat by coupling isolated and collective cilia motion analysis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P86
97,Multidisciplinary nephrogenetic outpatient clinic combined with diagnostic exome sequencing for improved diagnostics and treatment,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P53
98,Urine-derived Renal Epithelial Cells (URECs) as a source of biomaterial from ciliopathy patients for functional studies and diagnostics,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P51
99,Leishmania IFT140 mutants show normal viability but lack external flagella: a tool for the study of flagellar function through the infectious cycle,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P49
100,"Gene therapy clinical trials for childhood blindness and its applications for ocular, auditory and renal ciliopathies",http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-O10
101,Systematic exploration of the ciliary protein landscape by large-scale affinity proteomics,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P89
102,A network-based approach to dissect the cilia/centrosome complex interactome,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P87
103,Automatic detection of beating cilia with frequencies estimations,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P85
104,Function of the Ciliopathy gene RPGRIP1L in cortical neurogenesis,http://ciliajournal.biomedcentral.com/track/pdf/10.1186/2046-2530-4-S1-P83
