No.,Title,Link
1,A case report of T-box 1 mutation causing phenotypic features of chromosome 22q11.2 deletion syndrome,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0087-6
2,"Interpretation of common endocrine laboratory tests: technical pitfalls, their mechanisms and practical considerations",http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0086-7
3,A quality improvement project to increase compliance with diabetes measures in an academic outpatient setting,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0084-9
4,Endocrinology practice patterns of hypothyroidism and osteoporosis management in a U.S. tertiary academic medical center,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0085-8
5,Natural history of ROHHAD syndrome: development of severe insulin resistance and fatty liver disease over time,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0082-y
6,A case of mistaken identity: classic Kaposi sarcoma misdiagnosed as a diabetic foot ulcer in an atypical patient,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0083-x
7,Using insulin pump with a remote-control system in young patients with diabetes improves glycemic control and enhances patient satisfaction,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0081-z
8,Identification of population characteristics through implementation of the Comprehensive Diabetic Retinopathy Program,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0079-6
9,Global epidemiology of prediabetes - present and future perspectives,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0080-0
10,Diagnosis of acquired generalized lipodystrophy in a single patient with T-cell lymphoma and no exposure to Metreleptin,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0076-9
11,Transition from pediatric to adult care in emerging adults with type 1 diabetes: a blueprint for effective receivership,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0078-7
12,Understanding the manifestation of diabetes in sub Saharan Africa to inform therapeutic approaches and preventive strategies: a narrative review,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-019-0077-8
13,Spectrum of immune checkpoint inhibitors-induced endocrinopathies in cancer patients: a scoping review of case reports,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0073-4
14,Type 1 diabetes and hyperthyroidism in a family with celiac disease after exposure to gluten: a rare case report,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0075-2
15,Cushing’s syndrome with no clinical stigmata – a variant of glucocorticoid resistance syndrome,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0072-5
16,A new model for diabetes-focused capacity building – lessons from Sri Lanka,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0074-3
17,Level of adherence to dietary recommendations and barriers among type 2 diabetic patients: a cross-sectional study in an Ethiopian hospital,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0070-7
18,Efficacy of radioactive iodine treatment of graves’ hyperthyroidism using a single calculated 131I dose,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0071-6
19,How is neighborhood social disorganization associated with diabetes outcomes? A multilevel investigation of glycemic control and self-reported use of acute or emergency health care services,http://clindiabetesendo.biomedcentral.com/track/pdf/10.1186/s40842-018-0069-0
